
Distance To Nearest Neighbour
 ==================== 
Distance To Nearest Neighbour,Unit,Category,Time,TrackID,ID,
26.7521,µm,Spot,9,1000027048,257607,
22.8866,µm,Spot,9,1000027656,258625,
20.3635,µm,Spot,9,1000028860,259655,
2.99675,µm,Spot,9,1000029962,260412,
2.99675,µm,Spot,9,1000260417,260417,
32.0385,µm,Spot,9,1000260594,260594,
62.0542,µm,Spot,9,1000117221,261077,
9.93655,µm,Spot,9,1000145899,261278,
9.93655,µm,Spot,9,1000232501,261285,
75.3644,µm,Spot,10,1000178867,264958,
111.076,µm,Spot,10,1000034728,265173,
32.8804,µm,Spot,10,1000094504,266925,
54.454,µm,Spot,10,1000008102,269091,
56.8384,µm,Spot,10,1000244446,273132,
47.345,µm,Spot,10,1000071729,273397,
32.8804,µm,Spot,10,1000158060,273457,
47.345,µm,Spot,10,1000130081,274092,
64.9642,µm,Spot,10,1000014633,274815,
9.7342,µm,Spot,10,1000218062,275628,
4.28688,µm,Spot,10,1000275823,275823,
21.6581,µm,Spot,10,1000074239,275844,
4.28688,µm,Spot,10,1000018381,278435,
9.7342,µm,Spot,10,1000278844,278844,
21.6581,µm,Spot,10,1000221333,279067,
29.2974,µm,Spot,10,1000136105,280223,
18.2725,µm,Spot,10,1000165097,280477,
2.62263,µm,Spot,10,1000224234,281995,
2.62263,µm,Spot,10,1000224241,282000,
23.4935,µm,Spot,10,1000019405,282050,
49.4894,µm,Spot,10,1000224431,282196,
3.22272,µm,Spot,10,1000135496,282272,
3.8757,µm,Spot,10,1000282540,282540,
58.9788,µm,Spot,10,1000196023,282594,
3.22272,µm,Spot,10,1000253547,282661,
3.8757,µm,Spot,10,1000282868,282868,
7.41621,µm,Spot,10,1000138478,283029,
15.1537,µm,Spot,10,1000080712,283031,
16.9266,µm,Spot,10,1000196749,283355,
40.6571,µm,Spot,10,1000111173,283651,
18.2725,µm,Spot,10,1000226383,284246,
28.9709,µm,Spot,10,1000027048,284624,
7.41621,µm,Spot,10,1000025863,285708,
27.1138,µm,Spot,10,1000026374,286205,
20.5097,µm,Spot,10,1000026660,286479,
3.86202,µm,Spot,10,1000199932,286579,
3.86202,µm,Spot,10,1000257305,286591,
43.1463,µm,Spot,10,1000024512,286743,
20.5097,µm,Spot,10,1000028860,288890,
43.1463,µm,Spot,10,1000260417,289633,
40.6571,µm,Spot,10,1000260594,289822,
11.9062,µm,Spot,10,1000145899,290419,
8.86259,µm,Spot,10,1000232501,290422,
8.86259,µm,Spot,10,1000290426,290426,
37.0219,µm,Spot,11,1000290900,290900,
76.2319,µm,Spot,11,1000178867,294112,
37.0219,µm,Spot,11,1000034728,294300,
56.427,µm,Spot,11,1000008102,298353,
58.7099,µm,Spot,11,1000244446,302487,
50.0147,µm,Spot,11,1000071729,302750,
