
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,TrackID,ID,
175.945,µm,Spot,Image 1,6,1000025863,170750,
54.3559,µm,Spot,Image 1,6,1000025898,170777,
72.566,µm,Spot,Image 1,6,1000025762,170880,
130.094,µm,Spot,Image 1,6,1000026374,170923,
84.5309,µm,Spot,Image 1,6,1000026660,171211,
183.866,µm,Spot,Image 1,6,1000026789,171326,
136.133,µm,Spot,Image 1,6,1000024512,171491,
61.1699,µm,Spot,Image 1,6,1000027048,171600,
111.614,µm,Spot,Image 1,6,1000027245,171786,
49.8831,µm,Spot,Image 1,6,1000027656,172144,
92.6098,µm,Spot,Image 1,6,1000028849,173596,
94.7729,µm,Spot,Image 1,6,1000028860,173606,
92.1373,µm,Spot,Image 1,6,1000058544,174031,
129.628,µm,Spot,Image 1,6,1000029962,174373,
109.142,µm,Spot,Image 1,6,1000117221,175066,
124.667,µm,Spot,Image 1,6,1000145899,175260,
32.1296,µm,Spot,Image 1,7,1000178867,178867,
84.9426,µm,Spot,Image 1,7,1000034728,179036,
131.824,µm,Spot,Image 1,7,1000005575,180676,
137.693,µm,Spot,Image 1,7,1000094504,180709,
23.5034,µm,Spot,Image 1,7,1000008102,183000,
139.523,µm,Spot,Image 1,7,1000158060,186936,
176.195,µm,Spot,Image 1,7,1000071729,187159,
149.468,µm,Spot,Image 1,7,1000069455,187472,
157.73,µm,Spot,Image 1,7,1000130081,187691,
105.617,µm,Spot,Image 1,7,1000014633,188535,
111.491,µm,Spot,Image 1,7,1000014915,188987,
78.3718,µm,Spot,Image 1,7,1000074239,189513,
68.8633,µm,Spot,Image 1,7,1000018381,191915,
78.066,µm,Spot,Image 1,7,1000019405,192882,
148.282,µm,Spot,Image 1,7,1000135496,193021,
90.071,µm,Spot,Image 1,7,1000165097,193932,
54.4415,µm,Spot,Image 1,7,1000136105,193991,
37.4696,µm,Spot,Image 1,7,1000196023,196023,
165.15,µm,Spot,Image 1,7,1000080712,196104,
175.726,µm,Spot,Image 1,7,1000138478,196432,
162.318,µm,Spot,Image 1,7,1000196749,196749,
45.9623,µm,Spot,Image 1,7,1000111173,197053,
109.507,µm,Spot,Image 1,7,1000082174,197213,
78.6729,µm,Spot,Image 1,7,1000026990,197885,
72.5041,µm,Spot,Image 1,7,1000025762,199227,
175.986,µm,Spot,Image 1,7,1000025863,199350,
130.281,µm,Spot,Image 1,7,1000026374,199538,
177.348,µm,Spot,Image 1,7,1000199932,199932,
181.066,µm,Spot,Image 1,7,1000026789,199942,
137.205,µm,Spot,Image 1,7,1000024512,200064,
63.4544,µm,Spot,Image 1,7,1000027048,200164,
111.829,µm,Spot,Image 1,7,1000027245,200359,
51.8304,µm,Spot,Image 1,7,1000027656,200760,
83.84,µm,Spot,Image 1,7,1000026660,201704,
96.3566,µm,Spot,Image 1,7,1000028860,202112,
93.2688,µm,Spot,Image 1,7,1000058544,202550,
129.667,µm,Spot,Image 1,7,1000029962,202900,
110.081,µm,Spot,Image 1,7,1000117221,203538,
126.495,µm,Spot,Image 1,7,1000145899,203689,
32.7019,µm,Spot,Image 1,8,1000178867,207307,
87.609,µm,Spot,Image 1,8,1000034728,207491,
133.95,µm,Spot,Image 1,8,1000005575,209230,
138.828,µm,Spot,Image 1,8,1000094504,209263,
