
Average Distance To 5 Nearest Neighbours
 ==================== 
Average Distance To 5 Nearest Neighbours,Unit,Category,Time,TrackID,ID,
49.7164,µm,Spot,8,1000082174,226025,
25.9608,µm,Spot,8,1000226383,226383,
26.3425,µm,Spot,8,1000026990,226673,
19.7719,µm,Spot,8,1000025863,228123,
39.8083,µm,Spot,8,1000026374,228289,
26.9924,µm,Spot,8,1000199932,228667,
61.7634,µm,Spot,8,1000024512,228832,
36.5022,µm,Spot,8,1000027245,228847,
30.8958,µm,Spot,8,1000027048,228921,
42.3424,µm,Spot,8,1000027656,229877,
49.2069,µm,Spot,8,1000026660,230497,
47.4602,µm,Spot,8,1000028860,230918,
43.605,µm,Spot,8,1000058544,231336,
47.1169,µm,Spot,8,1000029962,231689,
70.3494,µm,Spot,8,1000117221,232329,
66.7283,µm,Spot,8,1000145899,232497,
66.1625,µm,Spot,8,1000232501,232501,
103.175,µm,Spot,9,1000178867,236041,
136.551,µm,Spot,9,1000034728,236229,
51.9104,µm,Spot,9,1000005575,237846,
51.0829,µm,Spot,9,1000094504,238096,
80.3542,µm,Spot,9,1000008102,240127,
59.8792,µm,Spot,9,1000071729,244439,
62.4596,µm,Spot,9,1000244446,244446,
50.4971,µm,Spot,9,1000158060,244507,
60.1602,µm,Spot,9,1000069455,244734,
55.2636,µm,Spot,9,1000130081,244994,
79.2852,µm,Spot,9,1000014633,245823,
47.1058,µm,Spot,9,1000014915,246314,
48.6904,µm,Spot,9,1000074239,246863,
35.3971,µm,Spot,9,1000218062,246918,
56.1261,µm,Spot,9,1000018381,249362,
42.3562,µm,Spot,9,1000221333,249997,
38.8017,µm,Spot,9,1000019405,250348,
39.5087,µm,Spot,9,1000165097,251399,
47.9298,µm,Spot,9,1000136105,251464,
42.6453,µm,Spot,9,1000224234,252909,
43.0759,µm,Spot,9,1000224241,252913,
65.556,µm,Spot,9,1000224431,253095,
24.2014,µm,Spot,9,1000135496,253178,
64.6411,µm,Spot,9,1000196023,253490,
23.6841,µm,Spot,9,1000253547,253547,
23.4844,µm,Spot,9,1000080712,253569,
16.7631,µm,Spot,9,1000138478,253896,
19.7485,µm,Spot,9,1000196749,254212,
45.2061,µm,Spot,9,1000111173,254504,
36.1978,µm,Spot,9,1000226383,255067,
14.4617,µm,Spot,9,1000025863,256714,
36.0835,µm,Spot,9,1000026374,256892,
48.1389,µm,Spot,9,1000026660,257187,
18.4502,µm,Spot,9,1000199932,257298,
18.5944,µm,Spot,9,1000257305,257305,
55.4822,µm,Spot,9,1000024512,257487,
43.9509,µm,Spot,9,1000027245,257516,
34.4181,µm,Spot,9,1000027048,257607,
40.7294,µm,Spot,9,1000027656,258625,
45.9499,µm,Spot,9,1000028860,259655,
43.4176,µm,Spot,9,1000029962,260412,
43.1817,µm,Spot,9,1000260417,260417,
53.2966,µm,Spot,9,1000260594,260594,
70.3201,µm,Spot,9,1000117221,261077,
67.0648,µm,Spot,9,1000145899,261278,
66.2254,µm,Spot,9,1000232501,261285,
111.102,µm,Spot,10,1000178867,264958,
132.213,µm,Spot,10,1000034728,265173,
65.8909,µm,Spot,10,1000094504,266925,
70.6375,µm,Spot,10,1000008102,269091,
67.1502,µm,Spot,10,1000244446,273132,
62.1373,µm,Spot,10,1000071729,273397,
57.3139,µm,Spot,10,1000158060,273457,
65.1146,µm,Spot,10,1000130081,274092,
87.9835,µm,Spot,10,1000014633,274815,
29.2427,µm,Spot,10,1000218062,275628,
38.311,µm,Spot,10,1000275823,275823,
34.574,µm,Spot,10,1000074239,275844,
36.0592,µm,Spot,10,1000018381,278435,
24.3527,µm,Spot,10,1000278844,278844,
39.9536,µm,Spot,10,1000221333,279067,
53.7475,µm,Spot,10,1000136105,280223,
47.3632,µm,Spot,10,1000165097,280477,
42.6783,µm,Spot,10,1000224234,281995,
43.1698,µm,Spot,10,1000224241,282000,
39.0745,µm,Spot,10,1000019405,282050,
53.6441,µm,Spot,10,1000224431,282196,
24.0059,µm,Spot,10,1000135496,282272,
36.3281,µm,Spot,10,1000282540,282540,
65.3428,µm,Spot,10,1000196023,282594,
23.3115,µm,Spot,10,1000253547,282661,
36.5925,µm,Spot,10,1000282868,282868,
16.2695,µm,Spot,10,1000138478,283029,
20.8888,µm,Spot,10,1000080712,283031,
19.9943,µm,Spot,10,1000196749,283355,
52.0662,µm,Spot,10,1000111173,283651,
45.2393,µm,Spot,10,1000226383,284246,
40.1415,µm,Spot,10,1000027048,284624,
14.1329,µm,Spot,10,1000025863,285708,
35.4394,µm,Spot,10,1000026374,286205,
51.1244,µm,Spot,10,1000026660,286479,
18.0878,µm,Spot,10,1000199932,286579,
18.5672,µm,Spot,10,1000257305,286591,
64.7071,µm,Spot,10,1000024512,286743,
48.4688,µm,Spot,10,1000028860,288890,
65.5862,µm,Spot,10,1000260417,289633,
64.0922,µm,Spot,10,1000260594,289822,
63.9421,µm,Spot,10,1000145899,290419,
60.119,µm,Spot,10,1000232501,290422,
63.7262,µm,Spot,10,1000290426,290426,
123.212,µm,Spot,11,1000290900,290900,
114.267,µm,Spot,11,1000178867,294112,
112.813,µm,Spot,11,1000034728,294300,
79.9054,µm,Spot,11,1000008102,298353,
73.1767,µm,Spot,11,1000244446,302487,
64.0569,µm,Spot,11,1000071729,302750,
64.3391,µm,Spot,11,1000158060,302820,
65.6533,µm,Spot,11,1000130081,303418,
93.4771,µm,Spot,11,1000014633,304159,
33.0472,µm,Spot,11,1000218062,304956,
47.3,µm,Spot,11,1000275823,305169,
