
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,TrackID,ID,
3.51545,3.51545,3.51545,µm,Spot,Diameter,4,1000026789,115539,
3.80971,3.80971,3.80971,µm,Spot,Diameter,4,1000028860,115808,
3.28799,3.28799,3.28799,µm,Spot,Diameter,4,1000058544,116209,
2.70297,2.70297,2.70297,µm,Spot,Diameter,4,1000029962,116546,
3.16141,3.16141,3.16141,µm,Spot,Diameter,4,1000117221,117221,
3.02378,3.02378,3.02378,µm,Spot,Diameter,5,1000000426,118445,
3.6189,3.6189,3.6189,µm,Spot,Diameter,5,1000034728,121251,
4.74209,4.74209,4.74209,µm,Spot,Diameter,5,1000005575,122895,
5.12084,5.12084,5.12084,µm,Spot,Diameter,5,1000094504,122921,
3.51545,3.51545,3.51545,µm,Spot,Diameter,5,1000008102,125190,
4.79993,4.79993,4.79993,µm,Spot,Diameter,5,1000069455,126997,
4.29068,4.29068,4.29068,µm,Spot,Diameter,5,1000011182,128077,
4.42918,4.42918,4.42918,µm,Spot,Diameter,5,1000071729,129533,
5.07014,5.07014,5.07014,µm,Spot,Diameter,5,1000130081,130081,
3.16141,3.16141,3.16141,µm,Spot,Diameter,5,1000014633,130906,
4.62199,4.62199,4.62199,µm,Spot,Diameter,5,1000014915,131163,
4.29068,4.29068,4.29068,µm,Spot,Diameter,5,1000074239,131962,
3.02378,3.02378,3.02378,µm,Spot,Diameter,5,1000018381,134403,
3.80971,3.80971,3.80971,µm,Spot,Diameter,5,1000019405,135344,
2.70297,2.70297,2.70297,µm,Spot,Diameter,5,1000135496,135496,
3.51545,3.51545,3.51545,µm,Spot,Diameter,5,1000136105,136105,
3.71676,3.71676,3.71676,µm,Spot,Diameter,5,1000023639,136650,
3.02378,3.02378,3.02378,µm,Spot,Diameter,5,1000080712,138121,
3.40552,3.40552,3.40552,µm,Spot,Diameter,5,1000022248,138370,
2.87233,2.87233,2.87233,µm,Spot,Diameter,5,1000138478,138478,
