
Track Intensity Min Ch=4 Img=1
 ==================== 
Track Intensity Min,Unit,Category,Channel,Image,ID,
162,,Track,4,Image 1,1001895167,
0,,Track,4,Image 1,1001896809,
59,,Track,4,Image 1,1001904297,
0,,Track,4,Image 1,1001904618,
251,,Track,4,Image 1,1001939884,
253,,Track,4,Image 1,1001942811,
0,,Track,4,Image 1,1001954731,
112,,Track,4,Image 1,1001968557,
0,,Track,4,Image 1,1001968819,
24,,Track,4,Image 1,1001978360,
153,,Track,4,Image 1,1002006710,
251,,Track,4,Image 1,1002029154,
0,,Track,4,Image 1,1002031500,
95,,Track,4,Image 1,1002047887,
91,,Track,4,Image 1,1002051985,
0,,Track,4,Image 1,1002059095,
255,,Track,4,Image 1,1002067444,
252,,Track,4,Image 1,1002067747,
251,,Track,4,Image 1,1002113497,
181,,Track,4,Image 1,1002124155,
0,,Track,4,Image 1,1002125541,
0,,Track,4,Image 1,1002142435,
61,,Track,4,Image 1,1002148602,
13,,Track,4,Image 1,1002150876,
251,,Track,4,Image 1,1002158806,
0,,Track,4,Image 1,1002180262,
164,,Track,4,Image 1,1002182375,
0,,Track,4,Image 1,1002205040,
95,,Track,4,Image 1,1002211774,
0,,Track,4,Image 1,1002213141,
0,,Track,4,Image 1,1002223441,
47,,Track,4,Image 1,1002227684,
0,,Track,4,Image 1,1002236414,
101,,Track,4,Image 1,1002242134,
144,,Track,4,Image 1,1002242329,
252,,Track,4,Image 1,1002243369,
57,,Track,4,Image 1,1002246854,
100,,Track,4,Image 1,1002262996,
57,,Track,4,Image 1,1002273437,
0,,Track,4,Image 1,1002278860,
0,,Track,4,Image 1,1002300559,
28,,Track,4,Image 1,1002307653,
0,,Track,4,Image 1,1002309454,
125,,Track,4,Image 1,1002316459,
251,,Track,4,Image 1,1002316883,
251,,Track,4,Image 1,1002317275,
0,,Track,4,Image 1,1002336151,
89,,Track,4,Image 1,1002336484,
0,,Track,4,Image 1,1002360360,
0,,Track,4,Image 1,1002367218,
36,,Track,4,Image 1,1002369367,
56,,Track,4,Image 1,1002382179,
0,,Track,4,Image 1,1002396861,
20,,Track,4,Image 1,1002402760,
77,,Track,4,Image 1,1002404222,
71,,Track,4,Image 1,1002429210,
0,,Track,4,Image 1,1002435411,
0,,Track,4,Image 1,1002453328,
0,,Track,4,Image 1,1002454260,
7,,Track,4,Image 1,1002458180,
0,,Track,4,Image 1,1002460030,
106,,Track,4,Image 1,1002460974,
22,,Track,4,Image 1,1002461635,
24,,Track,4,Image 1,1002463724,
