
Intensity Sum of Square Ch=5 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,TrackID,ID,
273511,,Spot,5,Image 1,10,1000244446,273132,
665065,,Spot,5,Image 1,10,1000071729,273397,
1.46091e+06,,Spot,5,Image 1,10,1000158060,273457,
554885,,Spot,5,Image 1,10,1000130081,274092,
343728,,Spot,5,Image 1,10,1000014633,274815,
626887,,Spot,5,Image 1,10,1000218062,275628,
381284,,Spot,5,Image 1,10,1000275823,275823,
254501,,Spot,5,Image 1,10,1000074239,275844,
287652,,Spot,5,Image 1,10,1000018381,278435,
361866,,Spot,5,Image 1,10,1000278844,278844,
358260,,Spot,5,Image 1,10,1000221333,279067,
538088,,Spot,5,Image 1,10,1000136105,280223,
534540,,Spot,5,Image 1,10,1000165097,280477,
246517,,Spot,5,Image 1,10,1000224234,281995,
333072,,Spot,5,Image 1,10,1000224241,282000,
178694,,Spot,5,Image 1,10,1000019405,282050,
390848,,Spot,5,Image 1,10,1000224431,282196,
494704,,Spot,5,Image 1,10,1000135496,282272,
225323,,Spot,5,Image 1,10,1000282540,282540,
444672,,Spot,5,Image 1,10,1000196023,282594,
126505,,Spot,5,Image 1,10,1000253547,282661,
390076,,Spot,5,Image 1,10,1000282868,282868,
667929,,Spot,5,Image 1,10,1000138478,283029,
215773,,Spot,5,Image 1,10,1000080712,283031,
344499,,Spot,5,Image 1,10,1000196749,283355,
1.04529e+06,,Spot,5,Image 1,10,1000111173,283651,
444124,,Spot,5,Image 1,10,1000226383,284246,
741607,,Spot,5,Image 1,10,1000027048,284624,
451752,,Spot,5,Image 1,10,1000025863,285708,
328468,,Spot,5,Image 1,10,1000026374,286205,
252375,,Spot,5,Image 1,10,1000026660,286479,
343254,,Spot,5,Image 1,10,1000199932,286579,
509434,,Spot,5,Image 1,10,1000257305,286591,
391473,,Spot,5,Image 1,10,1000024512,286743,
320719,,Spot,5,Image 1,10,1000028860,288890,
368189,,Spot,5,Image 1,10,1000260417,289633,
391303,,Spot,5,Image 1,10,1000260594,289822,
284356,,Spot,5,Image 1,10,1000145899,290419,
991052,,Spot,5,Image 1,10,1000232501,290422,
1.01324e+06,,Spot,5,Image 1,10,1000290426,290426,
314313,,Spot,5,Image 1,11,1000290900,290900,
281888,,Spot,5,Image 1,11,1000178867,294112,
337437,,Spot,5,Image 1,11,1000034728,294300,
405715,,Spot,5,Image 1,11,1000008102,298353,
331477,,Spot,5,Image 1,11,1000244446,302487,
910205,,Spot,5,Image 1,11,1000071729,302750,
977131,,Spot,5,Image 1,11,1000158060,302820,
595726,,Spot,5,Image 1,11,1000130081,303418,
353813,,Spot,5,Image 1,11,1000014633,304159,
1.07446e+06,,Spot,5,Image 1,11,1000218062,304956,
336376,,Spot,5,Image 1,11,1000275823,305169,
322320,,Spot,5,Image 1,11,1000074239,305193,
351669,,Spot,5,Image 1,11,1000278844,308213,
240580,,Spot,5,Image 1,11,1000221333,308444,
297364,,Spot,5,Image 1,11,1000224234,308734,
272988,,Spot,5,Image 1,11,1000019405,308790,
188694,,Spot,5,Image 1,11,1000165097,309573,
480202,,Spot,5,Image 1,11,1000224241,311362,
254951,,Spot,5,Image 1,11,1000224431,311542,
574003,,Spot,5,Image 1,11,1000196023,311574,
1.264e+06,,Spot,5,Image 1,11,1000253547,311626,
232491,,Spot,5,Image 1,11,1000282868,312193,
361876,,Spot,5,Image 1,11,1000282540,312199,
509915,,Spot,5,Image 1,11,1000080712,312392,
392082,,Spot,5,Image 1,11,1000196749,312713,
830906,,Spot,5,Image 1,11,1000312915,312915,
1.5896e+06,,Spot,5,Image 1,11,1000111173,312994,
324704,,Spot,5,Image 1,11,1000226383,313835,
502965,,Spot,5,Image 1,11,1000027048,313885,
325041,,Spot,5,Image 1,11,1000026374,315460,
258373,,Spot,5,Image 1,11,1000026660,315763,
283256,,Spot,5,Image 1,11,1000199932,315851,
487289,,Spot,5,Image 1,11,1000257305,315870,
488795,,Spot,5,Image 1,11,1000024512,316043,
367214,,Spot,5,Image 1,11,1000260417,318916,
512621,,Spot,5,Image 1,11,1000260594,319098,
433430,,Spot,5,Image 1,11,1000145899,319743,
1.195e+06,,Spot,5,Image 1,11,1000232501,319753,
743528,,Spot,5,Image 1,11,1000290426,319755,
281135,,Spot,5,Image 1,12,1000290900,320267,
372853,,Spot,5,Image 1,12,1000320447,320447,
419668,,Spot,5,Image 1,12,1000178867,323471,
277317,,Spot,5,Image 1,12,1000034728,323630,
311622,,Spot,5,Image 1,12,1000327258,327258,
425513,,Spot,5,Image 1,12,1000008102,327597,
413782,,Spot,5,Image 1,12,1000244446,331820,
413314,,Spot,5,Image 1,12,1000071729,332124,
556037,,Spot,5,Image 1,12,1000014633,333504,
361833,,Spot,5,Image 1,12,1000275823,334574,
122849,,Spot,5,Image 1,12,1000074239,334588,
870763,,Spot,5,Image 1,12,1000218062,334649,
212501,,Spot,5,Image 1,12,1000158060,334766,
504239,,Spot,5,Image 1,12,1000278844,337535,
532657,,Spot,5,Image 1,12,1000221333,337717,
225160,,Spot,5,Image 1,12,1000224234,338033,
447192,,Spot,5,Image 1,12,1000019405,338084,
261344,,Spot,5,Image 1,12,1000338312,338312,
260444,,Spot,5,Image 1,12,1000165097,338811,
779861,,Spot,5,Image 1,12,1000224241,340544,
286263,,Spot,5,Image 1,12,1000224431,340696,
623582,,Spot,5,Image 1,12,1000196023,340725,
707630,,Spot,5,Image 1,12,1000253547,340780,
369436,,Spot,5,Image 1,12,1000282540,341020,
320228,,Spot,5,Image 1,12,1000282868,341314,
323193,,Spot,5,Image 1,12,1000080712,341500,
324440,,Spot,5,Image 1,12,1000196749,341815,
470827,,Spot,5,Image 1,12,1000312915,342010,
1.46744e+06,,Spot,5,Image 1,12,1000111173,342104,
382137,,Spot,5,Image 1,12,1000226383,342656,
592297,,Spot,5,Image 1,12,1000027048,342982,
358139,,Spot,5,Image 1,12,1000026374,344546,
245675,,Spot,5,Image 1,12,1000026660,344833,
325934,,Spot,5,Image 1,12,1000199932,344942,
524578,,Spot,5,Image 1,12,1000257305,344953,
475523,,Spot,5,Image 1,12,1000024512,345116,
396992,,Spot,5,Image 1,12,1000260417,347970,
502167,,Spot,5,Image 1,12,1000260594,348147,
528973,,Spot,5,Image 1,12,1000145899,348845,
1.05327e+06,,Spot,5,Image 1,12,1000232501,348849,
679053,,Spot,5,Image 1,12,1000290426,348853,
248299,,Spot,5,Image 1,13,1000290900,349380,
288331,,Spot,5,Image 1,13,1000320447,349580,
262988,,Spot,5,Image 1,13,1000178867,352590,
287205,,Spot,5,Image 1,13,1000034728,352773,
548672,,Spot,5,Image 1,13,1000354440,354440,
370780,,Spot,5,Image 1,13,1000354480,354480,
171399,,Spot,5,Image 1,13,1000327258,356160,
