
Intensity Center Ch=2 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,TrackID,ID,
26,,Spot,2,Image 1,6,1000014633,159593,
0,,Spot,2,Image 1,6,1000014915,159795,
13,,Spot,2,Image 1,6,1000074239,160614,
7,,Spot,2,Image 1,6,1000018381,163048,
0,,Spot,2,Image 1,6,1000135496,164167,
252,,Spot,2,Image 1,6,1000165097,165097,
22,,Spot,2,Image 1,6,1000136105,165141,
251,,Spot,2,Image 1,6,1000023639,165409,
80,,Spot,2,Image 1,6,1000019405,166686,
40,,Spot,2,Image 1,6,1000022248,166839,
0,,Spot,2,Image 1,6,1000080712,166933,
0,,Spot,2,Image 1,6,1000138478,167324,
0,,Spot,2,Image 1,6,1000023039,168006,
0,,Spot,2,Image 1,6,1000111173,168315,
251,,Spot,2,Image 1,6,1000082174,168492,
0,,Spot,2,Image 1,6,1000026990,169213,
114,,Spot,2,Image 1,6,1000025863,170750,
251,,Spot,2,Image 1,6,1000025898,170777,
12,,Spot,2,Image 1,6,1000025762,170880,
106,,Spot,2,Image 1,6,1000026374,170923,
0,,Spot,2,Image 1,6,1000026660,171211,
48,,Spot,2,Image 1,6,1000026789,171326,
0,,Spot,2,Image 1,6,1000024512,171491,
0,,Spot,2,Image 1,6,1000027048,171600,
1,,Spot,2,Image 1,6,1000027245,171786,
0,,Spot,2,Image 1,6,1000027656,172144,
4,,Spot,2,Image 1,6,1000028849,173596,
8,,Spot,2,Image 1,6,1000028860,173606,
2,,Spot,2,Image 1,6,1000058544,174031,
5,,Spot,2,Image 1,6,1000029962,174373,
0,,Spot,2,Image 1,6,1000117221,175066,
0,,Spot,2,Image 1,6,1000145899,175260,
0,,Spot,2,Image 1,7,1000178867,178867,
72,,Spot,2,Image 1,7,1000034728,179036,
0,,Spot,2,Image 1,7,1000005575,180676,
0,,Spot,2,Image 1,7,1000094504,180709,
58,,Spot,2,Image 1,7,1000008102,183000,
0,,Spot,2,Image 1,7,1000158060,186936,
0,,Spot,2,Image 1,7,1000071729,187159,
0,,Spot,2,Image 1,7,1000069455,187472,
0,,Spot,2,Image 1,7,1000130081,187691,
103,,Spot,2,Image 1,7,1000014633,188535,
0,,Spot,2,Image 1,7,1000014915,188987,
0,,Spot,2,Image 1,7,1000074239,189513,
39,,Spot,2,Image 1,7,1000018381,191915,
4,,Spot,2,Image 1,7,1000019405,192882,
0,,Spot,2,Image 1,7,1000135496,193021,
251,,Spot,2,Image 1,7,1000165097,193932,
16,,Spot,2,Image 1,7,1000136105,193991,
0,,Spot,2,Image 1,7,1000196023,196023,
0,,Spot,2,Image 1,7,1000080712,196104,
0,,Spot,2,Image 1,7,1000196749,196749,
0,,Spot,2,Image 1,7,1000111173,197053,
251,,Spot,2,Image 1,7,1000082174,197213,
0,,Spot,2,Image 1,7,1000026990,197885,
0,,Spot,2,Image 1,7,1000025762,199227,
63,,Spot,2,Image 1,7,1000025863,199350,
28,,Spot,2,Image 1,7,1000026374,199538,
27,,Spot,2,Image 1,7,1000199932,199932,
33,,Spot,2,Image 1,7,1000026789,199942,
0,,Spot,2,Image 1,7,1000024512,200064,
0,,Spot,2,Image 1,7,1000027048,200164,
10,,Spot,2,Image 1,7,1000027245,200359,
8,,Spot,2,Image 1,7,1000027656,200760,
2,,Spot,2,Image 1,7,1000026660,201704,
3,,Spot,2,Image 1,7,1000028860,202112,
0,,Spot,2,Image 1,7,1000058544,202550,
41,,Spot,2,Image 1,7,1000029962,202900,
0,,Spot,2,Image 1,7,1000117221,203538,
0,,Spot,2,Image 1,7,1000145899,203689,
0,,Spot,2,Image 1,8,1000178867,207307,
127,,Spot,2,Image 1,8,1000034728,207491,
0,,Spot,2,Image 1,8,1000005575,209230,
0,,Spot,2,Image 1,8,1000094504,209263,
37,,Spot,2,Image 1,8,1000008102,211542,
0,,Spot,2,Image 1,8,1000158060,215684,
0,,Spot,2,Image 1,8,1000071729,215911,
0,,Spot,2,Image 1,8,1000069455,216187,
0,,Spot,2,Image 1,8,1000130081,216414,
