
Track Intensity Center Mean Ch=2 Img=1
 ==================== 
Track Intensity Center Mean,Unit,Category,Channel,Image,ID,
253.167,,Track,2,Image 1,1001549656,
20.2857,,Track,2,Image 1,1001571482,
11,,Track,2,Image 1,1001585322,
0,,Track,2,Image 1,1001597972,
2.42308,,Track,2,Image 1,1001634186,
31.1667,,Track,2,Image 1,1001641521,
38.2727,,Track,2,Image 1,1001649683,
1.125,,Track,2,Image 1,1001660310,
251.545,,Track,2,Image 1,1001662631,
11.8571,,Track,2,Image 1,1001662802,
0,,Track,2,Image 1,1001692264,
0,,Track,2,Image 1,1001696991,
0,,Track,2,Image 1,1001705575,
0,,Track,2,Image 1,1001708522,
0,,Track,2,Image 1,1001717292,
213.833,,Track,2,Image 1,1001721190,
39,,Track,2,Image 1,1001721732,
0,,Track,2,Image 1,1001722530,
29.2857,,Track,2,Image 1,1001723411,
0,,Track,2,Image 1,1001735688,
0.625,,Track,2,Image 1,1001739237,
48.2857,,Track,2,Image 1,1001745981,
24.8276,,Track,2,Image 1,1001748846,
0,,Track,2,Image 1,1001774250,
28.8333,,Track,2,Image 1,1001792466,
21.1429,,Track,2,Image 1,1001800294,
0,,Track,2,Image 1,1001831823,
31.375,,Track,2,Image 1,1001838017,
0.142857,,Track,2,Image 1,1001843531,
12.8333,,Track,2,Image 1,1001850191,
52.7,,Track,2,Image 1,1001869026,
0,,Track,2,Image 1,1001872907,
2.33333,,Track,2,Image 1,1001874170,
0,,Track,2,Image 1,1001876881,
22.5,,Track,2,Image 1,1001878744,
27.5,,Track,2,Image 1,1001889904,
0.125,,Track,2,Image 1,1001895167,
0,,Track,2,Image 1,1001896809,
230.667,,Track,2,Image 1,1001904297,
0,,Track,2,Image 1,1001904618,
3.33333,,Track,2,Image 1,1001939884,
26.6667,,Track,2,Image 1,1001942811,
0,,Track,2,Image 1,1001954731,
18.8182,,Track,2,Image 1,1001968557,
0,,Track,2,Image 1,1001968819,
0,,Track,2,Image 1,1001978360,
38.4,,Track,2,Image 1,1002006710,
0,,Track,2,Image 1,1002029154,
0,,Track,2,Image 1,1002031500,
36.6842,,Track,2,Image 1,1002047887,
68.5789,,Track,2,Image 1,1002051985,
0,,Track,2,Image 1,1002059095,
34.5,,Track,2,Image 1,1002067444,
87.1111,,Track,2,Image 1,1002067747,
2.45455,,Track,2,Image 1,1002113497,
0,,Track,2,Image 1,1002124155,
242,,Track,2,Image 1,1002125541,
0,,Track,2,Image 1,1002142435,
29.1333,,Track,2,Image 1,1002148602,
0,,Track,2,Image 1,1002150876,
49,,Track,2,Image 1,1002158806,
0,,Track,2,Image 1,1002180262,
246.75,,Track,2,Image 1,1002182375,
0,,Track,2,Image 1,1002205040,
61.7143,,Track,2,Image 1,1002211774,
0,,Track,2,Image 1,1002213141,
221.214,,Track,2,Image 1,1002223441,
95.6667,,Track,2,Image 1,1002227684,
0.769231,,Track,2,Image 1,1002236414,
24.6154,,Track,2,Image 1,1002242134,
43.7,,Track,2,Image 1,1002242329,
15.5833,,Track,2,Image 1,1002243369,
20.1667,,Track,2,Image 1,1002246854,
16.8571,,Track,2,Image 1,1002262996,
248.857,,Track,2,Image 1,1002273437,
0,,Track,2,Image 1,1002278860,
0,,Track,2,Image 1,1002300559,
0.454545,,Track,2,Image 1,1002307653,
0,,Track,2,Image 1,1002309454,
74.7273,,Track,2,Image 1,1002316459,
44,,Track,2,Image 1,1002316883,
40,,Track,2,Image 1,1002317275,
0,,Track,2,Image 1,1002336151,
