
Track Position Start
 ==================== 
Track Position X Start,Track Position Y Start,Track Position Z Start,Unit,Category,Collection,ID,
151.116,289.642,66.308,µm,Track,Track Position Start,1001597972,
175.062,323.585,87.5318,µm,Track,Track Position Start,1001634186,
-14.5297,305.358,10.943,µm,Track,Track Position Start,1001641521,
124.37,207.098,40.4602,µm,Track,Track Position Start,1001649683,
112.575,386.475,70.2859,µm,Track,Track Position Start,1001660310,
167.954,285.137,79.6176,µm,Track,Track Position Start,1001662631,
112.165,383.734,80.1281,µm,Track,Track Position Start,1001662802,
169.021,312.66,76.5426,µm,Track,Track Position Start,1001692264,
260.373,305.474,94.7078,µm,Track,Track Position Start,1001696991,
118.793,248.639,21.7268,µm,Track,Track Position Start,1001705575,
109.329,278.294,29.3456,µm,Track,Track Position Start,1001708522,
291.69,264.691,51.9161,µm,Track,Track Position Start,1001717292,
406.216,100.301,73.5276,µm,Track,Track Position Start,1001721190,
217.794,198.795,75.2934,µm,Track,Track Position Start,1001721732,
75.243,359.407,73.5168,µm,Track,Track Position Start,1001722530,
146.307,304.397,82.3971,µm,Track,Track Position Start,1001723411,
84.8442,243.11,16.2724,µm,Track,Track Position Start,1001735688,
158.861,244.476,27.7686,µm,Track,Track Position Start,1001739237,
213.949,132.224,56.2623,µm,Track,Track Position Start,1001745981,
322.972,97.421,60.8701,µm,Track,Track Position Start,1001748846,
167.624,298.037,43.7287,µm,Track,Track Position Start,1001774250,
152.581,80.8634,7.98047,µm,Track,Track Position Start,1001792466,
238.352,104.61,31.7858,µm,Track,Track Position Start,1001800294,
116.582,278.686,25.7074,µm,Track,Track Position Start,1001831823,
307.507,78.1371,49.1976,µm,Track,Track Position Start,1001838017,
165.722,296.771,64.2307,µm,Track,Track Position Start,1001843531,
211.061,284.242,88.8183,µm,Track,Track Position Start,1001850191,
213.717,126.788,53.0687,µm,Track,Track Position Start,1001869026,
234.759,203.173,64.6379,µm,Track,Track Position Start,1001872907,
113.423,384.211,64.3162,µm,Track,Track Position Start,1001874170,
176.536,321.403,77.7801,µm,Track,Track Position Start,1001876881,
293.333,215.599,88.6579,µm,Track,Track Position Start,1001878744,
33.1675,331.384,17.5709,µm,Track,Track Position Start,1001889904,
87.7855,217.457,44.1475,µm,Track,Track Position Start,1001895167,
169.132,309.089,36.9337,µm,Track,Track Position Start,1001896809,
108.71,291.875,61.0845,µm,Track,Track Position Start,1001904297,
157.127,290.814,64.2521,µm,Track,Track Position Start,1001904618,
311.215,172.288,87.8493,µm,Track,Track Position Start,1001939884,
264.119,295.953,94.6919,µm,Track,Track Position Start,1001942811,
159.26,247.286,28.9531,µm,Track,Track Position Start,1001954731,
240.421,213.09,83.6832,µm,Track,Track Position Start,1001968557,
83.6628,368.979,73.4154,µm,Track,Track Position Start,1001968819,
28.854,321.153,1.5,µm,Track,Track Position Start,1001978360,
264.082,366.451,100.5,µm,Track,Track Position Start,1002006710,
97.0848,358.034,67.3617,µm,Track,Track Position Start,1002029154,
172.939,296.933,76.4252,µm,Track,Track Position Start,1002031500,
237.723,107.872,32.2273,µm,Track,Track Position Start,1002047887,
240.949,97.5774,47.0659,µm,Track,Track Position Start,1002051985,
234.207,206.564,64.516,µm,Track,Track Position Start,1002059095,
268.4,291.236,92.2575,µm,Track,Track Position Start,1002067444,
315.879,264.222,94.2604,µm,Track,Track Position Start,1002067747,
177.305,120.902,43.9545,µm,Track,Track Position Start,1002113497,
279.965,132.416,72.9306,µm,Track,Track Position Start,1002124155,
170.192,285.31,76.3783,µm,Track,Track Position Start,1002125541,
110.55,302.706,24.8863,µm,Track,Track Position Start,1002142435,
153.709,200.28,58.2574,µm,Track,Track Position Start,1002148602,
177.91,398.122,52.6658,µm,Track,Track Position Start,1002150876,
291.74,215.836,85.8605,µm,Track,Track Position Start,1002158806,
219.535,174.67,50.7153,µm,Track,Track Position Start,1002180262,
84.5008,342.047,55.3229,µm,Track,Track Position Start,1002182375,
116.247,281.536,25.2587,µm,Track,Track Position Start,1002205040,
214.06,129.279,51.9263,µm,Track,Track Position Start,1002211774,
158.108,283.967,52.8718,µm,Track,Track Position Start,1002213141,
206.705,291.232,88.6832,µm,Track,Track Position Start,1002223441,
120.252,109.781,7.38808,µm,Track,Track Position Start,1002227684,
162.568,251.432,28.9942,µm,Track,Track Position Start,1002236414,
183.733,172.855,58.8946,µm,Track,Track Position Start,1002242134,
306.986,79.2172,49.2837,µm,Track,Track Position Start,1002242329,
344.588,89.1893,59.7875,µm,Track,Track Position Start,1002243369,
351.382,182.918,66.4014,µm,Track,Track Position Start,1002246854,
257.321,41.999,20.116,µm,Track,Track Position Start,1002262996,
365.637,62.3954,49.7505,µm,Track,Track Position Start,1002273437,
158.547,292.079,64.317,µm,Track,Track Position Start,1002278860,
186.969,216.894,40.5049,µm,Track,Track Position Start,1002300559,
180.418,398.696,58.8562,µm,Track,Track Position Start,1002307653,
237.661,205.481,67.4819,µm,Track,Track Position Start,1002309454,
287.041,254.284,86.2958,µm,Track,Track Position Start,1002316459,
239.269,288.947,87.6734,µm,Track,Track Position Start,1002316883,
264.538,297.407,91.5704,µm,Track,Track Position Start,1002317275,
292.937,159.795,54.7569,µm,Track,Track Position Start,1002336151,
258.374,135.225,59.5434,µm,Track,Track Position Start,1002336484,
122.703,311.024,31.0596,µm,Track,Track Position Start,1002360360,
185.123,228.983,50.9008,µm,Track,Track Position Start,1002367218,
