
Track Speed Mean
 ==================== 
Track Speed Mean,Unit,Category,ID,
0.0667305,µm/s,Track,1001792466,
0.0761231,µm/s,Track,1001800294,
0.0473034,µm/s,Track,1001831823,
0.0642093,µm/s,Track,1001838017,
0.06689,µm/s,Track,1001843531,
0.0431134,µm/s,Track,1001850191,
0.0589518,µm/s,Track,1001869026,
0.0634581,µm/s,Track,1001872907,
0.0591836,µm/s,Track,1001874170,
0.0428409,µm/s,Track,1001876881,
0.0493334,µm/s,Track,1001878744,
0.0546366,µm/s,Track,1001889904,
0.0597244,µm/s,Track,1001895167,
0.0610424,µm/s,Track,1001896809,
0.0441623,µm/s,Track,1001904297,
0.0584667,µm/s,Track,1001904618,
0.0422662,µm/s,Track,1001939884,
0.0565303,µm/s,Track,1001942811,
0.0479582,µm/s,Track,1001954731,
0.0394022,µm/s,Track,1001968557,
0.0535079,µm/s,Track,1001968819,
0.0521225,µm/s,Track,1001978360,
0.0376854,µm/s,Track,1002006710,
0.0496826,µm/s,Track,1002029154,
0.0447765,µm/s,Track,1002031500,
0.0543996,µm/s,Track,1002047887,
0.0505452,µm/s,Track,1002051985,
0.0416466,µm/s,Track,1002059095,
0.0414393,µm/s,Track,1002067444,
0.0676251,µm/s,Track,1002067747,
0.0533641,µm/s,Track,1002113497,
0.0711304,µm/s,Track,1002124155,
0.0548093,µm/s,Track,1002125541,
0.0497231,µm/s,Track,1002142435,
0.0518364,µm/s,Track,1002148602,
0.0521982,µm/s,Track,1002150876,
0.0522429,µm/s,Track,1002158806,
0.0636277,µm/s,Track,1002180262,
0.0452201,µm/s,Track,1002182375,
0.0673143,µm/s,Track,1002205040,
0.058907,µm/s,Track,1002211774,
0.0584093,µm/s,Track,1002213141,
0.0490051,µm/s,Track,1002223441,
0.0640233,µm/s,Track,1002227684,
0.0537076,µm/s,Track,1002236414,
0.0503501,µm/s,Track,1002242134,
0.0526281,µm/s,Track,1002242329,
0.051808,µm/s,Track,1002243369,
0.0690086,µm/s,Track,1002246854,
0.0627466,µm/s,Track,1002262996,
0.0686445,µm/s,Track,1002273437,
0.0420357,µm/s,Track,1002278860,
0.0533868,µm/s,Track,1002300559,
0.0552073,µm/s,Track,1002307653,
0.0647528,µm/s,Track,1002309454,
0.0451066,µm/s,Track,1002316459,
0.0657169,µm/s,Track,1002316883,
0.042163,µm/s,Track,1002317275,
0.0530918,µm/s,Track,1002336151,
0.0701842,µm/s,Track,1002336484,
0.0602663,µm/s,Track,1002360360,
0.0557117,µm/s,Track,1002367218,
0.0494938,µm/s,Track,1002369367,
0.0480139,µm/s,Track,1002382179,
0.0578213,µm/s,Track,1002396861,
0.0413189,µm/s,Track,1002402760,
0.0372986,µm/s,Track,1002404222,
0.0462869,µm/s,Track,1002429210,
0.067459,µm/s,Track,1002435411,
0.0334905,µm/s,Track,1002453328,
0.069599,µm/s,Track,1002454260,
0.0369933,µm/s,Track,1002458180,
0.0579684,µm/s,Track,1002460030,
0.0391155,µm/s,Track,1002460974,
0.0302958,µm/s,Track,1002461635,
0.0520882,µm/s,Track,1002463724,
