
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,TrackID,ID,
129.648,um,Surface,Distance from Origin,7,1000014201,14391,
305.934,um,Surface,Distance from Origin,8,1000014184,14392,
329.16,um,Surface,Distance from Origin,8,1000014331,14393,
322.77,um,Surface,Distance from Origin,8,1000014394,14394,
409.783,um,Surface,Distance from Origin,8,1000014329,14395,
421.34,um,Surface,Distance from Origin,8,1000014185,14396,
299.298,um,Surface,Distance from Origin,8,1000014397,14397,
292.327,um,Surface,Distance from Origin,8,1000014298,14398,
303.488,um,Surface,Distance from Origin,8,1000014299,14399,
365.127,um,Surface,Distance from Origin,8,1000014400,14400,
279.9,um,Surface,Distance from Origin,8,1000014233,14401,
310.062,um,Surface,Distance from Origin,8,1000014402,14402,
311.677,um,Surface,Distance from Origin,8,1000014302,14403,
275.482,um,Surface,Distance from Origin,8,1000014304,14404,
259.958,um,Surface,Distance from Origin,8,1000014189,14405,
260.229,um,Surface,Distance from Origin,8,1000014239,14406,
230.733,um,Surface,Distance from Origin,8,1000014407,14407,
234.479,um,Surface,Distance from Origin,8,1000014193,14408,
260.447,um,Surface,Distance from Origin,8,1000014350,14409,
228.881,um,Surface,Distance from Origin,8,1000014216,14410,
219.15,um,Surface,Distance from Origin,8,1000014218,14411,
210.351,um,Surface,Distance from Origin,8,1000014412,14412,
191.883,um,Surface,Distance from Origin,8,1000014353,14413,
179.808,um,Surface,Distance from Origin,8,1000014414,14414,
176.018,um,Surface,Distance from Origin,8,1000014197,14415,
142.657,um,Surface,Distance from Origin,8,1000014289,14416,
144.26,um,Surface,Distance from Origin,8,1000014199,14417,
141.569,um,Surface,Distance from Origin,8,1000014198,14418,
139.094,um,Surface,Distance from Origin,8,1000014200,14419,
130.498,um,Surface,Distance from Origin,8,1000014201,14420,
290.931,um,Surface,Distance from Origin,9,1000014298,14421,
293.325,um,Surface,Distance from Origin,9,1000014422,14422,
298.61,um,Surface,Distance from Origin,9,1000014397,14423,
304.781,um,Surface,Distance from Origin,9,1000014184,14424,
320.122,um,Surface,Distance from Origin,9,1000014394,14425,
328.078,um,Surface,Distance from Origin,9,1000014331,14426,
409.825,um,Surface,Distance from Origin,9,1000014329,14427,
420.824,um,Surface,Distance from Origin,9,1000014185,14428,
302.659,um,Surface,Distance from Origin,9,1000014299,14429,
327.181,um,Surface,Distance from Origin,9,1000014430,14430,
364.519,um,Surface,Distance from Origin,9,1000014400,14431,
309.326,um,Surface,Distance from Origin,9,1000014402,14432,
274.7,um,Surface,Distance from Origin,9,1000014433,14433,
272.667,um,Surface,Distance from Origin,9,1000014304,14434,
258.102,um,Surface,Distance from Origin,9,1000014189,14435,
268.643,um,Surface,Distance from Origin,9,1000014436,14436,
230.733,um,Surface,Distance from Origin,9,1000014407,14437,
