
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,TrackID,ID,
1.03862,um,Surface,11,1000014299,14490,
1.24111,um,Surface,11,1000014430,14491,
1.75224,um,Surface,11,1000014422,14492,
0,um,Surface,11,1000014493,14493,
2.90017,um,Surface,11,1000014397,14494,
2.26924,um,Surface,11,1000014184,14495,
0.470944,um,Surface,11,1000014459,14496,
0.926425,um,Surface,11,1000014394,14497,
0.684592,um,Surface,11,1000014331,14498,
1.35556,um,Surface,11,1000014185,14499,
1.66471,um,Surface,11,1000014402,14500,
0,um,Surface,11,1000014501,14501,
1.40028,um,Surface,11,1000014433,14502,
3.51459,um,Surface,11,1000014189,14503,
1.88004,um,Surface,11,1000014436,14504,
2.49656,um,Surface,11,1000014470,14505,
0.46413,um,Surface,11,1000014407,14506,
2.33676,um,Surface,11,1000014438,14507,
0.582467,um,Surface,11,1000014439,14508,
1.19039,um,Surface,11,1000014440,14509,
0.932388,um,Surface,11,1000014193,14510,
3.10438,um,Surface,11,1000014350,14511,
1.48751,um,Surface,11,1000014412,14512,
3.38404,um,Surface,11,1000014353,14513,
0.943358,um,Surface,11,1000014414,14514,
5.26042,um,Surface,11,1000014197,14515,
3.28753,um,Surface,11,1000014199,14516,
1.57912,um,Surface,11,1000014198,14517,
3.17955,um,Surface,11,1000014447,14518,
3.23838,um,Surface,11,1000014200,14519,
1.11332,um,Surface,11,1000014453,14520,
0,um,Surface,11,1000014521,14521,
1.10711,um,Surface,12,1000014394,14522,
1.66559,um,Surface,12,1000014331,14523,
0.105071,um,Surface,12,1000014185,14524,
4.53471,um,Surface,12,1000014459,14525,
0.747147,um,Surface,12,1000014397,14526,
3.47358,um,Surface,12,1000014493,14527,
1.30067,um,Surface,12,1000014422,14528,
4.24281,um,Surface,12,1000014430,14529,
0.899452,um,Surface,12,1000014299,14530,
1.64751,um,Surface,12,1000014400,14531,
1.5319,um,Surface,12,1000014465,14532,
1.44553,um,Surface,12,1000014402,14533,
2.79097,um,Surface,12,1000014433,14534,
2.60657,um,Surface,12,1000014501,14535,
0,um,Surface,12,1000014536,14536,
0.977161,um,Surface,12,1000014189,14537,
1.81634,um,Surface,12,1000014436,14538,
1.6687,um,Surface,12,1000014470,14539,
1.83382,um,Surface,12,1000014407,14540,
0.89123,um,Surface,12,1000014439,14541,
0.864277,um,Surface,12,1000014440,14542,
1.26468,um,Surface,12,1000014438,14543,
1.82322,um,Surface,12,1000014193,14544,
0,um,Surface,12,1000014545,14545,
2.17748,um,Surface,12,1000014353,14546,
1.57154,um,Surface,12,1000014412,14547,
0.818662,um,Surface,12,1000014414,14548,
3.0179,um,Surface,12,1000014197,14549,
2.17914,um,Surface,12,1000014199,14550,
1.09617,um,Surface,12,1000014447,14551,
1.19417,um,Surface,12,1000014198,14552,
3.16075,um,Surface,12,1000014200,14553,
6.53939,um,Surface,12,1000014453,14554,
3.26646,um,Surface,12,1000014521,14555,
0,um,Surface,13,1000014556,14556,
1.30329,um,Surface,13,1000014185,14557,
4.47232,um,Surface,13,1000014331,14558,
2.13229,um,Surface,13,1000014394,14559,
2.68872,um,Surface,13,1000014459,14560,
2.2512,um,Surface,13,1000014397,14561,
