
Track Intensity Max Ch=1 Img=1
 ==================== 
Track Intensity Max,Unit,Category,Channel,Image,ID,
9,,Track,1,Image 1,1000015891,
147,,Track,1,Image 1,1000015910,
255,,Track,1,Image 1,1000015931,
213,,Track,1,Image 1,1000015937,
5,,Track,1,Image 1,1000015951,
255,,Track,1,Image 1,1000015960,
127,,Track,1,Image 1,1000015964,
8,,Track,1,Image 1,1000015975,
55,,Track,1,Image 1,1000015996,
254,,Track,1,Image 1,1000016009,
56,,Track,1,Image 1,1000016017,
18,,Track,1,Image 1,1000016024,
173,,Track,1,Image 1,1000016031,
73,,Track,1,Image 1,1000016045,
32,,Track,1,Image 1,1000016051,
57,,Track,1,Image 1,1000016052,
0,,Track,1,Image 1,1000016073,
23,,Track,1,Image 1,1000016077,
105,,Track,1,Image 1,1000016083,
80,,Track,1,Image 1,1000016095,
170,,Track,1,Image 1,1000016100,
49,,Track,1,Image 1,1000016102,
50,,Track,1,Image 1,1000016107,
30,,Track,1,Image 1,1000016109,
54,,Track,1,Image 1,1000016117,
92,,Track,1,Image 1,1000016143,
53,,Track,1,Image 1,1000016167,
255,,Track,1,Image 1,1000016188,
11,,Track,1,Image 1,1000016195,
255,,Track,1,Image 1,1000016200,
4,,Track,1,Image 1,1000016214,
0,,Track,1,Image 1,1000016218,
72,,Track,1,Image 1,1000016223,
41,,Track,1,Image 1,1000016232,
41,,Track,1,Image 1,1000016233,
216,,Track,1,Image 1,1000016235,
248,,Track,1,Image 1,1000016250,
24,,Track,1,Image 1,1000016259,
33,,Track,1,Image 1,1000016275,
67,,Track,1,Image 1,1000016281,
254,,Track,1,Image 1,1000016292,
41,,Track,1,Image 1,1000016299,
16,,Track,1,Image 1,1000016304,
71,,Track,1,Image 1,1000016316,
73,,Track,1,Image 1,1000016320,
41,,Track,1,Image 1,1000016332,
93,,Track,1,Image 1,1000016337,
98,,Track,1,Image 1,1000016338,
22,,Track,1,Image 1,1000016342,
44,,Track,1,Image 1,1000016354,
23,,Track,1,Image 1,1000016357,
95,,Track,1,Image 1,1000016360,
3,,Track,1,Image 1,1000016381,
42,,Track,1,Image 1,1000016386,
0,,Track,1,Image 1,1000016390,
54,,Track,1,Image 1,1000016397,
18,,Track,1,Image 1,1000016402,
173,,Track,1,Image 1,1000016404,
58,,Track,1,Image 1,1000016415,
1,,Track,1,Image 1,1000016419,
16,,Track,1,Image 1,1000016423,
22,,Track,1,Image 1,1000016426,
65,,Track,1,Image 1,1000016430,
24,,Track,1,Image 1,1000016436,
20,,Track,1,Image 1,1000016453,
22,,Track,1,Image 1,1000016466,
25,,Track,1,Image 1,1000016468,
0,,Track,1,Image 1,1000016474,
50,,Track,1,Image 1,1000016475,
14,,Track,1,Image 1,1000016485,
38,,Track,1,Image 1,1000016504,
6,,Track,1,Image 1,1000016508,
11,,Track,1,Image 1,1000016512,
29,,Track,1,Image 1,1000016521,
82,,Track,1,Image 1,1000016531,
87,,Track,1,Image 1,1000016534,
65,,Track,1,Image 1,1000016542,
31,,Track,1,Image 1,1000016585,
36,,Track,1,Image 1,1000016590,
10,,Track,1,Image 1,1000016591,
10,,Track,1,Image 1,1000016603,
0,,Track,1,Image 1,1000016609,
255,,Track,1,Image 1,1000016611,
45,,Track,1,Image 1,1000016612,
10,,Track,1,Image 1,1000016623,
53,,Track,1,Image 1,1000016626,
0,,Track,1,Image 1,1000016639,
25,,Track,1,Image 1,1000016641,
48,,Track,1,Image 1,1000016643,
39,,Track,1,Image 1,1000016665,
45,,Track,1,Image 1,1000016666,
78,,Track,1,Image 1,1000016674,
17,,Track,1,Image 1,1000016677,
39,,Track,1,Image 1,1000016700,
11,,Track,1,Image 1,1000016703,
3,,Track,1,Image 1,1000016708,
