
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
91,,Surface,3,Image 1,9,1000014329,14427,
92,,Surface,3,Image 1,9,1000014185,14428,
152,,Surface,3,Image 1,9,1000014299,14429,
78,,Surface,3,Image 1,9,1000014430,14430,
86,,Surface,3,Image 1,9,1000014400,14431,
201,,Surface,3,Image 1,9,1000014402,14432,
96,,Surface,3,Image 1,9,1000014433,14433,
116,,Surface,3,Image 1,9,1000014304,14434,
118,,Surface,3,Image 1,9,1000014189,14435,
79,,Surface,3,Image 1,9,1000014436,14436,
254,,Surface,3,Image 1,9,1000014407,14437,
203,,Surface,3,Image 1,9,1000014438,14438,
96,,Surface,3,Image 1,9,1000014439,14439,
59,,Surface,3,Image 1,9,1000014440,14440,
81,,Surface,3,Image 1,9,1000014193,14441,
71,,Surface,3,Image 1,9,1000014350,14442,
82,,Surface,3,Image 1,9,1000014412,14443,
81,,Surface,3,Image 1,9,1000014353,14444,
112,,Surface,3,Image 1,9,1000014414,14445,
185,,Surface,3,Image 1,9,1000014197,14446,
93,,Surface,3,Image 1,9,1000014447,14447,
127,,Surface,3,Image 1,9,1000014199,14448,
210,,Surface,3,Image 1,9,1000014289,14449,
85,,Surface,3,Image 1,9,1000014198,14450,
153,,Surface,3,Image 1,9,1000014200,14451,
112,,Surface,3,Image 1,9,1000014201,14452,
70,,Surface,3,Image 1,9,1000014453,14453,
58,,Surface,3,Image 1,10,1000014430,14454,
127,,Surface,3,Image 1,10,1000014298,14455,
118,,Surface,3,Image 1,10,1000014422,14456,
110,,Surface,3,Image 1,10,1000014397,14457,
119,,Surface,3,Image 1,10,1000014184,14458,
103,,Surface,3,Image 1,10,1000014459,14459,
143,,Surface,3,Image 1,10,1000014394,14460,
77,,Surface,3,Image 1,10,1000014331,14461,
112,,Surface,3,Image 1,10,1000014185,14462,
144,,Surface,3,Image 1,10,1000014299,14463,
86,,Surface,3,Image 1,10,1000014400,14464,
84,,Surface,3,Image 1,10,1000014465,14465,
105,,Surface,3,Image 1,10,1000014402,14466,
82,,Surface,3,Image 1,10,1000014433,14467,
105,,Surface,3,Image 1,10,1000014189,14468,
82,,Surface,3,Image 1,10,1000014436,14469,
254,,Surface,3,Image 1,10,1000014470,14470,
232,,Surface,3,Image 1,10,1000014407,14471,
99,,Surface,3,Image 1,10,1000014438,14472,
73,,Surface,3,Image 1,10,1000014439,14473,
93,,Surface,3,Image 1,10,1000014440,14474,
89,,Surface,3,Image 1,10,1000014193,14475,
93,,Surface,3,Image 1,10,1000014350,14476,
71,,Surface,3,Image 1,10,1000014412,14477,
141,,Surface,3,Image 1,10,1000014353,14478,
112,,Surface,3,Image 1,10,1000014414,14479,
174,,Surface,3,Image 1,10,1000014197,14480,
72,,Surface,3,Image 1,10,1000014447,14481,
254,,Surface,3,Image 1,10,1000014199,14482,
83,,Surface,3,Image 1,10,1000014198,14483,
74,,Surface,3,Image 1,10,1000014200,14484,
254,,Surface,3,Image 1,10,1000014201,14485,
88,,Surface,3,Image 1,10,1000014453,14486,
88,,Surface,3,Image 1,11,1000014465,14487,
93,,Surface,3,Image 1,11,1000014400,14488,
101,,Surface,3,Image 1,11,1000014298,14489,
144,,Surface,3,Image 1,11,1000014299,14490,
217,,Surface,3,Image 1,11,1000014430,14491,
156,,Surface,3,Image 1,11,1000014422,14492,
76,,Surface,3,Image 1,11,1000014493,14493,
84,,Surface,3,Image 1,11,1000014397,14494,
150,,Surface,3,Image 1,11,1000014184,14495,
99,,Surface,3,Image 1,11,1000014459,14496,
110,,Surface,3,Image 1,11,1000014394,14497,
104,,Surface,3,Image 1,11,1000014331,14498,
109,,Surface,3,Image 1,11,1000014185,14499,
153,,Surface,3,Image 1,11,1000014402,14500,
108,,Surface,3,Image 1,11,1000014501,14501,
52,,Surface,3,Image 1,11,1000014433,14502,
105,,Surface,3,Image 1,11,1000014189,14503,
80,,Surface,3,Image 1,11,1000014436,14504,
199,,Surface,3,Image 1,11,1000014470,14505,
229,,Surface,3,Image 1,11,1000014407,14506,
144,,Surface,3,Image 1,11,1000014438,14507,
95,,Surface,3,Image 1,11,1000014439,14508,
78,,Surface,3,Image 1,11,1000014440,14509,
117,,Surface,3,Image 1,11,1000014193,14510,
85,,Surface,3,Image 1,11,1000014350,14511,
136,,Surface,3,Image 1,11,1000014412,14512,
130,,Surface,3,Image 1,11,1000014353,14513,
146,,Surface,3,Image 1,11,1000014414,14514,
153,,Surface,3,Image 1,11,1000014197,14515,
243,,Surface,3,Image 1,11,1000014199,14516,
66,,Surface,3,Image 1,11,1000014198,14517,
65,,Surface,3,Image 1,11,1000014447,14518,
101,,Surface,3,Image 1,11,1000014200,14519,
70,,Surface,3,Image 1,11,1000014453,14520,
120,,Surface,3,Image 1,11,1000014521,14521,
93,,Surface,3,Image 1,12,1000014394,14522,
84,,Surface,3,Image 1,12,1000014331,14523,
108,,Surface,3,Image 1,12,1000014185,14524,
136,,Surface,3,Image 1,12,1000014459,14525,
125,,Surface,3,Image 1,12,1000014397,14526,
77,,Surface,3,Image 1,12,1000014493,14527,
70,,Surface,3,Image 1,12,1000014422,14528,
208,,Surface,3,Image 1,12,1000014430,14529,
132,,Surface,3,Image 1,12,1000014299,14530,
78,,Surface,3,Image 1,12,1000014400,14531,
100,,Surface,3,Image 1,12,1000014465,14532,
135,,Surface,3,Image 1,12,1000014402,14533,
111,,Surface,3,Image 1,12,1000014433,14534,
131,,Surface,3,Image 1,12,1000014501,14535,
104,,Surface,3,Image 1,12,1000014536,14536,
118,,Surface,3,Image 1,12,1000014189,14537,
67,,Surface,3,Image 1,12,1000014436,14538,
254,,Surface,3,Image 1,12,1000014470,14539,
254,,Surface,3,Image 1,12,1000014407,14540,
61,,Surface,3,Image 1,12,1000014439,14541,
87,,Surface,3,Image 1,12,1000014440,14542,
89,,Surface,3,Image 1,12,1000014438,14543,
225,,Surface,3,Image 1,12,1000014193,14544,
189,,Surface,3,Image 1,12,1000014545,14545,
104,,Surface,3,Image 1,12,1000014353,14546,
51,,Surface,3,Image 1,12,1000014412,14547,
131,,Surface,3,Image 1,12,1000014414,14548,
196,,Surface,3,Image 1,12,1000014197,14549,
223,,Surface,3,Image 1,12,1000014199,14550,
88,,Surface,3,Image 1,12,1000014447,14551,
51,,Surface,3,Image 1,12,1000014198,14552,
99,,Surface,3,Image 1,12,1000014200,14553,
97,,Surface,3,Image 1,12,1000014453,14554,
78,,Surface,3,Image 1,12,1000014521,14555,
118,,Surface,3,Image 1,13,1000014556,14556,
107,,Surface,3,Image 1,13,1000014185,14557,
78,,Surface,3,Image 1,13,1000014331,14558,
60,,Surface,3,Image 1,13,1000014394,14559,
229,,Surface,3,Image 1,13,1000014459,14560,
105,,Surface,3,Image 1,13,1000014397,14561,
87,,Surface,3,Image 1,13,1000014493,14562,
168,,Surface,3,Image 1,13,1000014299,14563,
84,,Surface,3,Image 1,13,1000014400,14564,
67,,Surface,3,Image 1,13,1000014465,14565,
99,,Surface,3,Image 1,13,1000014402,14566,
127,,Surface,3,Image 1,13,1000014501,14567,
