
Velocity Angle
 ==================== 
Velocity Angle X,Velocity Angle Y,Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
161.57,108.438,90.0027,°,Surface,Velocity Angle,4,1000014201,14291,
174.811,84.8079,90.0027,°,Surface,Velocity Angle,4,1000014202,14292,
119.555,34.7134,106.541,°,Surface,Velocity Angle,5,1000014184,14293,
94.7658,175.242,90.0027,°,Surface,Velocity Angle,5,1000014185,14294,
144.299,122.074,104.023,°,Surface,Velocity Angle,5,1000014261,14295,
79.47,79.7446,165.22,°,Surface,Velocity Angle,5,1000014186,14296,
157.667,109.87,99.8005,°,Surface,Velocity Angle,5,1000014187,14297,
161.301,81.5727,106.574,°,Surface,Velocity Angle,5,1000014298,14298,
25.9145,114.703,97.3542,°,Surface,Velocity Angle,5,1000014299,14299,
116.551,34.9747,68.9703,°,Surface,Velocity Angle,5,1000014233,14300,
16.5919,97.0881,104.927,°,Surface,Velocity Angle,5,1000014207,14301,
28.778,117.952,83.6891,°,Surface,Velocity Angle,5,1000014302,14302,
147.622,66.8897,111.371,°,Surface,Velocity Angle,5,1000014236,14303,
93.3979,101.471,11.9731,°,Surface,Velocity Angle,5,1000014304,14304,
47.6571,78.395,135.336,°,Surface,Velocity Angle,5,1000014189,14305,
137.867,47.8639,90.0027,°,Surface,Velocity Angle,5,1000014210,14306,
19.7983,101.198,73.8894,°,Surface,Velocity Angle,5,1000014239,14307,
178.481,88.4781,90.0027,°,Surface,Velocity Angle,5,1000014190,14308,
8.3093,81.9588,92.0724,°,Surface,Velocity Angle,5,1000014212,14309,
140.125,127.879,79.3494,°,Surface,Velocity Angle,5,1000014242,14310,
101.196,46.5225,134.365,°,Surface,Velocity Angle,5,1000014191,14311,
87.067,177.07,90.0027,°,Surface,Velocity Angle,5,1000014275,14312,
108.247,20.0915,81.8739,°,Surface,Velocity Angle,5,1000014192,14313,
84.9467,15.9651,74.8999,°,Surface,Velocity Angle,5,1000014193,14314,
60.7438,29.2589,90.0027,°,Surface,Velocity Angle,5,1000014216,14315,
132.218,82.2795,43.2538,°,Surface,Velocity Angle,5,1000014194,14316,
93.401,74.9455,15.4537,°,Surface,Velocity Angle,5,1000014218,14317,
94.0443,38.6127,128.323,°,Surface,Velocity Angle,5,1000014220,14318,
118.182,102.81,148.561,°,Surface,Velocity Angle,5,1000014196,14319,
34.1293,108.088,62.1395,°,Surface,Velocity Angle,5,1000014197,14320,
128.58,38.5774,90.0027,°,Surface,Velocity Angle,5,1000014223,14321,
162.032,107.976,90.0027,°,Surface,Velocity Angle,5,1000014288,14322,
142.129,127.879,90.0027,°,Surface,Velocity Angle,5,1000014199,14323,
40.6802,69.0887,123.055,°,Surface,Velocity Angle,5,1000014198,14324,
117.357,71.5877,33.8902,°,Surface,Velocity Angle,5,1000014289,14325,
89.7743,147.296,57.2946,°,Surface,Velocity Angle,5,1000014200,14326,
25.5105,115.513,90.0027,°,Surface,Velocity Angle,5,1000014201,14327,
38.1584,128.161,90.0027,°,Surface,Velocity Angle,5,1000014202,14328,
85.0211,175.024,90.0027,°,Surface,Velocity Angle,6,1000014329,14329,
111.252,27.2814,106.3,°,Surface,Velocity Angle,6,1000014185,14330,
70.7182,54.6203,138.201,°,Surface,Velocity Angle,6,1000014331,14331,
110.573,27.0648,73.1989,°,Surface,Velocity Angle,6,1000014184,14332,
176.62,91.2253,93.1595,°,Surface,Velocity Angle,6,1000014261,14333,
12.8481,77.1546,90.0027,°,Surface,Velocity Angle,6,1000014187,14334,
93.4318,19.2466,71.0878,°,Surface,Velocity Angle,6,1000014298,14335,
67.7937,75.7058,153.165,°,Surface,Velocity Angle,6,1000014299,14336,
96.5783,17.6382,73.7107,°,Surface,Velocity Angle,6,1000014233,14337,
4.75186,91.9402,94.3399,°,Surface,Velocity Angle,6,1000014207,14338,
50.3111,41.8343,78.9153,°,Surface,Velocity Angle,6,1000014302,14339,
164.959,79.2926,100.446,°,Surface,Velocity Angle,6,1000014236,14340,
103.533,45.6933,132.557,°,Surface,Velocity Angle,6,1000014304,14341,
70.9506,22.5534,101.62,°,Surface,Velocity Angle,6,1000014189,14342,
115.564,25.5609,90.0027,°,Surface,Velocity Angle,6,1000014210,14343,
24.9128,88.7157,65.1277,°,Surface,Velocity Angle,6,1000014239,14344,
49.5546,65.619,50.2621,°,Surface,Velocity Angle,6,1000014212,14345,
69.782,159.785,90.0027,°,Surface,Velocity Angle,6,1000014190,14346,
162.726,98.8893,75.3059,°,Surface,Velocity Angle,6,1000014242,14347,
39.281,126.547,102.427,°,Surface,Velocity Angle,6,1000014275,14348,
26.2032,104.553,68.7111,°,Surface,Velocity Angle,6,1000014193,14349,
8.32743,98.3301,90.0027,°,Surface,Velocity Angle,6,1000014350,14350,
87.5821,177.585,90.0027,°,Surface,Velocity Angle,6,1000014216,14351,
57.7283,38.6539,108.911,°,Surface,Velocity Angle,6,1000014218,14352,
102.147,33.8232,58.982,°,Surface,Velocity Angle,6,1000014353,14353,
98.6553,171.353,90.0027,°,Surface,Velocity Angle,6,1000014196,14354,
59.2471,44.6474,61.1851,°,Surface,Velocity Angle,6,1000014197,14355,
92.3977,22.8376,112.7,°,Surface,Velocity Angle,6,1000014198,14356,
81.5313,8.47136,90.0027,°,Surface,Velocity Angle,6,1000014199,14357,
86.1226,65.8391,24.5129,°,Surface,Velocity Angle,6,1000014289,14358,
107.436,162.572,90.0027,°,Surface,Velocity Angle,6,1000014288,14359,
23.259,73.5133,74.0679,°,Surface,Velocity Angle,6,1000014200,14360,
113.404,71.4784,30.5711,°,Surface,Velocity Angle,6,1000014201,14361,
27.6468,117.649,90.0027,°,Surface,Velocity Angle,6,1000014202,14362,
50.3237,79.1782,138.282,°,Surface,Velocity Angle,7,1000014185,14363,
57.6492,147.652,90.0027,°,Surface,Velocity Angle,7,1000014329,14364,
