
Track Speed Min
 ==================== 
Track Speed Min,Unit,Category,ID,
0.0703768,um/s,Track,1000016436,
0.0955509,um/s,Track,1000016453,
0.0512761,um/s,Track,1000016466,
0.0832439,um/s,Track,1000016468,
0.0426594,um/s,Track,1000016474,
0.0662456,um/s,Track,1000016475,
0.0465518,um/s,Track,1000016485,
0.0886447,um/s,Track,1000016504,
0.0358409,um/s,Track,1000016508,
0.0129359,um/s,Track,1000016512,
0.0670994,um/s,Track,1000016521,
0.0206926,um/s,Track,1000016531,
0.0137604,um/s,Track,1000016534,
0.043946,um/s,Track,1000016542,
0.0434127,um/s,Track,1000016585,
0.0799464,um/s,Track,1000016590,
0.023382,um/s,Track,1000016591,
0.0717897,um/s,Track,1000016603,
0.0436516,um/s,Track,1000016609,
0.0836644,um/s,Track,1000016611,
0.132379,um/s,Track,1000016612,
0.0747194,um/s,Track,1000016623,
0.0396151,um/s,Track,1000016626,
0.0579623,um/s,Track,1000016639,
0.0253262,um/s,Track,1000016641,
0.0524426,um/s,Track,1000016643,
0.0357805,um/s,Track,1000016665,
0.0847988,um/s,Track,1000016666,
0.0428353,um/s,Track,1000016674,
0.0476148,um/s,Track,1000016677,
0.070745,um/s,Track,1000016700,
0.0427189,um/s,Track,1000016703,
0.0238398,um/s,Track,1000016708,
