
Track Ar1 Mean
 ==================== 
Track Ar1 Mean,Unit,Category,ID,
-0.60793,,Track,1000014800,
0.102107,,Track,1000014803,
-0.368888,,Track,1000014804,
-0.0416461,,Track,1000014809,
-0.358028,,Track,1000014822,
-0.117274,,Track,1000014846,
-0.365495,,Track,1000014848,
-0.324116,,Track,1000014852,
-0.549596,,Track,1000014859,
-0.341028,,Track,1000014887,
-0.0639244,,Track,1000014909,
-0.218561,,Track,1000014918,
-0.186523,,Track,1000014926,
-0.146396,,Track,1000014938,
-0.231907,,Track,1000014939,
-0.206449,,Track,1000014943,
-0.34934,,Track,1000014948,
-0.243618,,Track,1000014950,
-0.569189,,Track,1000014956,
-0.274497,,Track,1000014964,
-0.631489,,Track,1000014966,
-0.244292,,Track,1000014981,
-0.198307,,Track,1000014991,
0.0436449,,Track,1000015000,
-0.375691,,Track,1000015007,
-0.128724,,Track,1000015009,
-0.180131,,Track,1000015012,
-0.0696726,,Track,1000015021,
-0.0801451,,Track,1000015022,
-0.359403,,Track,1000015027,
-0.216497,,Track,1000015029,
-0.372044,,Track,1000015030,
-0.327073,,Track,1000015055,
-0.00883937,,Track,1000015069,
-0.333444,,Track,1000015072,
-0.134307,,Track,1000015073,
-0.506628,,Track,1000015096,
-0.191454,,Track,1000015097,
-0.312218,,Track,1000015099,
-0.50462,,Track,1000015100,
-0.279834,,Track,1000015102,
-0.17348,,Track,1000015108,
-0.381962,,Track,1000015118,
-0.0352396,,Track,1000015122,
-0.196403,,Track,1000015123,
-0.111505,,Track,1000015142,
-0.324613,,Track,1000015145,
-0.0914292,,Track,1000015154,
-0.164683,,Track,1000015158,
-0.434636,,Track,1000015161,
-0.142285,,Track,1000015174,
-0.286634,,Track,1000015179,
-0.21751,,Track,1000015180,
-0.255187,,Track,1000015184,
0.200881,,Track,1000015190,
-0.266524,,Track,1000015202,
-0.357745,,Track,1000015204,
-0.509164,,Track,1000015206,
-0.439272,,Track,1000015207,
-0.144945,,Track,1000015208,
-0.139595,,Track,1000015213,
-0.136644,,Track,1000015219,
-0.390254,,Track,1000015221,
-0.184584,,Track,1000015228,
0.103289,,Track,1000015237,
-0.467298,,Track,1000015240,
-0.393051,,Track,1000015248,
-0.0805462,,Track,1000015251,
-0.0432097,,Track,1000015267,
-0.600933,,Track,1000015268,
-0.165935,,Track,1000015274,
-0.244022,,Track,1000015279,
-0.288622,,Track,1000015280,
0.0420883,,Track,1000015290,
-0.265982,,Track,1000015293,
-0.139937,,Track,1000015307,
-0.218053,,Track,1000015308,
-0.290057,,Track,1000015348,
-0.641603,,Track,1000015352,
-0.131444,,Track,1000015353,
-0.400428,,Track,1000015362,
-0.466811,,Track,1000015370,
-0.439686,,Track,1000015377,
-0.601888,,Track,1000015388,
-0.185013,,Track,1000015394,
-0.49715,,Track,1000015400,
-0.328218,,Track,1000015407,
-0.29826,,Track,1000015415,
-0.518841,,Track,1000015421,
-0.205648,,Track,1000015432,
-0.181063,,Track,1000015443,
0.0143851,,Track,1000015450,
-0.00746405,,Track,1000015455,
-0.0856293,,Track,1000015461,
-0.304517,,Track,1000015477,
-0.308369,,Track,1000015497,
-0.607628,,Track,1000015502,
-0.393685,,Track,1000015503,
-0.48888,,Track,1000015508,
-0.2878,,Track,1000015516,
-0.390868,,Track,1000015525,
-0.63345,,Track,1000015536,
-0.213759,,Track,1000015541,
-0.465094,,Track,1000015557,
-0.592639,,Track,1000015590,
-0.397463,,Track,1000015591,
