
Volume
 ==================== 
Volume,Unit,Category,Time,TrackID,ID,
80.6539,um^3,Surface,37,1000015421,15421,
30.7088,um^3,Surface,37,1000015237,15422,
10.0345,um^3,Surface,37,1000015377,15423,
9.0948,um^3,Surface,37,1000015029,15424,
1.02792,um^3,Surface,37,1000015030,15425,
13.2557,um^3,Surface,37,1000015240,15426,
9.925,um^3,Surface,37,1000015096,15427,
3.03237,um^3,Surface,37,1000015290,15428,
3.25429,um^3,Surface,37,1000015293,15429,
21.1308,um^3,Surface,37,1000015097,15430,
16.6965,um^3,Surface,37,1000015100,15431,
96.94,um^3,Surface,37,1000015432,15432,
5.65757,um^3,Surface,37,1000015248,15433,
5.85784,um^3,Surface,38,1000015394,15434,
7.97903,um^3,Surface,38,1000015204,15435,
45.8254,um^3,Surface,38,1000015388,15436,
9.9269,um^3,Surface,38,1000015307,15437,
38.7626,um^3,Surface,38,1000015308,15438,
30.0593,um^3,Surface,38,1000015348,15439,
30.6685,um^3,Surface,38,1000015072,15440,
22.1216,um^3,Surface,38,1000015208,15441,
2.42315,um^3,Surface,38,1000015206,15442,
1.99102,um^3,Surface,38,1000015443,15443,
1.14087,um^3,Surface,38,1000015352,15444,
19.0539,um^3,Surface,38,1000015353,15445,
14.751,um^3,Surface,38,1000015251,15446,
8.13778,um^3,Surface,38,1000015400,15447,
12.0107,um^3,Surface,38,1000015213,15448,
8.65104,um^3,Surface,38,1000015174,15449,
12.9526,um^3,Surface,38,1000015450,15450,
26.3456,um^3,Surface,38,1000015108,15451,
15.9939,um^3,Surface,38,1000015219,15452,
22.0529,um^3,Surface,38,1000015145,15453,
51.9797,um^3,Surface,38,1000015267,15454,
1.42862,um^3,Surface,38,1000015455,15455,
33.5943,um^3,Surface,38,1000015407,15456,
48.4033,um^3,Surface,38,1000015362,15457,
3.5599,um^3,Surface,38,1000015021,15458,
46.1075,um^3,Surface,38,1000014659,15459,
38.1533,um^3,Surface,38,1000015274,15460,
4.96246,um^3,Surface,38,1000015461,15461,
10.5343,um^3,Surface,38,1000015370,15462,
2.50124,um^3,Surface,38,1000015415,15463,
10.9535,um^3,Surface,38,1000015279,15464,
20.5733,um^3,Surface,38,1000015280,15465,
8.46004,um^3,Surface,38,1000015190,15466,
48.4298,um^3,Surface,38,1000015123,15467,
20.0126,um^3,Surface,38,1000015421,15468,
89.6321,um^3,Surface,38,1000015237,15469,
7.78504,um^3,Surface,38,1000015377,15470,
13.3589,um^3,Surface,38,1000015029,15471,
7.51349,um^3,Surface,38,1000015240,15472,
10.1557,um^3,Surface,38,1000015096,15473,
7.69331,um^3,Surface,38,1000015290,15474,
7.3752,um^3,Surface,38,1000015293,15475,
21.2597,um^3,Surface,38,1000015097,15476,
79.8878,um^3,Surface,38,1000015477,15477,
77.1168,um^3,Surface,38,1000015432,15478,
4.87068,um^3,Surface,39,1000015174,15479,
1.93988,um^3,Surface,39,1000015400,15480,
20.1328,um^3,Surface,39,1000015251,15481,
8.70783,um^3,Surface,39,1000015353,15482,
6.34374,um^3,Surface,39,1000015352,15483,
7.3203,um^3,Surface,39,1000015394,15484,
5.16731,um^3,Surface,39,1000015206,15485,
2.37583,um^3,Surface,39,1000015443,15486,
33.2092,um^3,Surface,39,1000015388,15487,
27.5121,um^3,Surface,39,1000015348,15488,
27.2082,um^3,Surface,39,1000015072,15489,
63.6564,um^3,Surface,39,1000015213,15490,
35.174,um^3,Surface,39,1000015450,15491,
10.5021,um^3,Surface,39,1000015219,15492,
36.305,um^3,Surface,39,1000015145,15493,
3.44295,um^3,Surface,39,1000015267,15494,
38.673,um^3,Surface,39,1000015455,15495,
59.1567,um^3,Surface,39,1000015407,15496,
6.47258,um^3,Surface,39,1000015497,15497,
3.96599,um^3,Surface,39,1000015362,15498,
2.69834,um^3,Surface,39,1000015021,15499,
51.9382,um^3,Surface,39,1000014659,15500,
5.55615,um^3,Surface,39,1000015274,15501,
38.106,um^3,Surface,39,1000015502,15502,
5.1925,um^3,Surface,39,1000015503,15503,
8.00597,um^3,Surface,39,1000015461,15504,
14.9497,um^3,Surface,39,1000015370,15505,
10.4802,um^3,Surface,39,1000015415,15506,
7.08536,um^3,Surface,39,1000015279,15507,
6.71022,um^3,Surface,39,1000015508,15508,
24.0095,um^3,Surface,39,1000015280,15509,
32.0442,um^3,Surface,39,1000015123,15510,
11.2227,um^3,Surface,39,1000015421,15511,
36.4812,um^3,Surface,39,1000015237,15512,
14.5046,um^3,Surface,39,1000015377,15513,
3.31861,um^3,Surface,39,1000015029,15514,
6.67215,um^3,Surface,39,1000015240,15515,
3.03114,um^3,Surface,39,1000015516,15516,
10.1015,um^3,Surface,39,1000015096,15517,
8.47827,um^3,Surface,39,1000015290,15518,
6.07575,um^3,Surface,39,1000015293,15519,
24.1229,um^3,Surface,39,1000015097,15520,
43.43,um^3,Surface,39,1000015477,15521,
41.2258,um^3,Surface,39,1000015432,15522,
16.0619,um^3,Surface,40,1000015394,15523,
6.70058,um^3,Surface,40,1000015443,15524,
14.1119,um^3,Surface,40,1000015525,15525,
8.94073,um^3,Surface,40,1000015388,15526,
11.2124,um^3,Surface,40,1000015348,15527,
18.7356,um^3,Surface,40,1000015072,15528,
53.4715,um^3,Surface,40,1000015251,15529,
4.32742,um^3,Surface,40,1000015400,15530,
7.96581,um^3,Surface,40,1000015174,15531,
77.3414,um^3,Surface,40,1000015213,15532,
