
Intensity Mean Ch=4 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
34.8571,,Surface,4,Image 1,6,1000014184,14332,
3.18182,,Surface,4,Image 1,6,1000014261,14333,
0.245902,,Surface,4,Image 1,6,1000014187,14334,
9.90909,,Surface,4,Image 1,6,1000014298,14335,
53.8182,,Surface,4,Image 1,6,1000014299,14336,
22.1667,,Surface,4,Image 1,6,1000014233,14337,
45.3871,,Surface,4,Image 1,6,1000014207,14338,
168.8,,Surface,4,Image 1,6,1000014302,14339,
13.3103,,Surface,4,Image 1,6,1000014236,14340,
0.608696,,Surface,4,Image 1,6,1000014304,14341,
0,,Surface,4,Image 1,6,1000014189,14342,
28,,Surface,4,Image 1,6,1000014210,14343,
1.80952,,Surface,4,Image 1,6,1000014239,14344,
0.4,,Surface,4,Image 1,6,1000014212,14345,
17.3333,,Surface,4,Image 1,6,1000014190,14346,
9.85714,,Surface,4,Image 1,6,1000014242,14347,
58.6667,,Surface,4,Image 1,6,1000014275,14348,
20.4211,,Surface,4,Image 1,6,1000014193,14349,
19.7143,,Surface,4,Image 1,6,1000014350,14350,
5.5,,Surface,4,Image 1,6,1000014216,14351,
112.071,,Surface,4,Image 1,6,1000014218,14352,
11.4,,Surface,4,Image 1,6,1000014353,14353,
47.5714,,Surface,4,Image 1,6,1000014196,14354,
35.7,,Surface,4,Image 1,6,1000014197,14355,
28.5208,,Surface,4,Image 1,6,1000014198,14356,
212.444,,Surface,4,Image 1,6,1000014199,14357,
11,,Surface,4,Image 1,6,1000014289,14358,
3.69091,,Surface,4,Image 1,6,1000014288,14359,
50.6316,,Surface,4,Image 1,6,1000014200,14360,
1.3125,,Surface,4,Image 1,6,1000014201,14361,
255,,Surface,4,Image 1,6,1000014202,14362,
8.8,,Surface,4,Image 1,7,1000014185,14363,
0,,Surface,4,Image 1,7,1000014329,14364,
1.3,,Surface,4,Image 1,7,1000014331,14365,
39,,Surface,4,Image 1,7,1000014184,14366,
0.265306,,Surface,4,Image 1,7,1000014187,14367,
0,,Surface,4,Image 1,7,1000014261,14368,
11.8421,,Surface,4,Image 1,7,1000014298,14369,
40.2857,,Surface,4,Image 1,7,1000014299,14370,
64.0667,,Surface,4,Image 1,7,1000014207,14371,
20.6,,Surface,4,Image 1,7,1000014233,14372,
141.333,,Surface,4,Image 1,7,1000014302,14373,
1.21429,,Surface,4,Image 1,7,1000014304,14374,
1,,Surface,4,Image 1,7,1000014189,14375,
1.9375,,Surface,4,Image 1,7,1000014239,14376,
24.88,,Surface,4,Image 1,7,1000014190,14377,
4.5,,Surface,4,Image 1,7,1000014212,14378,
43.375,,Surface,4,Image 1,7,1000014275,14379,
0.25,,Surface,4,Image 1,7,1000014193,14380,
9.32,,Surface,4,Image 1,7,1000014350,14381,
9.81818,,Surface,4,Image 1,7,1000014216,14382,
117.615,,Surface,4,Image 1,7,1000014218,14383,
0.333333,,Surface,4,Image 1,7,1000014353,14384,
16.6667,,Surface,4,Image 1,7,1000014197,14385,
117.429,,Surface,4,Image 1,7,1000014199,14386,
28.7692,,Surface,4,Image 1,7,1000014289,14387,
42.0417,,Surface,4,Image 1,7,1000014198,14388,
10.1316,,Surface,4,Image 1,7,1000014288,14389,
22.75,,Surface,4,Image 1,7,1000014200,14390,
10.4737,,Surface,4,Image 1,7,1000014201,14391,
24.3333,,Surface,4,Image 1,8,1000014184,14392,
0.294118,,Surface,4,Image 1,8,1000014331,14393,
25.619,,Surface,4,Image 1,8,1000014394,14394,
1.42857,,Surface,4,Image 1,8,1000014329,14395,
21.0455,,Surface,4,Image 1,8,1000014185,14396,
0,,Surface,4,Image 1,8,1000014397,14397,
23.4615,,Surface,4,Image 1,8,1000014298,14398,
40.7143,,Surface,4,Image 1,8,1000014299,14399,
14.2558,,Surface,4,Image 1,8,1000014400,14400,
33.25,,Surface,4,Image 1,8,1000014233,14401,
128,,Surface,4,Image 1,8,1000014402,14402,
248.25,,Surface,4,Image 1,8,1000014302,14403,
2,,Surface,4,Image 1,8,1000014304,14404,
1.61538,,Surface,4,Image 1,8,1000014189,14405,
1.075,,Surface,4,Image 1,8,1000014239,14406,
14.5,,Surface,4,Image 1,8,1000014407,14407,
14.375,,Surface,4,Image 1,8,1000014193,14408,
10,,Surface,4,Image 1,8,1000014350,14409,
10.875,,Surface,4,Image 1,8,1000014216,14410,
116.385,,Surface,4,Image 1,8,1000014218,14411,
10,,Surface,4,Image 1,8,1000014412,14412,
33,,Surface,4,Image 1,8,1000014353,14413,
25.6667,,Surface,4,Image 1,8,1000014414,14414,
