
Intensity Max Ch=6 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,TrackID,ID,
255,,Surface,6,Image 1,12,1000014185,14524,
255,,Surface,6,Image 1,12,1000014459,14525,
254,,Surface,6,Image 1,12,1000014397,14526,
202,,Surface,6,Image 1,12,1000014493,14527,
254,,Surface,6,Image 1,12,1000014422,14528,
254,,Surface,6,Image 1,12,1000014430,14529,
254,,Surface,6,Image 1,12,1000014299,14530,
254,,Surface,6,Image 1,12,1000014400,14531,
254,,Surface,6,Image 1,12,1000014465,14532,
255,,Surface,6,Image 1,12,1000014402,14533,
191,,Surface,6,Image 1,12,1000014433,14534,
254,,Surface,6,Image 1,12,1000014501,14535,
219,,Surface,6,Image 1,12,1000014536,14536,
255,,Surface,6,Image 1,12,1000014189,14537,
211,,Surface,6,Image 1,12,1000014436,14538,
255,,Surface,6,Image 1,12,1000014470,14539,
255,,Surface,6,Image 1,12,1000014407,14540,
158,,Surface,6,Image 1,12,1000014439,14541,
254,,Surface,6,Image 1,12,1000014440,14542,
255,,Surface,6,Image 1,12,1000014438,14543,
235,,Surface,6,Image 1,12,1000014193,14544,
254,,Surface,6,Image 1,12,1000014545,14545,
254,,Surface,6,Image 1,12,1000014353,14546,
254,,Surface,6,Image 1,12,1000014412,14547,
255,,Surface,6,Image 1,12,1000014414,14548,
254,,Surface,6,Image 1,12,1000014197,14549,
255,,Surface,6,Image 1,12,1000014199,14550,
254,,Surface,6,Image 1,12,1000014447,14551,
255,,Surface,6,Image 1,12,1000014198,14552,
254,,Surface,6,Image 1,12,1000014200,14553,
254,,Surface,6,Image 1,12,1000014453,14554,
171,,Surface,6,Image 1,12,1000014521,14555,
170,,Surface,6,Image 1,13,1000014556,14556,
254,,Surface,6,Image 1,13,1000014185,14557,
156,,Surface,6,Image 1,13,1000014331,14558,
255,,Surface,6,Image 1,13,1000014394,14559,
254,,Surface,6,Image 1,13,1000014459,14560,
254,,Surface,6,Image 1,13,1000014397,14561,
247,,Surface,6,Image 1,13,1000014493,14562,
255,,Surface,6,Image 1,13,1000014299,14563,
254,,Surface,6,Image 1,13,1000014400,14564,
240,,Surface,6,Image 1,13,1000014465,14565,
255,,Surface,6,Image 1,13,1000014402,14566,
199,,Surface,6,Image 1,13,1000014501,14567,
240,,Surface,6,Image 1,13,1000014536,14568,
254,,Surface,6,Image 1,13,1000014189,14569,
255,,Surface,6,Image 1,13,1000014470,14570,
253,,Surface,6,Image 1,13,1000014440,14571,
255,,Surface,6,Image 1,13,1000014438,14572,
254,,Surface,6,Image 1,13,1000014545,14573,
254,,Surface,6,Image 1,13,1000014412,14574,
255,,Surface,6,Image 1,13,1000014353,14575,
255,,Surface,6,Image 1,13,1000014414,14576,
254,,Surface,6,Image 1,13,1000014197,14577,
255,,Surface,6,Image 1,13,1000014199,14578,
255,,Surface,6,Image 1,13,1000014198,14579,
254,,Surface,6,Image 1,13,1000014200,14580,
255,,Surface,6,Image 1,13,1000014453,14581,
255,,Surface,6,Image 1,13,1000014582,14582,
214,,Surface,6,Image 1,13,1000014583,14583,
254,,Surface,6,Image 1,13,1000014584,14584,
174,,Surface,6,Image 1,13,1000014521,14585,
186,,Surface,6,Image 1,14,1000014586,14586,
255,,Surface,6,Image 1,14,1000014394,14587,
254,,Surface,6,Image 1,14,1000014556,14588,
255,,Surface,6,Image 1,14,1000014185,14589,
192,,Surface,6,Image 1,14,1000014493,14590,
174,,Surface,6,Image 1,14,1000014591,14591,
254,,Surface,6,Image 1,14,1000014299,14592,
255,,Surface,6,Image 1,14,1000014400,14593,
180,,Surface,6,Image 1,14,1000014465,14594,
255,,Surface,6,Image 1,14,1000014402,14595,
232,,Surface,6,Image 1,14,1000014501,14596,
182,,Surface,6,Image 1,14,1000014536,14597,
233,,Surface,6,Image 1,14,1000014189,14598,
255,,Surface,6,Image 1,14,1000014470,14599,
232,,Surface,6,Image 1,14,1000014440,14600,
254,,Surface,6,Image 1,14,1000014438,14601,
255,,Surface,6,Image 1,14,1000014545,14602,
255,,Surface,6,Image 1,14,1000014353,14603,
254,,Surface,6,Image 1,14,1000014414,14604,
207,,Surface,6,Image 1,14,1000014605,14605,
254,,Surface,6,Image 1,14,1000014197,14606,
234,,Surface,6,Image 1,14,1000014607,14607,
255,,Surface,6,Image 1,14,1000014199,14608,
255,,Surface,6,Image 1,14,1000014198,14609,
255,,Surface,6,Image 1,14,1000014200,14610,
255,,Surface,6,Image 1,14,1000014453,14611,
254,,Surface,6,Image 1,14,1000014582,14612,
214,,Surface,6,Image 1,14,1000014583,14613,
254,,Surface,6,Image 1,14,1000014584,14614,
254,,Surface,6,Image 1,14,1000014521,14615,
255,,Surface,6,Image 1,15,1000014185,14616,
254,,Surface,6,Image 1,15,1000014556,14617,
