
Track Speed StdDev
 ==================== 
Track Speed StdDev,Unit,Category,ID,
0.0143648,um/s,Track,1000015000,
0.011791,um/s,Track,1000015007,
0.0522278,um/s,Track,1000015009,
0.00818683,um/s,Track,1000015012,
0.0291537,um/s,Track,1000015021,
0.0147003,um/s,Track,1000015022,
0.031621,um/s,Track,1000015027,
0.0132748,um/s,Track,1000015029,
0.0251065,um/s,Track,1000015030,
0.0411701,um/s,Track,1000015055,
0.0382732,um/s,Track,1000015069,
0.0220327,um/s,Track,1000015072,
0.0131196,um/s,Track,1000015073,
0.0293929,um/s,Track,1000015096,
0.0222186,um/s,Track,1000015097,
0.0162427,um/s,Track,1000015099,
0.0177852,um/s,Track,1000015100,
0.0133015,um/s,Track,1000015102,
0.0273825,um/s,Track,1000015108,
0.0109651,um/s,Track,1000015118,
0.00916251,um/s,Track,1000015122,
0.0150623,um/s,Track,1000015123,
0.0237849,um/s,Track,1000015142,
0.0272173,um/s,Track,1000015145,
0.00543312,um/s,Track,1000015154,
0.00699621,um/s,Track,1000015158,
0.0251036,um/s,Track,1000015161,
0.0221101,um/s,Track,1000015174,
0.0192877,um/s,Track,1000015179,
0.0125627,um/s,Track,1000015180,
0.00877126,um/s,Track,1000015184,
0.0395797,um/s,Track,1000015190,
0.0341815,um/s,Track,1000015202,
0.0282222,um/s,Track,1000015204,
0.0201938,um/s,Track,1000015206,
0.0313209,um/s,Track,1000015207,
0.0208685,um/s,Track,1000015208,
0.0129203,um/s,Track,1000015213,
0.0168107,um/s,Track,1000015219,
0.00696515,um/s,Track,1000015221,
0.013367,um/s,Track,1000015228,
0.0292482,um/s,Track,1000015237,
0.0229201,um/s,Track,1000015240,
0.0176247,um/s,Track,1000015248,
0.0277984,um/s,Track,1000015251,
0.0276612,um/s,Track,1000015267,
0.0093222,um/s,Track,1000015268,
0.00808052,um/s,Track,1000015274,
0.0183412,um/s,Track,1000015279,
0.0153808,um/s,Track,1000015280,
0.0159775,um/s,Track,1000015290,
0.0225502,um/s,Track,1000015293,
0.011759,um/s,Track,1000015307,
0.0160344,um/s,Track,1000015308,
0.00769164,um/s,Track,1000015348,
0.00814127,um/s,Track,1000015352,
0.0301056,um/s,Track,1000015353,
0.042855,um/s,Track,1000015362,
0.0251484,um/s,Track,1000015370,
0.0202921,um/s,Track,1000015377,
0.0252623,um/s,Track,1000015388,
0.0248883,um/s,Track,1000015394,
0.0172044,um/s,Track,1000015400,
0.0142403,um/s,Track,1000015407,
0.0163104,um/s,Track,1000015415,
0.0271632,um/s,Track,1000015421,
0.0250495,um/s,Track,1000015432,
0.0471012,um/s,Track,1000015443,
0.0193909,um/s,Track,1000015450,
0.0219095,um/s,Track,1000015455,
0.018975,um/s,Track,1000015461,
0.00287895,um/s,Track,1000015477,
0.0197767,um/s,Track,1000015497,
0.0115528,um/s,Track,1000015502,
0.0180112,um/s,Track,1000015503,
0.0230773,um/s,Track,1000015508,
0.00314344,um/s,Track,1000015516,
0.019878,um/s,Track,1000015525,
0.0298281,um/s,Track,1000015536,
0.0192748,um/s,Track,1000015541,
0.017762,um/s,Track,1000015557,
0.0235248,um/s,Track,1000015590,
0.0247164,um/s,Track,1000015591,
0.00988059,um/s,Track,1000015593,
0.0206934,um/s,Track,1000015622,
0.0237916,um/s,Track,1000015630,
0.0390064,um/s,Track,1000015650,
0.0251224,um/s,Track,1000015674,
0.0123947,um/s,Track,1000015675,
0.0106848,um/s,Track,1000015678,
0.0349187,um/s,Track,1000015680,
0.00245729,um/s,Track,1000015682,
0.0219898,um/s,Track,1000015700,
0.0384428,um/s,Track,1000015706,
0.0121331,um/s,Track,1000015719,
0.0106454,um/s,Track,1000015724,
0.0109237,um/s,Track,1000015726,
0.0179162,um/s,Track,1000015727,
0.0249618,um/s,Track,1000015732,
0.00250272,um/s,Track,1000015744,
0.0309417,um/s,Track,1000015750,
0.01545,um/s,Track,1000015752,
0.0181796,um/s,Track,1000015753,
0.0205878,um/s,Track,1000015756,
0.0141859,um/s,Track,1000015758,
0.0167457,um/s,Track,1000015767,
0.0139998,um/s,Track,1000015768,
0.0309095,um/s,Track,1000015772,
0.0293189,um/s,Track,1000015781,
0.0209967,um/s,Track,1000015782,
0.0213139,um/s,Track,1000015808,
0.00349395,um/s,Track,1000015810,
0.0173728,um/s,Track,1000015856,
0.0122263,um/s,Track,1000015857,
0.0213009,um/s,Track,1000015872,
0.0239436,um/s,Track,1000015881,
0.028905,um/s,Track,1000015885,
0.0178441,um/s,Track,1000015891,
0.0201336,um/s,Track,1000015910,
0.00811373,um/s,Track,1000015931,
0.0336334,um/s,Track,1000015937,
0.019353,um/s,Track,1000015951,
0.0268469,um/s,Track,1000015960,
0.0158154,um/s,Track,1000015964,
0.0370228,um/s,Track,1000015975,
0.0248597,um/s,Track,1000015996,
0.0212428,um/s,Track,1000016009,
0.0337135,um/s,Track,1000016017,
0.0316433,um/s,Track,1000016024,
0.0250441,um/s,Track,1000016031,
0.0127221,um/s,Track,1000016045,
0.00731938,um/s,Track,1000016051,
0.0186913,um/s,Track,1000016052,
0.0269176,um/s,Track,1000016073,
0.0198123,um/s,Track,1000016077,
0.0235393,um/s,Track,1000016083,
0.0229389,um/s,Track,1000016095,
0.00479291,um/s,Track,1000016100,
0.0252344,um/s,Track,1000016102,
0.0266199,um/s,Track,1000016107,
0.0367745,um/s,Track,1000016109,
0.022422,um/s,Track,1000016117,
0.00576102,um/s,Track,1000016143,
0.0241793,um/s,Track,1000016167,
0.0244749,um/s,Track,1000016188,
0.0212422,um/s,Track,1000016195,
0.0102446,um/s,Track,1000016200,
0.0212016,um/s,Track,1000016214,
0.0272008,um/s,Track,1000016218,
0.0146642,um/s,Track,1000016223,
0.0156952,um/s,Track,1000016232,
0.0208673,um/s,Track,1000016233,
0.00669486,um/s,Track,1000016235,
0.0123764,um/s,Track,1000016250,
0.032758,um/s,Track,1000016259,
0.0102658,um/s,Track,1000016275,
0.0143783,um/s,Track,1000016281,
0.0123822,um/s,Track,1000016292,
