
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,TrackID,ID,
0.754991,,Surface,16,1000014627,14657,
0.723116,,Surface,16,1000014658,14658,
0.813722,,Surface,16,1000014659,14659,
0.809692,,Surface,16,1000014470,14660,
0.84533,,Surface,16,1000014661,14661,
0.880721,,Surface,16,1000014545,14662,
0.787651,,Surface,16,1000014663,14663,
0.773332,,Surface,16,1000014353,14664,
0.773214,,Surface,16,1000014605,14665,
0.907849,,Surface,16,1000014197,14666,
0.842568,,Surface,16,1000014607,14667,
0.739598,,Surface,16,1000014668,14668,
0.8367,,Surface,16,1000014199,14669,
0.774896,,Surface,16,1000014198,14670,
0.95713,,Surface,16,1000014453,14671,
0.888298,,Surface,16,1000014582,14672,
0.843292,,Surface,16,1000014583,14673,
0.864456,,Surface,16,1000014584,14674,
0.838191,,Surface,16,1000014521,14675,
0.734804,,Surface,17,1000014676,14676,
0.939225,,Surface,17,1000014586,14677,
0.934366,,Surface,17,1000014394,14678,
0.863214,,Surface,17,1000014185,14679,
0.868666,,Surface,17,1000014648,14680,
0.664398,,Surface,17,1000014647,14681,
0.744629,,Surface,17,1000014591,14682,
0.813805,,Surface,17,1000014683,14683,
0.892851,,Surface,17,1000014501,14684,
0.767445,,Surface,17,1000014536,14685,
0.925135,,Surface,17,1000014686,14686,
0.691644,,Surface,17,1000014626,14687,
0.741896,,Surface,17,1000014627,14688,
0.661489,,Surface,17,1000014656,14689,
0.761126,,Surface,17,1000014658,14690,
0.771243,,Surface,17,1000014470,14691,
0.784244,,Surface,17,1000014659,14692,
0.858399,,Surface,17,1000014661,14693,
0.772446,,Surface,17,1000014353,14694,
0.744072,,Surface,17,1000014663,14695,
0.798625,,Surface,17,1000014605,14696,
0.906344,,Surface,17,1000014197,14697,
0.851004,,Surface,17,1000014607,14698,
0.905492,,Surface,17,1000014668,14699,
0.726138,,Surface,17,1000014199,14700,
0.805885,,Surface,17,1000014198,14701,
0.901338,,Surface,17,1000014702,14702,
0.943665,,Surface,17,1000014453,14703,
0.825223,,Surface,17,1000014582,14704,
0.829585,,Surface,18,1000014676,14705,
0.879673,,Surface,18,1000014394,14706,
0.937068,,Surface,18,1000014185,14707,
0.870237,,Surface,18,1000014648,14708,
0.858213,,Surface,18,1000014647,14709,
0.752004,,Surface,18,1000014710,14710,
0.778227,,Surface,18,1000014591,14711,
0.746289,,Surface,18,1000014683,14712,
0.887366,,Surface,18,1000014501,14713,
0.802091,,Surface,18,1000014536,14714,
0.928153,,Surface,18,1000014686,14715,
0.896599,,Surface,18,1000014716,14716,
0.809891,,Surface,18,1000014626,14717,
0.753762,,Surface,18,1000014656,14718,
0.779631,,Surface,18,1000014627,14719,
0.817534,,Surface,18,1000014658,14720,
0.813914,,Surface,18,1000014470,14721,
0.862021,,Surface,18,1000014659,14722,
0.81557,,Surface,18,1000014661,14723,
0.730735,,Surface,18,1000014353,14724,
0.801887,,Surface,18,1000014663,14725,
0.834872,,Surface,18,1000014605,14726,
0.866855,,Surface,18,1000014607,14727,
0.916084,,Surface,18,1000014668,14728,
0.937746,,Surface,18,1000014199,14729,
0.777901,,Surface,18,1000014198,14730,
0.879823,,Surface,18,1000014702,14731,
0.901547,,Surface,18,1000014732,14732,
0.834209,,Surface,19,1000014683,14733,
0.826187,,Surface,19,1000014710,14734,
0.904995,,Surface,19,1000014591,14735,
0.89059,,Surface,19,1000014647,14736,
0.827798,,Surface,19,1000014648,14737,
0.879851,,Surface,19,1000014676,14738,
0.912184,,Surface,19,1000014394,14739,
0.858146,,Surface,19,1000014185,14740,
0.863178,,Surface,19,1000014501,14741,
0.862291,,Surface,19,1000014536,14742,
0.823915,,Surface,19,1000014686,14743,
0.811529,,Surface,19,1000014716,14744,
0.902317,,Surface,19,1000014656,14745,
0.809976,,Surface,19,1000014658,14746,
0.904332,,Surface,19,1000014470,14747,
0.772619,,Surface,19,1000014748,14748,
0.820763,,Surface,19,1000014659,14749,
0.871681,,Surface,19,1000014750,14750,
0.748624,,Surface,19,1000014661,14751,
0.861396,,Surface,19,1000014752,14752,
0.720903,,Surface,19,1000014353,14753,
0.732749,,Surface,19,1000014663,14754,
0.851917,,Surface,19,1000014605,14755,
0.876333,,Surface,19,1000014756,14756,
0.852004,,Surface,19,1000014607,14757,
0.782139,,Surface,19,1000014668,14758,
0.91868,,Surface,19,1000014199,14759,
0.802178,,Surface,19,1000014198,14760,
0.937721,,Surface,19,1000014702,14761,
0.848394,,Surface,19,1000014762,14762,
0.859444,,Surface,19,1000014732,14763,
0.830783,,Surface,19,1000014764,14764,
0.765337,,Surface,20,1000014765,14765,
0.887765,,Surface,20,1000014185,14766,
0.895035,,Surface,20,1000014394,14767,
0.802036,,Surface,20,1000014676,14768,
0.945415,,Surface,20,1000014648,14769,
0.910881,,Surface,20,1000014591,14770,
0.923574,,Surface,20,1000014710,14771,
0.892955,,Surface,20,1000014683,14772,
0.832265,,Surface,20,1000014501,14773,
0.930665,,Surface,20,1000014686,14774,
0.902942,,Surface,20,1000014775,14775,
0.683722,,Surface,20,1000014776,14776,
0.924163,,Surface,20,1000014716,14777,
0.729625,,Surface,20,1000014470,14778,
0.84819,,Surface,20,1000014659,14779,
0.768483,,Surface,20,1000014780,14780,
0.830779,,Surface,20,1000014748,14781,
0.842688,,Surface,20,1000014661,14782,
0.885496,,Surface,20,1000014783,14783,
0.670382,,Surface,20,1000014750,14784,
0.863307,,Surface,20,1000014752,14785,
0.859539,,Surface,20,1000014786,14786,
0.805586,,Surface,20,1000014353,14787,
0.728799,,Surface,20,1000014663,14788,
0.849583,,Surface,20,1000014756,14789,
0.874579,,Surface,20,1000014607,14790,
0.849489,,Surface,20,1000014668,14791,
0.83275,,Surface,20,1000014199,14792,
0.83052,,Surface,20,1000014198,14793,
0.838688,,Surface,20,1000014702,14794,
0.799379,,Surface,20,1000014762,14795,
0.880308,,Surface,20,1000014732,14796,
0.760947,,Surface,20,1000014764,14797,
0.869685,,Surface,21,1000014798,14798,
0.898485,,Surface,21,1000014394,14799,
0.557229,,Surface,21,1000014800,14800,
0.791721,,Surface,21,1000014765,14801,
0.898652,,Surface,21,1000014185,14802,
0.828336,,Surface,21,1000014803,14803,
0.834138,,Surface,21,1000014804,14804,
0.858908,,Surface,21,1000014676,14805,
0.815061,,Surface,21,1000014648,14806,
0.844511,,Surface,21,1000014591,14807,
0.877771,,Surface,21,1000014710,14808,
0.722116,,Surface,21,1000014809,14809,
0.821522,,Surface,21,1000014683,14810,
0.852216,,Surface,21,1000014501,14811,
0.944542,,Surface,21,1000014686,14812,
0.878882,,Surface,21,1000014775,14813,
0.941089,,Surface,21,1000014716,14814,
0.728957,,Surface,21,1000014776,14815,
0.846237,,Surface,21,1000014470,14816,
0.745025,,Surface,21,1000014780,14817,
0.817824,,Surface,21,1000014659,14818,
0.752945,,Surface,21,1000014748,14819,
0.850787,,Surface,21,1000014661,14820,
0.882434,,Surface,21,1000014783,14821,
0.930686,,Surface,21,1000014822,14822,
0.753376,,Surface,21,1000014750,14823,
0.86651,,Surface,21,1000014752,14824,
0.88145,,Surface,21,1000014353,14825,
0.78175,,Surface,21,1000014786,14826,
0.796856,,Surface,21,1000014756,14827,
0.817628,,Surface,21,1000014607,14828,
0.877774,,Surface,21,1000014668,14829,
0.749267,,Surface,21,1000014199,14830,
0.822413,,Surface,21,1000014198,14831,
0.907429,,Surface,21,1000014762,14832,
0.846849,,Surface,21,1000014732,14833,
0.640908,,Surface,21,1000014764,14834,
0.856144,,Surface,22,1000014800,14835,
0.807971,,Surface,22,1000014765,14836,
0.873357,,Surface,22,1000014185,14837,
0.85888,,Surface,22,1000014394,14838,
0.840135,,Surface,22,1000014798,14839,
0.651743,,Surface,22,1000014804,14840,
0.851353,,Surface,22,1000014803,14841,
0.882929,,Surface,22,1000014676,14842,
0.854584,,Surface,22,1000014648,14843,
0.873369,,Surface,22,1000014591,14844,
0.889837,,Surface,22,1000014710,14845,
0.863741,,Surface,22,1000014846,14846,
0.761488,,Surface,22,1000014809,14847,
0.835046,,Surface,22,1000014848,14848,
0.914439,,Surface,22,1000014683,14849,
0.892579,,Surface,22,1000014501,14850,
0.913501,,Surface,22,1000014686,14851,
0.924907,,Surface,22,1000014852,14852,
0.864051,,Surface,22,1000014775,14853,
0.852627,,Surface,22,1000014776,14854,
0.801386,,Surface,22,1000014470,14855,
0.82686,,Surface,22,1000014659,14856,
0.724517,,Surface,22,1000014780,14857,
0.832411,,Surface,22,1000014748,14858,
0.879223,,Surface,22,1000014859,14859,
0.738364,,Surface,22,1000014783,14860,
0.95169,,Surface,22,1000014822,14861,
0.646102,,Surface,22,1000014750,14862,
0.874916,,Surface,22,1000014752,14863,
0.821345,,Surface,22,1000014786,14864,
0.894614,,Surface,22,1000014353,14865,
0.878784,,Surface,22,1000014756,14866,
0.86922,,Surface,22,1000014607,14867,
0.837905,,Surface,22,1000014199,14868,
0.794795,,Surface,22,1000014198,14869,
0.926848,,Surface,22,1000014762,14870,
0.887785,,Surface,22,1000014732,14871,
0.56504,,Surface,22,1000014764,14872,
0.779384,,Surface,23,1000014803,14873,
0.90745,,Surface,23,1000014798,14874,
0.889544,,Surface,23,1000014804,14875,
0.61717,,Surface,23,1000014800,14876,
0.683353,,Surface,23,1000014765,14877,
0.86692,,Surface,23,1000014185,14878,
0.86679,,Surface,23,1000014676,14879,
0.853932,,Surface,23,1000014648,14880,
0.818313,,Surface,23,1000014591,14881,
0.795583,,Surface,23,1000014809,14882,
0.772522,,Surface,23,1000014846,14883,
0.75152,,Surface,23,1000014848,14884,
0.852655,,Surface,23,1000014501,14885,
0.930802,,Surface,23,1000014686,14886,
0.632805,,Surface,23,1000014887,14887,
0.894942,,Surface,23,1000014852,14888,
0.796837,,Surface,23,1000014775,14889,
0.729613,,Surface,23,1000014776,14890,
0.766773,,Surface,23,1000014470,14891,
0.803371,,Surface,23,1000014659,14892,
0.794917,,Surface,23,1000014780,14893,
0.905313,,Surface,23,1000014859,14894,
0.841939,,Surface,23,1000014783,14895,
0.937297,,Surface,23,1000014822,14896,
0.843501,,Surface,23,1000014750,14897,
0.894481,,Surface,23,1000014752,14898,
0.78874,,Surface,23,1000014786,14899,
0.886688,,Surface,23,1000014353,14900,
0.885795,,Surface,23,1000014607,14901,
0.837304,,Surface,23,1000014199,14902,
0.755126,,Surface,23,1000014198,14903,
0.790493,,Surface,23,1000014762,14904,
0.88792,,Surface,23,1000014732,14905,
0.880903,,Surface,24,1000014804,14906,
0.797991,,Surface,24,1000014800,14907,
0.864719,,Surface,24,1000014185,14908,
0.908235,,Surface,24,1000014909,14909,
0.769119,,Surface,24,1000014803,14910,
0.870765,,Surface,24,1000014798,14911,
0.832694,,Surface,24,1000014676,14912,
0.89147,,Surface,24,1000014648,14913,
0.867862,,Surface,24,1000014591,14914,
0.818086,,Surface,24,1000014809,14915,
0.871584,,Surface,24,1000014846,14916,
0.865173,,Surface,24,1000014848,14917,
0.765208,,Surface,24,1000014918,14918,
0.876083,,Surface,24,1000014686,14919,
0.692853,,Surface,24,1000014887,14920,
0.821741,,Surface,24,1000014852,14921,
0.821092,,Surface,24,1000014775,14922,
0.820408,,Surface,24,1000014776,14923,
0.745235,,Surface,24,1000014470,14924,
0.867941,,Surface,24,1000014659,14925,
0.800238,,Surface,24,1000014926,14926,
0.881966,,Surface,24,1000014783,14927,
0.814736,,Surface,24,1000014859,14928,
0.877804,,Surface,24,1000014822,14929,
0.796964,,Surface,24,1000014752,14930,
0.886584,,Surface,24,1000014353,14931,
0.939236,,Surface,24,1000014607,14932,
0.817151,,Surface,24,1000014199,14933,
0.788572,,Surface,24,1000014198,14934,
0.841267,,Surface,24,1000014762,14935,
0.823444,,Surface,24,1000014732,14936,
0.895646,,Surface,25,1000014909,14937,
0.889982,,Surface,25,1000014938,14938,
0.854741,,Surface,25,1000014939,14939,
0.90732,,Surface,25,1000014185,14940,
0.656521,,Surface,25,1000014803,14941,
0.822164,,Surface,25,1000014676,14942,
0.854273,,Surface,25,1000014943,14943,
0.907001,,Surface,25,1000014648,14944,
0.856539,,Surface,25,1000014591,14945,
0.846202,,Surface,25,1000014809,14946,
0.901701,,Surface,25,1000014846,14947,
0.830059,,Surface,25,1000014948,14948,
0.819678,,Surface,25,1000014848,14949,
0.734241,,Surface,25,1000014950,14950,
0.790968,,Surface,25,1000014918,14951,
0.827084,,Surface,25,1000014686,14952,
0.88561,,Surface,25,1000014887,14953,
0.885764,,Surface,25,1000014852,14954,
0.896232,,Surface,25,1000014775,14955,
0.846047,,Surface,25,1000014956,14956,
0.727041,,Surface,25,1000014470,14957,
0.823445,,Surface,25,1000014659,14958,
0.872612,,Surface,25,1000014926,14959,
0.829678,,Surface,25,1000014783,14960,
0.73395,,Surface,25,1000014859,14961,
0.911876,,Surface,25,1000014752,14962,
0.771343,,Surface,25,1000014353,14963,
