
Intensity Median Ch=3 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,TrackID,ID,
202.99,,Surface,3,Image 1,8,1000014394,14394,
117.494,,Surface,3,Image 1,8,1000014329,14395,
205,,Surface,3,Image 1,8,1000014185,14396,
121.96,,Surface,3,Image 1,8,1000014397,14397,
145.12,,Surface,3,Image 1,8,1000014298,14398,
222.965,,Surface,3,Image 1,8,1000014299,14399,
238.06,,Surface,3,Image 1,8,1000014400,14400,
197,,Surface,3,Image 1,8,1000014233,14401,
234.048,,Surface,3,Image 1,8,1000014402,14402,
252.995,,Surface,3,Image 1,8,1000014302,14403,
171.52,,Surface,3,Image 1,8,1000014304,14404,
181.96,,Surface,3,Image 1,8,1000014189,14405,
141.976,,Surface,3,Image 1,8,1000014239,14406,
254,,Surface,3,Image 1,8,1000014407,14407,
203,,Surface,3,Image 1,8,1000014193,14408,
177.568,,Surface,3,Image 1,8,1000014350,14409,
137,,Surface,3,Image 1,8,1000014216,14410,
175.915,,Surface,3,Image 1,8,1000014218,14411,
198.01,,Surface,3,Image 1,8,1000014412,14412,
254.04,,Surface,3,Image 1,8,1000014353,14413,
223.025,,Surface,3,Image 1,8,1000014414,14414,
215.98,,Surface,3,Image 1,8,1000014197,14415,
211.978,,Surface,3,Image 1,8,1000014289,14416,
254.008,,Surface,3,Image 1,8,1000014199,14417,
184.04,,Surface,3,Image 1,8,1000014198,14418,
254.096,,Surface,3,Image 1,8,1000014200,14419,
224.048,,Surface,3,Image 1,8,1000014201,14420,
130.088,,Surface,3,Image 1,9,1000014298,14421,
215.088,,Surface,3,Image 1,9,1000014422,14422,
136.022,,Surface,3,Image 1,9,1000014397,14423,
174.05,,Surface,3,Image 1,9,1000014184,14424,
254.092,,Surface,3,Image 1,9,1000014394,14425,
152.979,,Surface,3,Image 1,9,1000014331,14426,
125,,Surface,3,Image 1,9,1000014329,14427,
224.944,,Surface,3,Image 1,9,1000014185,14428,
227.024,,Surface,3,Image 1,9,1000014299,14429,
138.472,,Surface,3,Image 1,9,1000014430,14430,
216.024,,Surface,3,Image 1,9,1000014400,14431,
253.96,,Surface,3,Image 1,9,1000014402,14432,
117,,Surface,3,Image 1,9,1000014433,14433,
140.491,,Surface,3,Image 1,9,1000014304,14434,
197.952,,Surface,3,Image 1,9,1000014189,14435,
128.97,,Surface,3,Image 1,9,1000014436,14436,
254,,Surface,3,Image 1,9,1000014407,14437,
213.5,,Surface,3,Image 1,9,1000014438,14438,
104.992,,Surface,3,Image 1,9,1000014439,14439,
183.448,,Surface,3,Image 1,9,1000014440,14440,
191.946,,Surface,3,Image 1,9,1000014193,14441,
184.92,,Surface,3,Image 1,9,1000014350,14442,
136.044,,Surface,3,Image 1,9,1000014412,14443,
253.845,,Surface,3,Image 1,9,1000014353,14444,
226.536,,Surface,3,Image 1,9,1000014414,14445,
243.987,,Surface,3,Image 1,9,1000014197,14446,
253.963,,Surface,3,Image 1,9,1000014447,14447,
254.008,,Surface,3,Image 1,9,1000014199,14448,
241.999,,Surface,3,Image 1,9,1000014289,14449,
186.416,,Surface,3,Image 1,9,1000014198,14450,
254.021,,Surface,3,Image 1,9,1000014200,14451,
225.02,,Surface,3,Image 1,9,1000014201,14452,
245.525,,Surface,3,Image 1,9,1000014453,14453,
214.063,,Surface,3,Image 1,10,1000014430,14454,
