
Track Intensity Sum Ch=6 Img=1
 ==================== 
Track Intensity Sum,Unit,Category,Channel,Image,ID,
24687,,Track,6,Image 1,1000015525,
27844,,Track,6,Image 1,1000015536,
20867,,Track,6,Image 1,1000015541,
10240,,Track,6,Image 1,1000015557,
3947,,Track,6,Image 1,1000015590,
239780,,Track,6,Image 1,1000015591,
5593,,Track,6,Image 1,1000015593,
96620,,Track,6,Image 1,1000015622,
26789,,Track,6,Image 1,1000015630,
5655,,Track,6,Image 1,1000015650,
95709,,Track,6,Image 1,1000015674,
14423,,Track,6,Image 1,1000015675,
37997,,Track,6,Image 1,1000015678,
27175,,Track,6,Image 1,1000015680,
27058,,Track,6,Image 1,1000015682,
22155,,Track,6,Image 1,1000015700,
10276,,Track,6,Image 1,1000015706,
13703,,Track,6,Image 1,1000015719,
4824,,Track,6,Image 1,1000015724,
26266,,Track,6,Image 1,1000015726,
29871,,Track,6,Image 1,1000015727,
97929,,Track,6,Image 1,1000015732,
10109,,Track,6,Image 1,1000015744,
61335,,Track,6,Image 1,1000015750,
9069,,Track,6,Image 1,1000015752,
7354,,Track,6,Image 1,1000015753,
4645,,Track,6,Image 1,1000015756,
6328,,Track,6,Image 1,1000015758,
6291,,Track,6,Image 1,1000015767,
7905,,Track,6,Image 1,1000015768,
10540,,Track,6,Image 1,1000015772,
14295,,Track,6,Image 1,1000015781,
28739,,Track,6,Image 1,1000015782,
8254,,Track,6,Image 1,1000015808,
8727,,Track,6,Image 1,1000015810,
14377,,Track,6,Image 1,1000015856,
15261,,Track,6,Image 1,1000015857,
15411,,Track,6,Image 1,1000015872,
59184,,Track,6,Image 1,1000015881,
36404,,Track,6,Image 1,1000015885,
16729,,Track,6,Image 1,1000015891,
8943,,Track,6,Image 1,1000015910,
3122,,Track,6,Image 1,1000015931,
29163,,Track,6,Image 1,1000015937,
12579,,Track,6,Image 1,1000015951,
20065,,Track,6,Image 1,1000015960,
89275,,Track,6,Image 1,1000015964,
43649,,Track,6,Image 1,1000015975,
141657,,Track,6,Image 1,1000015996,
9955,,Track,6,Image 1,1000016009,
12616,,Track,6,Image 1,1000016017,
37676,,Track,6,Image 1,1000016024,
28222,,Track,6,Image 1,1000016031,
4081,,Track,6,Image 1,1000016045,
8166,,Track,6,Image 1,1000016051,
12736,,Track,6,Image 1,1000016052,
14172,,Track,6,Image 1,1000016073,
50468,,Track,6,Image 1,1000016077,
26907,,Track,6,Image 1,1000016083,
12533,,Track,6,Image 1,1000016095,
15363,,Track,6,Image 1,1000016100,
10395,,Track,6,Image 1,1000016102,
70146,,Track,6,Image 1,1000016107,
29260,,Track,6,Image 1,1000016109,
18352,,Track,6,Image 1,1000016117,
4103,,Track,6,Image 1,1000016143,
9917,,Track,6,Image 1,1000016167,
6776,,Track,6,Image 1,1000016188,
10927,,Track,6,Image 1,1000016195,
4283,,Track,6,Image 1,1000016200,
17361,,Track,6,Image 1,1000016214,
9407,,Track,6,Image 1,1000016218,
7787,,Track,6,Image 1,1000016223,
15957,,Track,6,Image 1,1000016232,
7521,,Track,6,Image 1,1000016233,
28504,,Track,6,Image 1,1000016235,
18330,,Track,6,Image 1,1000016250,
