
Track Speed Max
 ==================== 
Track Speed Max,Unit,Category,ID,
0.0598486,um/s,Track,1000014536,
0.0457452,um/s,Track,1000014545,
0.0278662,um/s,Track,1000014556,
0.0682622,um/s,Track,1000014582,
0.149954,um/s,Track,1000014583,
0.0721475,um/s,Track,1000014584,
0.0491867,um/s,Track,1000014586,
0.0813495,um/s,Track,1000014591,
0.0752866,um/s,Track,1000014605,
0.0575926,um/s,Track,1000014607,
0.0948564,um/s,Track,1000014626,
0.0972322,um/s,Track,1000014627,
0.0499353,um/s,Track,1000014647,
0.0830952,um/s,Track,1000014648,
0.0993503,um/s,Track,1000014656,
0.0701184,um/s,Track,1000014658,
0.103785,um/s,Track,1000014659,
0.0559895,um/s,Track,1000014661,
0.0915516,um/s,Track,1000014663,
0.0671737,um/s,Track,1000014668,
0.0915959,um/s,Track,1000014676,
0.0524381,um/s,Track,1000014683,
0.0697418,um/s,Track,1000014686,
0.159874,um/s,Track,1000014702,
0.154742,um/s,Track,1000014710,
0.0806133,um/s,Track,1000014716,
0.09496,um/s,Track,1000014732,
0.102854,um/s,Track,1000014748,
0.0597972,um/s,Track,1000014750,
0.064989,um/s,Track,1000014752,
0.0801613,um/s,Track,1000014756,
0.0638548,um/s,Track,1000014762,
0.160751,um/s,Track,1000014764,
0.0740785,um/s,Track,1000014765,
0.0756584,um/s,Track,1000014775,
0.0905394,um/s,Track,1000014776,
0.0410201,um/s,Track,1000014780,
0.086104,um/s,Track,1000014783,
0.0654116,um/s,Track,1000014786,
0.116463,um/s,Track,1000014798,
0.172494,um/s,Track,1000014800,
0.0848253,um/s,Track,1000014803,
0.16002,um/s,Track,1000014804,
0.102077,um/s,Track,1000014809,
0.0634273,um/s,Track,1000014822,
0.0688284,um/s,Track,1000014846,
0.108135,um/s,Track,1000014848,
0.140154,um/s,Track,1000014852,
0.0758408,um/s,Track,1000014859,
0.0902144,um/s,Track,1000014887,
0.0513143,um/s,Track,1000014909,
0.0845287,um/s,Track,1000014918,
0.0705439,um/s,Track,1000014926,
0.116574,um/s,Track,1000014938,
0.0508873,um/s,Track,1000014939,
0.0965686,um/s,Track,1000014943,
0.104363,um/s,Track,1000014948,
0.0725758,um/s,Track,1000014950,
0.125085,um/s,Track,1000014956,
0.0434285,um/s,Track,1000014964,
0.118873,um/s,Track,1000014966,
0.114921,um/s,Track,1000014981,
0.110628,um/s,Track,1000014991,
0.102247,um/s,Track,1000015000,
0.0716765,um/s,Track,1000015007,
0.160576,um/s,Track,1000015009,
0.0841433,um/s,Track,1000015012,
0.134848,um/s,Track,1000015021,
0.0729823,um/s,Track,1000015022,
0.121943,um/s,Track,1000015027,
0.0777572,um/s,Track,1000015029,
0.0997605,um/s,Track,1000015030,
0.148544,um/s,Track,1000015055,
0.149194,um/s,Track,1000015069,
0.101873,um/s,Track,1000015072,
0.0640643,um/s,Track,1000015073,
0.14354,um/s,Track,1000015096,
0.123964,um/s,Track,1000015097,
0.0755347,um/s,Track,1000015099,
0.0741712,um/s,Track,1000015100,
0.0718491,um/s,Track,1000015102,
0.134552,um/s,Track,1000015108,
0.0706815,um/s,Track,1000015118,
0.118771,um/s,Track,1000015122,
0.0688826,um/s,Track,1000015123,
0.134029,um/s,Track,1000015142,
0.133091,um/s,Track,1000015145,
0.0428659,um/s,Track,1000015154,
0.0677365,um/s,Track,1000015158,
0.10696,um/s,Track,1000015161,
0.0907314,um/s,Track,1000015174,
0.0839045,um/s,Track,1000015179,
0.145531,um/s,Track,1000015180,
0.0675906,um/s,Track,1000015184,
0.158296,um/s,Track,1000015190,
0.138997,um/s,Track,1000015202,
0.166073,um/s,Track,1000015204,
0.088115,um/s,Track,1000015206,
0.1081,um/s,Track,1000015207,
0.118848,um/s,Track,1000015208,
0.0617354,um/s,Track,1000015213,
0.0880388,um/s,Track,1000015219,
0.0832417,um/s,Track,1000015221,
0.0869394,um/s,Track,1000015228,
0.120011,um/s,Track,1000015237,
0.107176,um/s,Track,1000015240,
0.0668923,um/s,Track,1000015248,
0.135646,um/s,Track,1000015251,
0.111078,um/s,Track,1000015267,
0.067931,um/s,Track,1000015268,
0.0639082,um/s,Track,1000015274,
0.100015,um/s,Track,1000015279,
0.0987918,um/s,Track,1000015280,
0.0864977,um/s,Track,1000015290,
0.118118,um/s,Track,1000015293,
0.0413427,um/s,Track,1000015307,
0.0555926,um/s,Track,1000015308,
0.0505554,um/s,Track,1000015348,
0.0859788,um/s,Track,1000015352,
0.121735,um/s,Track,1000015353,
0.169785,um/s,Track,1000015362,
0.106756,um/s,Track,1000015370,
0.101376,um/s,Track,1000015377,
0.096605,um/s,Track,1000015388,
0.10386,um/s,Track,1000015394,
0.0643519,um/s,Track,1000015400,
0.105327,um/s,Track,1000015407,
0.0889935,um/s,Track,1000015415,
0.0907552,um/s,Track,1000015421,
0.103054,um/s,Track,1000015432,
0.170254,um/s,Track,1000015443,
0.145566,um/s,Track,1000015450,
0.0847641,um/s,Track,1000015455,
0.0927029,um/s,Track,1000015461,
0.0998009,um/s,Track,1000015477,
0.0926798,um/s,Track,1000015497,
0.0537631,um/s,Track,1000015502,
0.123183,um/s,Track,1000015503,
0.0997736,um/s,Track,1000015508,
0.04502,um/s,Track,1000015516,
0.105555,um/s,Track,1000015525,
0.108121,um/s,Track,1000015536,
0.10798,um/s,Track,1000015541,
0.103357,um/s,Track,1000015557,
0.102832,um/s,Track,1000015590,
0.129234,um/s,Track,1000015591,
0.111253,um/s,Track,1000015593,
0.109677,um/s,Track,1000015622,
0.131035,um/s,Track,1000015630,
0.177278,um/s,Track,1000015650,
0.10646,um/s,Track,1000015674,
0.128351,um/s,Track,1000015675,
0.0586165,um/s,Track,1000015678,
0.133152,um/s,Track,1000015680,
0.0704082,um/s,Track,1000015682,
0.115634,um/s,Track,1000015700,
0.130733,um/s,Track,1000015706,
0.0956951,um/s,Track,1000015719,
0.0658156,um/s,Track,1000015724,
0.0544072,um/s,Track,1000015726,
0.122114,um/s,Track,1000015727,
0.113914,um/s,Track,1000015732,
0.0440665,um/s,Track,1000015744,
0.142668,um/s,Track,1000015750,
0.0710196,um/s,Track,1000015752,
0.0667127,um/s,Track,1000015753,
0.104635,um/s,Track,1000015756,
0.0924513,um/s,Track,1000015758,
0.0619926,um/s,Track,1000015767,
0.0963211,um/s,Track,1000015768,
0.122028,um/s,Track,1000015772,
0.0855492,um/s,Track,1000015781,
0.104777,um/s,Track,1000015782,
0.080313,um/s,Track,1000015808,
0.0544963,um/s,Track,1000015810,
0.106787,um/s,Track,1000015856,
0.0624666,um/s,Track,1000015857,
0.119401,um/s,Track,1000015872,
0.116174,um/s,Track,1000015881,
0.132959,um/s,Track,1000015885,
0.0828387,um/s,Track,1000015891,
0.0786152,um/s,Track,1000015910,
0.0750752,um/s,Track,1000015931,
0.16151,um/s,Track,1000015937,
0.140911,um/s,Track,1000015951,
0.107749,um/s,Track,1000015960,
0.0839952,um/s,Track,1000015964,
0.1512,um/s,Track,1000015975,
0.110785,um/s,Track,1000015996,
0.0742409,um/s,Track,1000016009,
0.123182,um/s,Track,1000016017,
0.104836,um/s,Track,1000016024,
0.139275,um/s,Track,1000016031,
0.0624669,um/s,Track,1000016045,
0.0570171,um/s,Track,1000016051,
0.0985156,um/s,Track,1000016052,
0.126355,um/s,Track,1000016073,
0.122953,um/s,Track,1000016077,
0.115445,um/s,Track,1000016083,
0.111121,um/s,Track,1000016095,
0.0535916,um/s,Track,1000016100,
0.116258,um/s,Track,1000016102,
0.135178,um/s,Track,1000016107,
0.16901,um/s,Track,1000016109,
0.0788148,um/s,Track,1000016117,
0.040983,um/s,Track,1000016143,
0.105671,um/s,Track,1000016167,
0.123907,um/s,Track,1000016188,
0.110628,um/s,Track,1000016195,
0.0816247,um/s,Track,1000016200,
0.152389,um/s,Track,1000016214,
0.125328,um/s,Track,1000016218,
0.0887398,um/s,Track,1000016223,
0.119118,um/s,Track,1000016232,
0.161957,um/s,Track,1000016233,
0.10519,um/s,Track,1000016235,
0.104727,um/s,Track,1000016250,
0.117471,um/s,Track,1000016259,
0.125912,um/s,Track,1000016275,
0.0896622,um/s,Track,1000016281,
0.103292,um/s,Track,1000016292,
0.0973851,um/s,Track,1000016299,
0.137785,um/s,Track,1000016304,
0.0808346,um/s,Track,1000016316,
0.143516,um/s,Track,1000016320,
0.0742847,um/s,Track,1000016332,
0.0731034,um/s,Track,1000016337,
0.0568777,um/s,Track,1000016338,
0.147045,um/s,Track,1000016342,
0.121022,um/s,Track,1000016354,
0.0562404,um/s,Track,1000016357,
0.125751,um/s,Track,1000016360,
0.0995242,um/s,Track,1000016381,
0.169915,um/s,Track,1000016386,
0.0762021,um/s,Track,1000016390,
0.0668698,um/s,Track,1000016397,
0.118339,um/s,Track,1000016402,
0.0942717,um/s,Track,1000016404,
0.0955412,um/s,Track,1000016415,
0.162133,um/s,Track,1000016419,
0.17359,um/s,Track,1000016423,
0.0911343,um/s,Track,1000016426,
0.143199,um/s,Track,1000016430,
0.11513,um/s,Track,1000016436,
0.153274,um/s,Track,1000016453,
0.136002,um/s,Track,1000016466,
0.0984862,um/s,Track,1000016468,
0.116935,um/s,Track,1000016474,
0.118867,um/s,Track,1000016475,
0.110808,um/s,Track,1000016485,
0.144448,um/s,Track,1000016504,
0.113495,um/s,Track,1000016508,
0.102131,um/s,Track,1000016512,
0.131461,um/s,Track,1000016521,
0.115177,um/s,Track,1000016531,
0.095833,um/s,Track,1000016534,
0.0808786,um/s,Track,1000016542,
0.130381,um/s,Track,1000016585,
0.141578,um/s,Track,1000016590,
0.139171,um/s,Track,1000016591,
0.119245,um/s,Track,1000016603,
0.0994357,um/s,Track,1000016609,
0.0981775,um/s,Track,1000016611,
0.148548,um/s,Track,1000016612,
0.123648,um/s,Track,1000016623,
0.116134,um/s,Track,1000016626,
0.0877922,um/s,Track,1000016639,
0.081046,um/s,Track,1000016641,
0.0823453,um/s,Track,1000016643,
0.0875581,um/s,Track,1000016665,
0.144685,um/s,Track,1000016666,
0.110825,um/s,Track,1000016674,
0.13874,um/s,Track,1000016677,
0.088404,um/s,Track,1000016700,
0.0963328,um/s,Track,1000016703,
0.160925,um/s,Track,1000016708,
