
Track Intensity Mean Ch=4 Img=1
 ==================== 
Track Intensity Mean,Unit,Category,Channel,Image,ID,
7.11429,,Track,4,Image 1,1000015756,
0.540541,,Track,4,Image 1,1000015758,
254.25,,Track,4,Image 1,1000015767,
241.804,,Track,4,Image 1,1000015768,
110.973,,Track,4,Image 1,1000015772,
0.77,,Track,4,Image 1,1000015781,
2.63934,,Track,4,Image 1,1000015782,
58.6842,,Track,4,Image 1,1000015808,
10.3929,,Track,4,Image 1,1000015810,
4.19718,,Track,4,Image 1,1000015856,
254.979,,Track,4,Image 1,1000015857,
11.8689,,Track,4,Image 1,1000015872,
8.46907,,Track,4,Image 1,1000015881,
10.6584,,Track,4,Image 1,1000015885,
2.46667,,Track,4,Image 1,1000015891,
120.568,,Track,4,Image 1,1000015910,
255,,Track,4,Image 1,1000015931,
204.348,,Track,4,Image 1,1000015937,
1.125,,Track,4,Image 1,1000015951,
255,,Track,4,Image 1,1000015960,
24.8483,,Track,4,Image 1,1000015964,
0.329502,,Track,4,Image 1,1000015975,
24.3708,,Track,4,Image 1,1000015996,
152.516,,Track,4,Image 1,1000016009,
50.3231,,Track,4,Image 1,1000016017,
7.40444,,Track,4,Image 1,1000016024,
130.571,,Track,4,Image 1,1000016031,
56.4211,,Track,4,Image 1,1000016045,
18.3256,,Track,4,Image 1,1000016051,
50.4,,Track,4,Image 1,1000016052,
0.672566,,Track,4,Image 1,1000016073,
15.914,,Track,4,Image 1,1000016077,
32.9912,,Track,4,Image 1,1000016083,
32.2615,,Track,4,Image 1,1000016095,
29.4615,,Track,4,Image 1,1000016100,
58.6038,,Track,4,Image 1,1000016102,
19.127,,Track,4,Image 1,1000016107,
4.60104,,Track,4,Image 1,1000016109,
5.6748,,Track,4,Image 1,1000016117,
89.7778,,Track,4,Image 1,1000016143,
14.8103,,Track,4,Image 1,1000016167,
255,,Track,4,Image 1,1000016188,
2.97368,,Track,4,Image 1,1000016195,
239.5,,Track,4,Image 1,1000016200,
0.530435,,Track,4,Image 1,1000016214,
0.0441176,,Track,4,Image 1,1000016218,
55.3542,,Track,4,Image 1,1000016223,
23.5824,,Track,4,Image 1,1000016232,
33.0851,,Track,4,Image 1,1000016233,
60.1933,,Track,4,Image 1,1000016235,
220.823,,Track,4,Image 1,1000016250,
16.8837,,Track,4,Image 1,1000016259,
33.1944,,Track,4,Image 1,1000016275,
49.1111,,Track,4,Image 1,1000016281,
164.873,,Track,4,Image 1,1000016292,
8.70192,,Track,4,Image 1,1000016299,
3.97541,,Track,4,Image 1,1000016304,
65.8667,,Track,4,Image 1,1000016316,
30.3642,,Track,4,Image 1,1000016320,
18.4703,,Track,4,Image 1,1000016332,
60.1282,,Track,4,Image 1,1000016337,
78.0814,,Track,4,Image 1,1000016338,
12.3118,,Track,4,Image 1,1000016342,
46.2254,,Track,4,Image 1,1000016354,
15.807,,Track,4,Image 1,1000016357,
55.5038,,Track,4,Image 1,1000016360,
3.2,,Track,4,Image 1,1000016381,
34.375,,Track,4,Image 1,1000016386,
0.660377,,Track,4,Image 1,1000016390,
39.2455,,Track,4,Image 1,1000016397,
11.0294,,Track,4,Image 1,1000016402,
123.333,,Track,4,Image 1,1000016404,
39.2821,,Track,4,Image 1,1000016415,
0.414634,,Track,4,Image 1,1000016419,
8.64706,,Track,4,Image 1,1000016423,
32.76,,Track,4,Image 1,1000016426,
26.2947,,Track,4,Image 1,1000016430,
2.30216,,Track,4,Image 1,1000016436,
1.40741,,Track,4,Image 1,1000016453,
3.16751,,Track,4,Image 1,1000016466,
7.53175,,Track,4,Image 1,1000016468,
6.94444,,Track,4,Image 1,1000016474,
32.1404,,Track,4,Image 1,1000016475,
9.62016,,Track,4,Image 1,1000016485,
14.026,,Track,4,Image 1,1000016504,
2.10417,,Track,4,Image 1,1000016508,
0.243243,,Track,4,Image 1,1000016512,
35.2105,,Track,4,Image 1,1000016521,
84.7049,,Track,4,Image 1,1000016531,
32.8367,,Track,4,Image 1,1000016534,
93.0278,,Track,4,Image 1,1000016542,
41.3333,,Track,4,Image 1,1000016585,
14.3077,,Track,4,Image 1,1000016590,
1.17347,,Track,4,Image 1,1000016591,
12.0926,,Track,4,Image 1,1000016603,
5.21818,,Track,4,Image 1,1000016609,
255,,Track,4,Image 1,1000016611,
5.15217,,Track,4,Image 1,1000016612,
2.97531,,Track,4,Image 1,1000016623,
39.1927,,Track,4,Image 1,1000016626,
0.862069,,Track,4,Image 1,1000016639,
28.9091,,Track,4,Image 1,1000016641,
25.0882,,Track,4,Image 1,1000016643,
24.8624,,Track,4,Image 1,1000016665,
16.1806,,Track,4,Image 1,1000016666,
56.4923,,Track,4,Image 1,1000016674,
8.06061,,Track,4,Image 1,1000016677,
17.536,,Track,4,Image 1,1000016700,
31.4545,,Track,4,Image 1,1000016703,
1.55172,,Track,4,Image 1,1000016708,
