
Displacement Length
 ==================== 
Displacement Length,Unit,Category,Time,TrackID,ID,
1.46965,um,Surface,8,1000014185,14396,
0,um,Surface,8,1000014397,14397,
1.15211,um,Surface,8,1000014298,14398,
2.18754,um,Surface,8,1000014299,14399,
0,um,Surface,8,1000014400,14400,
2.47596,um,Surface,8,1000014233,14401,
0,um,Surface,8,1000014402,14402,
2.79348,um,Surface,8,1000014302,14403,
7.03037,um,Surface,8,1000014304,14404,
14.1638,um,Surface,8,1000014189,14405,
12.1367,um,Surface,8,1000014239,14406,
0,um,Surface,8,1000014407,14407,
3.03361,um,Surface,8,1000014193,14408,
5.58929,um,Surface,8,1000014350,14409,
1.1706,um,Surface,8,1000014216,14410,
1.72212,um,Surface,8,1000014218,14411,
0,um,Surface,8,1000014412,14412,
5.9251,um,Surface,8,1000014353,14413,
0,um,Surface,8,1000014414,14414,
12.115,um,Surface,8,1000014197,14415,
4.52708,um,Surface,8,1000014289,14416,
0.556963,um,Surface,8,1000014199,14417,
2.53901,um,Surface,8,1000014198,14418,
3.4927,um,Surface,8,1000014200,14419,
1.02412,um,Surface,8,1000014201,14420,
3.24787,um,Surface,9,1000014298,14421,
0,um,Surface,9,1000014422,14422,
0.702997,um,Surface,9,1000014397,14423,
3.02999,um,Surface,9,1000014184,14424,
2.7841,um,Surface,9,1000014394,14425,
5.05275,um,Surface,9,1000014331,14426,
1.96747,um,Surface,9,1000014329,14427,
1.4206,um,Surface,9,1000014185,14428,
2.27148,um,Surface,9,1000014299,14429,
0,um,Surface,9,1000014430,14430,
1.55616,um,Surface,9,1000014400,14431,
1.69729,um,Surface,9,1000014402,14432,
0,um,Surface,9,1000014433,14433,
10.7032,um,Surface,9,1000014304,14434,
11.648,um,Surface,9,1000014189,14435,
0,um,Surface,9,1000014436,14436,
0,um,Surface,9,1000014407,14437,
0,um,Surface,9,1000014438,14438,
0,um,Surface,9,1000014439,14439,
0,um,Surface,9,1000014440,14440,
2.06657,um,Surface,9,1000014193,14441,
5.81892,um,Surface,9,1000014350,14442,
2.67455,um,Surface,9,1000014412,14443,
7.18533,um,Surface,9,1000014353,14444,
2.03744,um,Surface,9,1000014414,14445,
12.2462,um,Surface,9,1000014197,14446,
0,um,Surface,9,1000014447,14447,
1.57532,um,Surface,9,1000014199,14448,
6.22699,um,Surface,9,1000014289,14449,
4.04795,um,Surface,9,1000014198,14450,
2.43043,um,Surface,9,1000014200,14451,
1.90626,um,Surface,9,1000014201,14452,
0,um,Surface,9,1000014453,14453,
6.05188,um,Surface,10,1000014430,14454,
6.55908,um,Surface,10,1000014298,14455,
1.48126,um,Surface,10,1000014422,14456,
0.472924,um,Surface,10,1000014397,14457,
3.34637,um,Surface,10,1000014184,14458,
0,um,Surface,10,1000014459,14459,
3.92607,um,Surface,10,1000014394,14460,
5.42796,um,Surface,10,1000014331,14461,
2.73798,um,Surface,10,1000014185,14462,
2.28471,um,Surface,10,1000014299,14463,
1.19129,um,Surface,10,1000014400,14464,
0,um,Surface,10,1000014465,14465,
2.3366,um,Surface,10,1000014402,14466,
3.63755,um,Surface,10,1000014433,14467,
12.8241,um,Surface,10,1000014189,14468,
2.18716,um,Surface,10,1000014436,14469,
0,um,Surface,10,1000014470,14470,
1.29718,um,Surface,10,1000014407,14471,
0.910457,um,Surface,10,1000014438,14472,
2.29403,um,Surface,10,1000014439,14473,
2.2354,um,Surface,10,1000014440,14474,
2.77196,um,Surface,10,1000014193,14475,
7.72212,um,Surface,10,1000014350,14476,
2.97781,um,Surface,10,1000014412,14477,
7.74615,um,Surface,10,1000014353,14478,
1.70937,um,Surface,10,1000014414,14479,
14.2214,um,Surface,10,1000014197,14480,
0.860512,um,Surface,10,1000014447,14481,
1.85653,um,Surface,10,1000014199,14482,
3.42825,um,Surface,10,1000014198,14483,
3.71838,um,Surface,10,1000014200,14484,
0.83706,um,Surface,10,1000014201,14485,
0.715146,um,Surface,10,1000014453,14486,
1.01958,um,Surface,11,1000014465,14487,
2.44294,um,Surface,11,1000014400,14488,
8.22667,um,Surface,11,1000014298,14489,
3.22907,um,Surface,11,1000014299,14490,
4.88945,um,Surface,11,1000014430,14491,
1.75563,um,Surface,11,1000014422,14492,
0,um,Surface,11,1000014493,14493,
2.65288,um,Surface,11,1000014397,14494,
3.29105,um,Surface,11,1000014184,14495,
0.470944,um,Surface,11,1000014459,14496,
3.89227,um,Surface,11,1000014394,14497,
6.00437,um,Surface,11,1000014331,14498,
1.56416,um,Surface,11,1000014185,14499,
0.787653,um,Surface,11,1000014402,14500,
0,um,Surface,11,1000014501,14501,
3.77209,um,Surface,11,1000014433,14502,
13.3487,um,Surface,11,1000014189,14503,
3.04208,um,Surface,11,1000014436,14504,
2.49656,um,Surface,11,1000014470,14505,
1.13794,um,Surface,11,1000014407,14506,
2.06003,um,Surface,11,1000014438,14507,
2.26511,um,Surface,11,1000014439,14508,
1.17503,um,Surface,11,1000014440,14509,
2.73374,um,Surface,11,1000014193,14510,
9.6438,um,Surface,11,1000014350,14511,
