
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0,0,0,um,Surface,Displacement Delta,9,1000014440,14440,
-2.21057,-0.217941,0.1125,um,Surface,Displacement Delta,9,1000014193,14441,
-0.308777,-1.43367,0,um,Surface,Displacement Delta,9,1000014350,14442,
-1.9117,-1.54192,1.05882,um,Surface,Displacement Delta,9,1000014412,14443,
-2.87825,2.96129,0,um,Surface,Displacement Delta,9,1000014353,14444,
-1.07935,-1.72379,-0.121428,um,Surface,Displacement Delta,9,1000014414,14445,
-0.79567,0.242165,3,um,Surface,Displacement Delta,9,1000014197,14446,
0,0,0,um,Surface,Displacement Delta,9,1000014447,14447,
-1.2454,0,0,um,Surface,Displacement Delta,9,1000014199,14448,
-3.57014,2.24172,-3.6,um,Surface,Displacement Delta,9,1000014289,14449,
-1.5371,-0.0997391,-0.412162,um,Surface,Displacement Delta,9,1000014198,14450,
-1.06748,0.770958,-0.904762,um,Surface,Displacement Delta,9,1000014200,14451,
-1.3586,-0.490616,0,um,Surface,Displacement Delta,9,1000014201,14452,
0,0,0,um,Surface,Displacement Delta,9,1000014453,14453,
5.47579,-1.9241,1.71428,um,Surface,Displacement Delta,10,1000014430,14454,
-0.0112,-1.35863,4.0101,um,Surface,Displacement Delta,10,1000014298,14455,
-0.518906,1.00323,0.958332,um,Surface,Displacement Delta,10,1000014422,14456,
-0.0276794,0.733398,0,um,Surface,Displacement Delta,10,1000014397,14457,
-0.0922394,1.14658,0,um,Surface,Displacement Delta,10,1000014184,14458,
0,0,0,um,Surface,Displacement Delta,10,1000014459,14459,
-0.0832214,-1.23708,-0.622494,um,Surface,Displacement Delta,10,1000014394,14460,
0.377396,1.21326,-0.515152,um,Surface,Displacement Delta,10,1000014331,14461,
1.05669,0.37738,-1.36364,um,Surface,Displacement Delta,10,1000014185,14462,
-0.415131,3.05176e-05,-0.900002,um,Surface,Displacement Delta,10,1000014299,14463,
0.483147,-0.131348,0.0217918,um,Surface,Displacement Delta,10,1000014400,14464,
0,0,0,um,Surface,Displacement Delta,10,1000014465,14465,
-0.576584,1.1301,0,um,Surface,Displacement Delta,10,1000014402,14466,
3.63304,0.181152,0,um,Surface,Displacement Delta,10,1000014433,14467,
-0.313004,0.07547,-1.7246,um,Surface,Displacement Delta,10,1000014189,14468,
1.30553,0.542061,-1.66897,um,Surface,Displacement Delta,10,1000014436,14469,
0,0,0,um,Surface,Displacement Delta,10,1000014470,14470,
-0.207565,-1.03783,0.75,um,Surface,Displacement Delta,10,1000014407,14471,
0.622696,0.664215,0,um,Surface,Displacement Delta,10,1000014438,14472,
1.8576,1.34605,0,um,Surface,Displacement Delta,10,1000014439,14473,
0.948868,1.8938,0.714287,um,Surface,Displacement Delta,10,1000014440,14474,
0.240097,0.132385,-0.745946,um,Surface,Displacement Delta,10,1000014193,14475,
1.44524,-1.29382,-0.23077,um,Surface,Displacement Delta,10,1000014350,14476,
-0.157372,-0.599655,-1.05882,um,Surface,Displacement Delta,10,1000014412,14477,
0.202942,0.590408,0,um,Surface,Displacement Delta,10,1000014353,14478,
-0.268616,0.802353,-0.384454,um,Surface,Displacement Delta,10,1000014414,14479,
2.07567,-0.415146,3,um,Surface,Displacement Delta,10,1000014197,14480,
0.442734,0.730061,-0.107143,um,Surface,Displacement Delta,10,1000014447,14481,
-0.166054,0.3321,0,um,Surface,Displacement Delta,10,1000014199,14482,
0.920502,-0.136368,-0.336957,um,Surface,Displacement Delta,10,1000014198,14483,
1.03555,0.60218,-1.12088,um,Surface,Displacement Delta,10,1000014200,14484,
1.38377,0.138374,0,um,Surface,Displacement Delta,10,1000014201,14485,
0.326729,0.636147,0,um,Surface,Displacement Delta,10,1000014453,14486,
0.747238,-0.664215,-0.2,um,Surface,Displacement Delta,11,1000014465,14487,
0.711658,-1.85818,-0.428571,um,Surface,Displacement Delta,11,1000014400,14488,
-4.01712,-1.22443,-2.45454,um,Surface,Displacement Delta,11,1000014298,14489,
0.857933,-0.304443,-0.5,um,Surface,Displacement Delta,11,1000014299,14490,
-1.21772,0.239838,0,um,Surface,Displacement Delta,11,1000014430,14491,
-0.415131,-1.66054,0.375,um,Surface,Displacement Delta,11,1000014422,14492,
0,0,0,um,Surface,Displacement Delta,11,1000014493,14493,
0.752777,-2.80077,0,um,Surface,Displacement Delta,11,1000014397,14494,
-0.726486,-2.14981,0,um,Surface,Displacement Delta,11,1000014184,14495,
0.448074,0.144974,0,um,Surface,Displacement Delta,11,1000014459,14496,
-0.706863,0.527328,0.283783,um,Surface,Displacement Delta,11,1000014394,14497,
0.322876,0.338257,-0.5,um,Surface,Displacement Delta,11,1000014331,14498,
-0.492249,-0.466003,1.17391,um,Surface,Displacement Delta,11,1000014185,14499,
1.17622,-0.622711,1,um,Surface,Displacement Delta,11,1000014402,14500,
0,0,0,um,Surface,Displacement Delta,11,1000014501,14501,
-0.062912,-1.39886,0,um,Surface,Displacement Delta,11,1000014433,14502,
2.96252,0.13208,1.88636,um,Surface,Displacement Delta,11,1000014189,14503,
1.28387,-1.34292,0.287716,um,Surface,Displacement Delta,11,1000014436,14504,
-1.66052,-1.10701,-1.5,um,Surface,Displacement Delta,11,1000014470,14505,
0.415131,0.207565,0,um,Surface,Displacement Delta,11,1000014407,14506,
0.726479,-2.22096,0,um,Surface,Displacement Delta,11,1000014438,14507,
-0.419563,0.404022,0,um,Surface,Displacement Delta,11,1000014439,14508,
-0.466522,-1.09516,0,um,Surface,Displacement Delta,11,1000014440,14509,
0.562492,-0.658234,0.345945,um,Surface,Displacement Delta,11,1000014193,14510,
-0.0574951,-2.96341,-0.923077,um,Surface,Displacement Delta,11,1000014350,14511,
-0.184494,-1.47603,0,um,Surface,Displacement Delta,11,1000014412,14512,
2.95207,-1.04112,-1.28572,um,Surface,Displacement Delta,11,1000014353,14513,
0.517693,-0.351639,0.705882,um,Surface,Displacement Delta,11,1000014414,14514,
-2.11026,-3.77078,-3,um,Surface,Displacement Delta,11,1000014197,14515,
2.65685,-1.78507,-0.75,um,Surface,Displacement Delta,11,1000014199,14516,
-0.124832,-1.36272,-0.788043,um,Surface,Displacement Delta,11,1000014198,14517,
1.39241,-2.85844,0,um,Surface,Displacement Delta,11,1000014447,14518,
1.27734,-2.84916,0.858974,um,Surface,Displacement Delta,11,1000014200,14519,
-0.0345993,-1.11279,0,um,Surface,Displacement Delta,11,1000014453,14520,
0,0,0,um,Surface,Displacement Delta,11,1000014521,14521,
0.150955,0.11322,-1.09091,um,Surface,Displacement Delta,12,1000014394,14522,
-0.123611,0.217712,-1.64667,um,Surface,Displacement Delta,12,1000014331,14523,
0.0513,0.060791,-0.0686493,um,Surface,Displacement Delta,12,1000014185,14524,
1.0159,-4.38855,0.52174,um,Surface,Displacement Delta,12,1000014459,14525,
0.144699,0.733002,0,um,Surface,Displacement Delta,12,1000014397,14526,
-1.81274,-1.86809,-2.3,um,Surface,Displacement Delta,12,1000014493,14527,
0.242157,0.795685,-1,um,Surface,Displacement Delta,12,1000014422,14528,
3.15501,-2.40778,1.5,um,Surface,Displacement Delta,12,1000014430,14529,
