
Number of Disconnected Components
 ==================== 
Number of Disconnected Components,Unit,Category,Time,TrackID,ID,
1,,Surface,16,1000014647,14647,
1,,Surface,16,1000014648,14648,
1,,Surface,16,1000014591,14649,
1,,Surface,16,1000014493,14650,
1,,Surface,16,1000014400,14651,
1,,Surface,16,1000014501,14652,
1,,Surface,16,1000014536,14653,
1,,Surface,16,1000014189,14654,
1,,Surface,16,1000014626,14655,
1,,Surface,16,1000014656,14656,
1,,Surface,16,1000014627,14657,
1,,Surface,16,1000014658,14658,
1,,Surface,16,1000014659,14659,
1,,Surface,16,1000014470,14660,
1,,Surface,16,1000014661,14661,
1,,Surface,16,1000014545,14662,
1,,Surface,16,1000014663,14663,
1,,Surface,16,1000014353,14664,
1,,Surface,16,1000014605,14665,
1,,Surface,16,1000014197,14666,
1,,Surface,16,1000014607,14667,
1,,Surface,16,1000014668,14668,
1,,Surface,16,1000014199,14669,
1,,Surface,16,1000014198,14670,
1,,Surface,16,1000014453,14671,
1,,Surface,16,1000014582,14672,
1,,Surface,16,1000014583,14673,
1,,Surface,16,1000014584,14674,
1,,Surface,16,1000014521,14675,
1,,Surface,17,1000014676,14676,
1,,Surface,17,1000014586,14677,
1,,Surface,17,1000014394,14678,
1,,Surface,17,1000014185,14679,
1,,Surface,17,1000014648,14680,
1,,Surface,17,1000014647,14681,
1,,Surface,17,1000014591,14682,
1,,Surface,17,1000014683,14683,
1,,Surface,17,1000014501,14684,
1,,Surface,17,1000014536,14685,
1,,Surface,17,1000014686,14686,
1,,Surface,17,1000014626,14687,
1,,Surface,17,1000014627,14688,
1,,Surface,17,1000014656,14689,
1,,Surface,17,1000014658,14690,
1,,Surface,17,1000014470,14691,
1,,Surface,17,1000014659,14692,
1,,Surface,17,1000014661,14693,
1,,Surface,17,1000014353,14694,
1,,Surface,17,1000014663,14695,
1,,Surface,17,1000014605,14696,
1,,Surface,17,1000014197,14697,
1,,Surface,17,1000014607,14698,
1,,Surface,17,1000014668,14699,
1,,Surface,17,1000014199,14700,
1,,Surface,17,1000014198,14701,
1,,Surface,17,1000014702,14702,
1,,Surface,17,1000014453,14703,
1,,Surface,17,1000014582,14704,
1,,Surface,18,1000014676,14705,
1,,Surface,18,1000014394,14706,
1,,Surface,18,1000014185,14707,
1,,Surface,18,1000014648,14708,
1,,Surface,18,1000014647,14709,
1,,Surface,18,1000014710,14710,
1,,Surface,18,1000014591,14711,
1,,Surface,18,1000014683,14712,
1,,Surface,18,1000014501,14713,
1,,Surface,18,1000014536,14714,
1,,Surface,18,1000014686,14715,
1,,Surface,18,1000014716,14716,
1,,Surface,18,1000014626,14717,
1,,Surface,18,1000014656,14718,
1,,Surface,18,1000014627,14719,
1,,Surface,18,1000014658,14720,
1,,Surface,18,1000014470,14721,
1,,Surface,18,1000014659,14722,
1,,Surface,18,1000014661,14723,
1,,Surface,18,1000014353,14724,
1,,Surface,18,1000014663,14725,
1,,Surface,18,1000014605,14726,
1,,Surface,18,1000014607,14727,
1,,Surface,18,1000014668,14728,
1,,Surface,18,1000014199,14729,
1,,Surface,18,1000014198,14730,
1,,Surface,18,1000014702,14731,
1,,Surface,18,1000014732,14732,
1,,Surface,19,1000014683,14733,
1,,Surface,19,1000014710,14734,
1,,Surface,19,1000014591,14735,
1,,Surface,19,1000014647,14736,
1,,Surface,19,1000014648,14737,
1,,Surface,19,1000014676,14738,
1,,Surface,19,1000014394,14739,
1,,Surface,19,1000014185,14740,
1,,Surface,19,1000014501,14741,
1,,Surface,19,1000014536,14742,
1,,Surface,19,1000014686,14743,
1,,Surface,19,1000014716,14744,
1,,Surface,19,1000014656,14745,
1,,Surface,19,1000014658,14746,
1,,Surface,19,1000014470,14747,
1,,Surface,19,1000014748,14748,
1,,Surface,19,1000014659,14749,
1,,Surface,19,1000014750,14750,
1,,Surface,19,1000014661,14751,
1,,Surface,19,1000014752,14752,
1,,Surface,19,1000014353,14753,
1,,Surface,19,1000014663,14754,
1,,Surface,19,1000014605,14755,
1,,Surface,19,1000014756,14756,
1,,Surface,19,1000014607,14757,
