
Track Sphericity Mean
 ==================== 
Track Sphericity Mean,Unit,Category,ID,
0.883968,,Track,1000019472,
0.735035,,Track,1000019477,
0.872604,,Track,1000019486,
0.851682,,Track,1000019491,
0.856612,,Track,1000019516,
0.861926,,Track,1000019522,
0.835725,,Track,1000019553,
0.817032,,Track,1000019599,
0.781193,,Track,1000019600,
0.822566,,Track,1000019614,
0.865462,,Track,1000019617,
0.77119,,Track,1000019632,
0.726029,,Track,1000019633,
0.855936,,Track,1000019658,
0.865538,,Track,1000019676,
0.882138,,Track,1000019699,
0.754462,,Track,1000019726,
0.768915,,Track,1000019742,
0.892122,,Track,1000019751,
0.757589,,Track,1000019755,
0.794256,,Track,1000019758,
0.795702,,Track,1000019764,
0.75914,,Track,1000019783,
0.752183,,Track,1000019786,
0.787896,,Track,1000019826,
0.860328,,Track,1000019827,
0.890246,,Track,1000019831,
0.869418,,Track,1000019844,
0.758363,,Track,1000019845,
0.829617,,Track,1000019850,
0.884618,,Track,1000019861,
0.749512,,Track,1000019878,
0.803906,,Track,1000019903,
0.856528,,Track,1000019906,
0.81342,,Track,1000019933,
0.841795,,Track,1000019940,
0.797383,,Track,1000019946,
0.801627,,Track,1000019966,
0.850306,,Track,1000019974,
0.796796,,Track,1000020053,
0.771776,,Track,1000020057,
0.835908,,Track,1000020077,
0.864788,,Track,1000020087,
0.796226,,Track,1000020103,
0.825754,,Track,1000020120,
0.841528,,Track,1000020125,
0.810961,,Track,1000020126,
0.815633,,Track,1000020133,
0.859123,,Track,1000020165,
0.846433,,Track,1000020170,
0.837001,,Track,1000020171,
0.829853,,Track,1000020183,
0.772292,,Track,1000020189,
0.767311,,Track,1000020218,
0.855033,,Track,1000020219,
0.789123,,Track,1000020221,
0.760334,,Track,1000020222,
0.851401,,Track,1000020224,
0.799897,,Track,1000020226,
0.807898,,Track,1000020228,
0.825753,,Track,1000020245,
0.818305,,Track,1000020250,
0.77978,,Track,1000020287,
0.847526,,Track,1000020289,
0.84354,,Track,1000020293,
0.880466,,Track,1000020297,
0.870838,,Track,1000020331,
0.879684,,Track,1000020336,
0.780858,,Track,1000020363,
0.773548,,Track,1000020386,
0.828141,,Track,1000020388,
0.861221,,Track,1000020440,
0.838671,,Track,1000020457,
0.806518,,Track,1000020475,
0.747963,,Track,1000020486,
0.874287,,Track,1000020497,
0.824423,,Track,1000020507,
0.87427,,Track,1000020516,
0.812867,,Track,1000020521,
0.874093,,Track,1000020533,
0.868269,,Track,1000020536,
0.884965,,Track,1000020556,
0.855976,,Track,1000020594,
0.867648,,Track,1000020611,
0.901548,,Track,1000020618,
0.846694,,Track,1000020622,
0.860583,,Track,1000020625,
0.839425,,Track,1000020644,
0.817789,,Track,1000020652,
0.805444,,Track,1000020662,
0.719548,,Track,1000020673,
0.89958,,Track,1000020676,
0.80409,,Track,1000020690,
0.803484,,Track,1000020691,
0.851256,,Track,1000020693,
0.835853,,Track,1000020709,
0.748409,,Track,1000020710,
0.922609,,Track,1000020724,
0.863984,,Track,1000020737,
0.808322,,Track,1000020760,
0.771153,,Track,1000020787,
0.776295,,Track,1000020788,
0.760135,,Track,1000020805,
0.817205,,Track,1000020823,
0.825484,,Track,1000020845,
0.859799,,Track,1000020850,
0.784408,,Track,1000020869,
0.845837,,Track,1000020890,
0.908092,,Track,1000020917,
0.833939,,Track,1000020919,
0.831689,,Track,1000020924,
0.782002,,Track,1000020929,
0.750387,,Track,1000020942,
0.792493,,Track,1000020962,
0.783064,,Track,1000020967,
0.813639,,Track,1000020974,
