
Number of Disconnected Components
 ==================== 
Number of Disconnected Components,Unit,Category,Time,TrackID,ID,
1,,Surface,8,1000018764,19029,
1,,Surface,8,1000018763,19030,
1,,Surface,8,1000018794,19031,
1,,Surface,8,1000018978,19032,
1,,Surface,8,1000018766,19033,
1,,Surface,8,1000018867,19034,
1,,Surface,8,1000018768,19035,
1,,Surface,8,1000018797,19036,
1,,Surface,8,1000018799,19037,
1,,Surface,8,1000018904,19038,
1,,Surface,8,1000018769,19039,
1,,Surface,8,1000018770,19040,
1,,Surface,8,1000018996,19041,
1,,Surface,8,1000018802,19042,
1,,Surface,8,1000018773,19043,
1,,Surface,8,1000018912,19044,
1,,Surface,8,1000019003,19045,
1,,Surface,8,1000018913,19046,
1,,Surface,8,1000019002,19047,
1,,Surface,8,1000019004,19048,
1,,Surface,8,1000019049,19049,
1,,Surface,8,1000018774,19050,
1,,Surface,8,1000018775,19051,
1,,Surface,8,1000019007,19052,
1,,Surface,8,1000018776,19053,
1,,Surface,8,1000018777,19054,
1,,Surface,8,1000018919,19055,
1,,Surface,8,1000018778,19056,
1,,Surface,8,1000018964,19057,
1,,Surface,8,1000018779,19058,
1,,Surface,9,1000018770,19059,
1,,Surface,9,1000018769,19060,
1,,Surface,9,1000018947,19061,
1,,Surface,9,1000018812,19062,
1,,Surface,9,1000018755,19063,
1,,Surface,9,1000019064,19064,
1,,Surface,9,1000018756,19065,
1,,Surface,9,1000018759,19066,
1,,Surface,9,1000018760,19067,
1,,Surface,9,1000018788,19068,
1,,Surface,9,1000018816,19069,
1,,Surface,9,1000018858,19070,
1,,Surface,9,1000018930,19071,
1,,Surface,9,1000018970,19072,
1,,Surface,9,1000018761,19073,
1,,Surface,9,1000018762,19074,
1,,Surface,9,1000018933,19075,
1,,Surface,9,1000018764,19076,
1,,Surface,9,1000018763,19077,
1,,Surface,9,1000018794,19078,
1,,Surface,9,1000018978,19079,
1,,Surface,9,1000018766,19080,
1,,Surface,9,1000018867,19081,
1,,Surface,9,1000018797,19082,
1,,Surface,9,1000018768,19083,
1,,Surface,9,1000018799,19084,
1,,Surface,9,1000018904,19085,
1,,Surface,9,1000018996,19086,
1,,Surface,9,1000019087,19087,
1,,Surface,9,1000018773,19088,
1,,Surface,9,1000018912,19089,
1,,Surface,9,1000018913,19090,
1,,Surface,9,1000019003,19091,
1,,Surface,9,1000019002,19092,
1,,Surface,9,1000019004,19093,
1,,Surface,9,1000018774,19094,
1,,Surface,9,1000019049,19095,
1,,Surface,9,1000019007,19096,
1,,Surface,9,1000018776,19097,
1,,Surface,9,1000018777,19098,
1,,Surface,9,1000018919,19099,
1,,Surface,9,1000018778,19100,
1,,Surface,9,1000018964,19101,
1,,Surface,9,1000018779,19102,
1,,Surface,10,1000018947,19103,
1,,Surface,10,1000018812,19104,
1,,Surface,10,1000018755,19105,
1,,Surface,10,1000019064,19106,
1,,Surface,10,1000018756,19107,
1,,Surface,10,1000019108,19108,
1,,Surface,10,1000019109,19109,
1,,Surface,10,1000018759,19110,
1,,Surface,10,1000018788,19111,
1,,Surface,10,1000018760,19112,
1,,Surface,10,1000018858,19113,
1,,Surface,10,1000019114,19114,
1,,Surface,10,1000018816,19115,
1,,Surface,10,1000018970,19116,
1,,Surface,10,1000018930,19117,
1,,Surface,10,1000018761,19118,
1,,Surface,10,1000018762,19119,
1,,Surface,10,1000018933,19120,
1,,Surface,10,1000018764,19121,
1,,Surface,10,1000018794,19122,
1,,Surface,10,1000018978,19123,
1,,Surface,10,1000018766,19124,
1,,Surface,10,1000018867,19125,
1,,Surface,10,1000018797,19126,
1,,Surface,10,1000018768,19127,
1,,Surface,10,1000018799,19128,
1,,Surface,10,1000018904,19129,
1,,Surface,10,1000018769,19130,
1,,Surface,10,1000018770,19131,
1,,Surface,10,1000018996,19132,
1,,Surface,10,1000019133,19133,
1,,Surface,10,1000019087,19134,
1,,Surface,10,1000018773,19135,
