
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,TrackID,ID,
85.1022,um,Surface,Image 1,6,1000018930,18930,
138.305,um,Surface,Image 1,6,1000018761,18931,
130.616,um,Surface,Image 1,6,1000018762,18932,
134.295,um,Surface,Image 1,6,1000018933,18933,
39.6986,um,Surface,Image 1,6,1000018764,18934,
40.1474,um,Surface,Image 1,6,1000018763,18935,
117.483,um,Surface,Image 1,6,1000018794,18936,
54.3245,um,Surface,Image 1,6,1000018765,18937,
38.8841,um,Surface,Image 1,6,1000018766,18938,
24.4928,um,Surface,Image 1,6,1000018867,18939,
21.1718,um,Surface,Image 1,6,1000018767,18940,
40.4063,um,Surface,Image 1,6,1000018797,18941,
73.8521,um,Surface,Image 1,6,1000018768,18942,
25.3042,um,Surface,Image 1,6,1000018799,18943,
34.456,um,Surface,Image 1,6,1000018904,18944,
76.0879,um,Surface,Image 1,6,1000018755,18945,
91.1355,um,Surface,Image 1,6,1000018812,18946,
98.3865,um,Surface,Image 1,6,1000018947,18947,
71.9563,um,Surface,Image 1,6,1000018754,18948,
126.584,um,Surface,Image 1,6,1000018769,18949,
42.136,um,Surface,Image 1,6,1000018770,18950,
129.818,um,Surface,Image 1,6,1000018771,18951,
115.96,um,Surface,Image 1,6,1000018802,18952,
127.446,um,Surface,Image 1,6,1000018772,18953,
81.7812,um,Surface,Image 1,6,1000018773,18954,
57.3081,um,Surface,Image 1,6,1000018912,18955,
142.391,um,Surface,Image 1,6,1000018913,18956,
119.973,um,Surface,Image 1,6,1000018775,18957,
135.852,um,Surface,Image 1,6,1000018774,18958,
149.863,um,Surface,Image 1,6,1000018776,18959,
67.067,um,Surface,Image 1,6,1000018777,18960,
67.8176,um,Surface,Image 1,6,1000018809,18961,
86.6244,um,Surface,Image 1,6,1000018919,18962,
79.2904,um,Surface,Image 1,6,1000018778,18963,
38.5797,um,Surface,Image 1,6,1000018964,18964,
18.2658,um,Surface,Image 1,6,1000018779,18965,
90.2914,um,Surface,Image 1,7,1000018760,18966,
120.555,um,Surface,Image 1,7,1000018788,18967,
149.151,um,Surface,Image 1,7,1000018858,18968,
85.3098,um,Surface,Image 1,7,1000018930,18969,
139.651,um,Surface,Image 1,7,1000018970,18970,
138.172,um,Surface,Image 1,7,1000018761,18971,
130.201,um,Surface,Image 1,7,1000018762,18972,
134.088,um,Surface,Image 1,7,1000018933,18973,
39.5414,um,Surface,Image 1,7,1000018764,18974,
39.9408,um,Surface,Image 1,7,1000018763,18975,
117.364,um,Surface,Image 1,7,1000018794,18976,
54.0616,um,Surface,Image 1,7,1000018765,18977,
42.0322,um,Surface,Image 1,7,1000018978,18978,
39.1263,um,Surface,Image 1,7,1000018766,18979,
24.4928,um,Surface,Image 1,7,1000018867,18980,
21.0334,um,Surface,Image 1,7,1000018767,18981,
72.7575,um,Surface,Image 1,7,1000018768,18982,
41.0982,um,Surface,Image 1,7,1000018797,18983,
24.9858,um,Surface,Image 1,7,1000018799,18984,
34.456,um,Surface,Image 1,7,1000018904,18985,
115.703,um,Surface,Image 1,7,1000018816,18986,
71.6292,um,Surface,Image 1,7,1000018759,18987,
56.2505,um,Surface,Image 1,7,1000018758,18988,
48.7089,um,Surface,Image 1,7,1000018757,18989,
100.877,um,Surface,Image 1,7,1000018756,18990,
76.7996,um,Surface,Image 1,7,1000018755,18991,
92.2553,um,Surface,Image 1,7,1000018812,18992,
99.3551,um,Surface,Image 1,7,1000018947,18993,
127.335,um,Surface,Image 1,7,1000018769,18994,
43.4229,um,Surface,Image 1,7,1000018770,18995,
96.726,um,Surface,Image 1,7,1000018996,18996,
115.96,um,Surface,Image 1,7,1000018802,18997,
125.785,um,Surface,Image 1,7,1000018772,18998,
81.7812,um,Surface,Image 1,7,1000018773,18999,
56.8732,um,Surface,Image 1,7,1000018912,19000,
140.868,um,Surface,Image 1,7,1000018913,19001,
136.579,um,Surface,Image 1,7,1000019002,19002,
114.577,um,Surface,Image 1,7,1000019003,19003,
105.859,um,Surface,Image 1,7,1000019004,19004,
135.748,um,Surface,Image 1,7,1000018774,19005,
119.766,um,Surface,Image 1,7,1000018775,19006,
134.088,um,Surface,Image 1,7,1000019007,19007,
150.589,um,Surface,Image 1,7,1000018776,19008,
67.5708,um,Surface,Image 1,7,1000018777,19009,
64.9222,um,Surface,Image 1,7,1000018809,19010,
87.5377,um,Surface,Image 1,7,1000018919,19011,
80.9509,um,Surface,Image 1,7,1000018778,19012,
37.6387,um,Surface,Image 1,7,1000018964,19013,
17.9545,um,Surface,Image 1,7,1000018779,19014,
