
Intensity Median Ch=4 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,TrackID,ID,
255,,Surface,4,Image 1,6,1000018762,18932,
255,,Surface,4,Image 1,6,1000018933,18933,
255,,Surface,4,Image 1,6,1000018764,18934,
161.972,,Surface,4,Image 1,6,1000018763,18935,
208.509,,Surface,4,Image 1,6,1000018794,18936,
74.956,,Surface,4,Image 1,6,1000018765,18937,
254.987,,Surface,4,Image 1,6,1000018766,18938,
79.5,,Surface,4,Image 1,6,1000018867,18939,
74.5,,Surface,4,Image 1,6,1000018767,18940,
205.98,,Surface,4,Image 1,6,1000018797,18941,
254.983,,Surface,4,Image 1,6,1000018768,18942,
255,,Surface,4,Image 1,6,1000018799,18943,
255,,Surface,4,Image 1,6,1000018904,18944,
125.997,,Surface,4,Image 1,6,1000018755,18945,
152.959,,Surface,4,Image 1,6,1000018812,18946,
205.944,,Surface,4,Image 1,6,1000018947,18947,
114.02,,Surface,4,Image 1,6,1000018754,18948,
175.928,,Surface,4,Image 1,6,1000018769,18949,
254.987,,Surface,4,Image 1,6,1000018770,18950,
255,,Surface,4,Image 1,6,1000018771,18951,
74.013,,Surface,4,Image 1,6,1000018802,18952,
185.48,,Surface,4,Image 1,6,1000018772,18953,
255,,Surface,4,Image 1,6,1000018773,18954,
30.03,,Surface,4,Image 1,6,1000018912,18955,
35.9955,,Surface,4,Image 1,6,1000018913,18956,
56,,Surface,4,Image 1,6,1000018775,18957,
161.936,,Surface,4,Image 1,6,1000018774,18958,
145.028,,Surface,4,Image 1,6,1000018776,18959,
254.46,,Surface,4,Image 1,6,1000018777,18960,
33.025,,Surface,4,Image 1,6,1000018809,18961,
148.494,,Surface,4,Image 1,6,1000018919,18962,
39.998,,Surface,4,Image 1,6,1000018778,18963,
17.976,,Surface,4,Image 1,6,1000018964,18964,
166.044,,Surface,4,Image 1,6,1000018779,18965,
254.997,,Surface,4,Image 1,7,1000018760,18966,
68.45,,Surface,4,Image 1,7,1000018788,18967,
135.008,,Surface,4,Image 1,7,1000018858,18968,
252.5,,Surface,4,Image 1,7,1000018930,18969,
255,,Surface,4,Image 1,7,1000018970,18970,
255,,Surface,4,Image 1,7,1000018761,18971,
255,,Surface,4,Image 1,7,1000018762,18972,
255,,Surface,4,Image 1,7,1000018933,18973,
255,,Surface,4,Image 1,7,1000018764,18974,
180.898,,Surface,4,Image 1,7,1000018763,18975,
145.998,,Surface,4,Image 1,7,1000018794,18976,
76.1,,Surface,4,Image 1,7,1000018765,18977,
172.004,,Surface,4,Image 1,7,1000018978,18978,
254.94,,Surface,4,Image 1,7,1000018766,18979,
126.08,,Surface,4,Image 1,7,1000018867,18980,
100.077,,Surface,4,Image 1,7,1000018767,18981,
254.979,,Surface,4,Image 1,7,1000018768,18982,
199.5,,Surface,4,Image 1,7,1000018797,18983,
255,,Surface,4,Image 1,7,1000018799,18984,
255,,Surface,4,Image 1,7,1000018904,18985,
107.055,,Surface,4,Image 1,7,1000018816,18986,
255,,Surface,4,Image 1,7,1000018759,18987,
254.99,,Surface,4,Image 1,7,1000018758,18988,
255,,Surface,4,Image 1,7,1000018757,18989,
16.96,,Surface,4,Image 1,7,1000018756,18990,
133.093,,Surface,4,Image 1,7,1000018755,18991,
118.1,,Surface,4,Image 1,7,1000018812,18992,
188.02,,Surface,4,Image 1,7,1000018947,18993,
200.034,,Surface,4,Image 1,7,1000018769,18994,
255,,Surface,4,Image 1,7,1000018770,18995,
37.997,,Surface,4,Image 1,7,1000018996,18996,
70.971,,Surface,4,Image 1,7,1000018802,18997,
184.989,,Surface,4,Image 1,7,1000018772,18998,
255,,Surface,4,Image 1,7,1000018773,18999,
23.944,,Surface,4,Image 1,7,1000018912,19000,
27.006,,Surface,4,Image 1,7,1000018913,19001,
131.49,,Surface,4,Image 1,7,1000019002,19002,
57.01,,Surface,4,Image 1,7,1000019003,19003,
43.968,,Surface,4,Image 1,7,1000019004,19004,
129.496,,Surface,4,Image 1,7,1000018774,19005,
82.501,,Surface,4,Image 1,7,1000018775,19006,
140.488,,Surface,4,Image 1,7,1000019007,19007,
141.504,,Surface,4,Image 1,7,1000018776,19008,
254.967,,Surface,4,Image 1,7,1000018777,19009,
36.02,,Surface,4,Image 1,7,1000018809,19010,
134.864,,Surface,4,Image 1,7,1000018919,19011,
52.9675,,Surface,4,Image 1,7,1000018778,19012,
7.0155,,Surface,4,Image 1,7,1000018964,19013,
217.003,,Surface,4,Image 1,7,1000018779,19014,
224.063,,Surface,4,Image 1,8,1000018947,19015,
106.052,,Surface,4,Image 1,8,1000018812,19016,
205.98,,Surface,4,Image 1,8,1000018755,19017,
0,,Surface,4,Image 1,8,1000018756,19018,
255,,Surface,4,Image 1,8,1000018759,19019,
148.025,,Surface,4,Image 1,8,1000018816,19020,
254.968,,Surface,4,Image 1,8,1000018760,19021,
111.512,,Surface,4,Image 1,8,1000018788,19022,
83.5,,Surface,4,Image 1,8,1000018858,19023,
254.973,,Surface,4,Image 1,8,1000018970,19024,
254.988,,Surface,4,Image 1,8,1000018930,19025,
255,,Surface,4,Image 1,8,1000018761,19026,
255,,Surface,4,Image 1,8,1000018762,19027,
255,,Surface,4,Image 1,8,1000018933,19028,
255,,Surface,4,Image 1,8,1000018764,19029,
166.937,,Surface,4,Image 1,8,1000018763,19030,
152.92,,Surface,4,Image 1,8,1000018794,19031,
206.01,,Surface,4,Image 1,8,1000018978,19032,
254.973,,Surface,4,Image 1,8,1000018766,19033,
75.9932,,Surface,4,Image 1,8,1000018867,19034,
254.981,,Surface,4,Image 1,8,1000018768,19035,
184.018,,Surface,4,Image 1,8,1000018797,19036,
255,,Surface,4,Image 1,8,1000018799,19037,
255,,Surface,4,Image 1,8,1000018904,19038,
197.529,,Surface,4,Image 1,8,1000018769,19039,
254.998,,Surface,4,Image 1,8,1000018770,19040,
2.0155,,Surface,4,Image 1,8,1000018996,19041,
30.9915,,Surface,4,Image 1,8,1000018802,19042,
255,,Surface,4,Image 1,8,1000018773,19043,
8.004,,Surface,4,Image 1,8,1000018912,19044,
54.99,,Surface,4,Image 1,8,1000019003,19045,
47.504,,Surface,4,Image 1,8,1000018913,19046,
173,,Surface,4,Image 1,8,1000019002,19047,
57.029,,Surface,4,Image 1,8,1000019004,19048,
107.979,,Surface,4,Image 1,8,1000019049,19049,
184.545,,Surface,4,Image 1,8,1000018774,19050,
144,,Surface,4,Image 1,8,1000018775,19051,
145.034,,Surface,4,Image 1,8,1000019007,19052,
155.48,,Surface,4,Image 1,8,1000018776,19053,
200.016,,Surface,4,Image 1,8,1000018777,19054,
172.01,,Surface,4,Image 1,8,1000018919,19055,
31.52,,Surface,4,Image 1,8,1000018778,19056,
14.014,,Surface,4,Image 1,8,1000018964,19057,
214.995,,Surface,4,Image 1,8,1000018779,19058,
254.993,,Surface,4,Image 1,9,1000018770,19059,
230.012,,Surface,4,Image 1,9,1000018769,19060,
195.976,,Surface,4,Image 1,9,1000018947,19061,
77.456,,Surface,4,Image 1,9,1000018812,19062,
121.882,,Surface,4,Image 1,9,1000018755,19063,
82.04,,Surface,4,Image 1,9,1000019064,19064,
128.018,,Surface,4,Image 1,9,1000018756,19065,
255,,Surface,4,Image 1,9,1000018759,19066,
254.961,,Surface,4,Image 1,9,1000018760,19067,
93.0245,,Surface,4,Image 1,9,1000018788,19068,
128.924,,Surface,4,Image 1,9,1000018816,19069,
125.076,,Surface,4,Image 1,9,1000018858,19070,
236.038,,Surface,4,Image 1,9,1000018930,19071,
254.993,,Surface,4,Image 1,9,1000018970,19072,
255,,Surface,4,Image 1,9,1000018761,19073,
255,,Surface,4,Image 1,9,1000018762,19074,
255,,Surface,4,Image 1,9,1000018933,19075,
255,,Surface,4,Image 1,9,1000018764,19076,
192.062,,Surface,4,Image 1,9,1000018763,19077,
25,,Surface,4,Image 1,9,1000018794,19078,
210.024,,Surface,4,Image 1,9,1000018978,19079,
254.962,,Surface,4,Image 1,9,1000018766,19080,
42.024,,Surface,4,Image 1,9,1000018867,19081,
229.006,,Surface,4,Image 1,9,1000018797,19082,
255,,Surface,4,Image 1,9,1000018768,19083,
255,,Surface,4,Image 1,9,1000018799,19084,
255,,Surface,4,Image 1,9,1000018904,19085,
15.492,,Surface,4,Image 1,9,1000018996,19086,
123.985,,Surface,4,Image 1,9,1000019087,19087,
255,,Surface,4,Image 1,9,1000018773,19088,
12.0185,,Surface,4,Image 1,9,1000018912,19089,
66.432,,Surface,4,Image 1,9,1000018913,19090,
56.98,,Surface,4,Image 1,9,1000019003,19091,
254.981,,Surface,4,Image 1,9,1000019002,19092,
52.533,,Surface,4,Image 1,9,1000019004,19093,
166.044,,Surface,4,Image 1,9,1000018774,19094,
126.448,,Surface,4,Image 1,9,1000019049,19095,
143.888,,Surface,4,Image 1,9,1000019007,19096,
138.006,,Surface,4,Image 1,9,1000018776,19097,
165.895,,Surface,4,Image 1,9,1000018777,19098,
118.497,,Surface,4,Image 1,9,1000018919,19099,
56.95,,Surface,4,Image 1,9,1000018778,19100,
58.938,,Surface,4,Image 1,9,1000018964,19101,
206.98,,Surface,4,Image 1,9,1000018779,19102,
246.99,,Surface,4,Image 1,10,1000018947,19103,
89.5015,,Surface,4,Image 1,10,1000018812,19104,
217.048,,Surface,4,Image 1,10,1000018755,19105,
121.935,,Surface,4,Image 1,10,1000019064,19106,
110.032,,Surface,4,Image 1,10,1000018756,19107,
254.964,,Surface,4,Image 1,10,1000019108,19108,
249.992,,Surface,4,Image 1,10,1000019109,19109,
255,,Surface,4,Image 1,10,1000018759,19110,
84.01,,Surface,4,Image 1,10,1000018788,19111,
254.977,,Surface,4,Image 1,10,1000018760,19112,
152.932,,Surface,4,Image 1,10,1000018858,19113,
85.986,,Surface,4,Image 1,10,1000019114,19114,
