
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
10,,Surface,1,Image 1,7,1000018978,18978,
30,,Surface,1,Image 1,7,1000018766,18979,
0,,Surface,1,Image 1,7,1000018867,18980,
0,,Surface,1,Image 1,7,1000018767,18981,
144,,Surface,1,Image 1,7,1000018768,18982,
135,,Surface,1,Image 1,7,1000018797,18983,
176,,Surface,1,Image 1,7,1000018799,18984,
222,,Surface,1,Image 1,7,1000018904,18985,
0,,Surface,1,Image 1,7,1000018816,18986,
61,,Surface,1,Image 1,7,1000018759,18987,
78,,Surface,1,Image 1,7,1000018758,18988,
255,,Surface,1,Image 1,7,1000018757,18989,
0,,Surface,1,Image 1,7,1000018756,18990,
121,,Surface,1,Image 1,7,1000018755,18991,
0,,Surface,1,Image 1,7,1000018812,18992,
15,,Surface,1,Image 1,7,1000018947,18993,
0,,Surface,1,Image 1,7,1000018769,18994,
255,,Surface,1,Image 1,7,1000018770,18995,
0,,Surface,1,Image 1,7,1000018996,18996,
0,,Surface,1,Image 1,7,1000018802,18997,
73,,Surface,1,Image 1,7,1000018772,18998,
177,,Surface,1,Image 1,7,1000018773,18999,
0,,Surface,1,Image 1,7,1000018912,19000,
0,,Surface,1,Image 1,7,1000018913,19001,
0,,Surface,1,Image 1,7,1000019002,19002,
0,,Surface,1,Image 1,7,1000019003,19003,
0,,Surface,1,Image 1,7,1000019004,19004,
0,,Surface,1,Image 1,7,1000018774,19005,
0,,Surface,1,Image 1,7,1000018775,19006,
0,,Surface,1,Image 1,7,1000019007,19007,
80,,Surface,1,Image 1,7,1000018776,19008,
0,,Surface,1,Image 1,7,1000018777,19009,
0,,Surface,1,Image 1,7,1000018809,19010,
0,,Surface,1,Image 1,7,1000018919,19011,
0,,Surface,1,Image 1,7,1000018778,19012,
0,,Surface,1,Image 1,7,1000018964,19013,
16,,Surface,1,Image 1,7,1000018779,19014,
0,,Surface,1,Image 1,8,1000018947,19015,
1,,Surface,1,Image 1,8,1000018812,19016,
188,,Surface,1,Image 1,8,1000018755,19017,
5,,Surface,1,Image 1,8,1000018756,19018,
102,,Surface,1,Image 1,8,1000018759,19019,
18,,Surface,1,Image 1,8,1000018816,19020,
44,,Surface,1,Image 1,8,1000018760,19021,
0,,Surface,1,Image 1,8,1000018788,19022,
0,,Surface,1,Image 1,8,1000018858,19023,
18,,Surface,1,Image 1,8,1000018970,19024,
15,,Surface,1,Image 1,8,1000018930,19025,
255,,Surface,1,Image 1,8,1000018761,19026,
131,,Surface,1,Image 1,8,1000018762,19027,
255,,Surface,1,Image 1,8,1000018933,19028,
143,,Surface,1,Image 1,8,1000018764,19029,
28,,Surface,1,Image 1,8,1000018763,19030,
0,,Surface,1,Image 1,8,1000018794,19031,
7,,Surface,1,Image 1,8,1000018978,19032,
10,,Surface,1,Image 1,8,1000018766,19033,
0,,Surface,1,Image 1,8,1000018867,19034,
188,,Surface,1,Image 1,8,1000018768,19035,
134,,Surface,1,Image 1,8,1000018797,19036,
176,,Surface,1,Image 1,8,1000018799,19037,
255,,Surface,1,Image 1,8,1000018904,19038,
6,,Surface,1,Image 1,8,1000018769,19039,
255,,Surface,1,Image 1,8,1000018770,19040,
0,,Surface,1,Image 1,8,1000018996,19041,
0,,Surface,1,Image 1,8,1000018802,19042,
186,,Surface,1,Image 1,8,1000018773,19043,
0,,Surface,1,Image 1,8,1000018912,19044,
0,,Surface,1,Image 1,8,1000019003,19045,
0,,Surface,1,Image 1,8,1000018913,19046,
12,,Surface,1,Image 1,8,1000019002,19047,
0,,Surface,1,Image 1,8,1000019004,19048,
0,,Surface,1,Image 1,8,1000019049,19049,
2,,Surface,1,Image 1,8,1000018774,19050,
31,,Surface,1,Image 1,8,1000018775,19051,
4,,Surface,1,Image 1,8,1000019007,19052,
59,,Surface,1,Image 1,8,1000018776,19053,
17,,Surface,1,Image 1,8,1000018777,19054,
0,,Surface,1,Image 1,8,1000018919,19055,
22,,Surface,1,Image 1,8,1000018778,19056,
0,,Surface,1,Image 1,8,1000018964,19057,
27,,Surface,1,Image 1,8,1000018779,19058,
255,,Surface,1,Image 1,9,1000018770,19059,
15,,Surface,1,Image 1,9,1000018769,19060,
30,,Surface,1,Image 1,9,1000018947,19061,
0,,Surface,1,Image 1,9,1000018812,19062,
150,,Surface,1,Image 1,9,1000018755,19063,
14,,Surface,1,Image 1,9,1000019064,19064,
0,,Surface,1,Image 1,9,1000018756,19065,
88,,Surface,1,Image 1,9,1000018759,19066,
85,,Surface,1,Image 1,9,1000018760,19067,
0,,Surface,1,Image 1,9,1000018788,19068,
0,,Surface,1,Image 1,9,1000018816,19069,
0,,Surface,1,Image 1,9,1000018858,19070,
36,,Surface,1,Image 1,9,1000018930,19071,
68,,Surface,1,Image 1,9,1000018970,19072,
255,,Surface,1,Image 1,9,1000018761,19073,
139,,Surface,1,Image 1,9,1000018762,19074,
255,,Surface,1,Image 1,9,1000018933,19075,
120,,Surface,1,Image 1,9,1000018764,19076,
43,,Surface,1,Image 1,9,1000018763,19077,
0,,Surface,1,Image 1,9,1000018794,19078,
0,,Surface,1,Image 1,9,1000018978,19079,
49,,Surface,1,Image 1,9,1000018766,19080,
27,,Surface,1,Image 1,9,1000018867,19081,
129,,Surface,1,Image 1,9,1000018797,19082,
137,,Surface,1,Image 1,9,1000018768,19083,
169,,Surface,1,Image 1,9,1000018799,19084,
204,,Surface,1,Image 1,9,1000018904,19085,
0,,Surface,1,Image 1,9,1000018996,19086,
0,,Surface,1,Image 1,9,1000019087,19087,
179,,Surface,1,Image 1,9,1000018773,19088,
0,,Surface,1,Image 1,9,1000018912,19089,
0,,Surface,1,Image 1,9,1000018913,19090,
0,,Surface,1,Image 1,9,1000019003,19091,
32,,Surface,1,Image 1,9,1000019002,19092,
0,,Surface,1,Image 1,9,1000019004,19093,
0,,Surface,1,Image 1,9,1000018774,19094,
0,,Surface,1,Image 1,9,1000019049,19095,
0,,Surface,1,Image 1,9,1000019007,19096,
0,,Surface,1,Image 1,9,1000018776,19097,
0,,Surface,1,Image 1,9,1000018777,19098,
0,,Surface,1,Image 1,9,1000018919,19099,
22,,Surface,1,Image 1,9,1000018778,19100,
0,,Surface,1,Image 1,9,1000018964,19101,
59,,Surface,1,Image 1,9,1000018779,19102,
0,,Surface,1,Image 1,10,1000018947,19103,
0,,Surface,1,Image 1,10,1000018812,19104,
135,,Surface,1,Image 1,10,1000018755,19105,
106,,Surface,1,Image 1,10,1000019064,19106,
0,,Surface,1,Image 1,10,1000018756,19107,
26,,Surface,1,Image 1,10,1000019108,19108,
193,,Surface,1,Image 1,10,1000019109,19109,
138,,Surface,1,Image 1,10,1000018759,19110,
0,,Surface,1,Image 1,10,1000018788,19111,
58,,Surface,1,Image 1,10,1000018760,19112,
14,,Surface,1,Image 1,10,1000018858,19113,
0,,Surface,1,Image 1,10,1000019114,19114,
18,,Surface,1,Image 1,10,1000018816,19115,
78,,Surface,1,Image 1,10,1000018970,19116,
50,,Surface,1,Image 1,10,1000018930,19117,
255,,Surface,1,Image 1,10,1000018761,19118,
175,,Surface,1,Image 1,10,1000018762,19119,
255,,Surface,1,Image 1,10,1000018933,19120,
61,,Surface,1,Image 1,10,1000018764,19121,
0,,Surface,1,Image 1,10,1000018794,19122,
0,,Surface,1,Image 1,10,1000018978,19123,
51,,Surface,1,Image 1,10,1000018766,19124,
98,,Surface,1,Image 1,10,1000018867,19125,
199,,Surface,1,Image 1,10,1000018797,19126,
130,,Surface,1,Image 1,10,1000018768,19127,
120,,Surface,1,Image 1,10,1000018799,19128,
144,,Surface,1,Image 1,10,1000018904,19129,
0,,Surface,1,Image 1,10,1000018769,19130,
255,,Surface,1,Image 1,10,1000018770,19131,
0,,Surface,1,Image 1,10,1000018996,19132,
0,,Surface,1,Image 1,10,1000019133,19133,
7,,Surface,1,Image 1,10,1000019087,19134,
255,,Surface,1,Image 1,10,1000018773,19135,
0,,Surface,1,Image 1,10,1000018912,19136,
0,,Surface,1,Image 1,10,1000019003,19137,
65,,Surface,1,Image 1,10,1000019002,19138,
0,,Surface,1,Image 1,10,1000018913,19139,
0,,Surface,1,Image 1,10,1000019004,19140,
0,,Surface,1,Image 1,10,1000018774,19141,
0,,Surface,1,Image 1,10,1000019049,19142,
0,,Surface,1,Image 1,10,1000019007,19143,
72,,Surface,1,Image 1,10,1000018776,19144,
