
Velocity Angle
 ==================== 
Velocity Angle X,Velocity Angle Y,Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
104.04,165.968,90.0027,°,Surface,Velocity Angle,5,1000018778,18920,
86.0767,176.079,90.0027,°,Surface,Velocity Angle,5,1000018779,18921,
55.8621,55.8623,127.474,°,Surface,Velocity Angle,6,1000018756,18922,
135.007,135.001,90.0027,°,Surface,Velocity Angle,6,1000018757,18923,
111.804,158.204,90.0027,°,Surface,Velocity Angle,6,1000018758,18924,
38.2345,79.7941,126.37,°,Surface,Velocity Angle,6,1000018816,18925,
47.7439,137.408,85.602,°,Surface,Velocity Angle,6,1000018759,18926,
111.811,75.6653,26.5172,°,Surface,Velocity Angle,6,1000018760,18927,
73.8873,128.702,43.1636,°,Surface,Velocity Angle,6,1000018788,18928,
88.9317,164.293,105.677,°,Surface,Velocity Angle,6,1000018858,18929,
177.45,89.321,87.5397,°,Surface,Velocity Angle,6,1000018930,18930,
74.7767,77.209,159.914,°,Surface,Velocity Angle,6,1000018761,18931,
67.256,88.9686,157.233,°,Surface,Velocity Angle,6,1000018762,18932,
151.831,97.2379,117.07,°,Surface,Velocity Angle,6,1000018933,18933,
44.4642,58.8522,61.8189,°,Surface,Velocity Angle,6,1000018764,18934,
49.6965,40.3133,89.3692,°,Surface,Velocity Angle,6,1000018763,18935,
75.9939,47.0317,133.675,°,Surface,Velocity Angle,6,1000018794,18936,
48.1394,56.8878,59.5926,°,Surface,Velocity Angle,6,1000018765,18937,
41.9697,56.8483,67.3677,°,Surface,Velocity Angle,6,1000018766,18938,
48.0313,90.0027,138.034,°,Surface,Velocity Angle,6,1000018867,18939,
44.0505,98.9924,132.652,°,Surface,Velocity Angle,6,1000018767,18940,
90.0027,90.0027,90.0027,°,Surface,Velocity Angle,6,1000018797,18941,
119.158,68.812,142.659,°,Surface,Velocity Angle,6,1000018768,18942,
91.9112,49.8788,139.817,°,Surface,Velocity Angle,6,1000018799,18943,
135.004,135.004,90.0027,°,Surface,Velocity Angle,6,1000018904,18944,
114.537,154.721,84.2625,°,Surface,Velocity Angle,6,1000018755,18945,
112.749,112.121,147.343,°,Surface,Velocity Angle,6,1000018812,18946,
158.941,82.8552,109.709,°,Surface,Velocity Angle,6,1000018947,18947,
99.5141,114.403,153.587,°,Surface,Velocity Angle,6,1000018754,18948,
100.714,102.268,163.61,°,Surface,Velocity Angle,6,1000018769,18949,
