
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,TrackID,ID,
0.586935,,Surface,12,1000018761,19213,
0.139636,,Surface,12,1000018762,19214,
0.256733,,Surface,12,1000018933,19215,
0.761115,,Surface,12,1000019216,19216,
0.673088,,Surface,12,1000018764,19217,
0.679683,,Surface,12,1000018978,19218,
0.58932,,Surface,12,1000018766,19219,
0.744574,,Surface,12,1000018768,19220,
0.235517,,Surface,12,1000018799,19221,
0.256741,,Surface,12,1000018904,19222,
0.439864,,Surface,12,1000019150,19223,
0.617033,,Surface,12,1000019180,19224,
0.479383,,Surface,12,1000018996,19225,
0.245877,,Surface,12,1000019133,19226,
0.396998,,Surface,12,1000019087,19227,
0.217032,,Surface,12,1000018773,19228,
0.477886,,Surface,12,1000019003,19229,
0.396996,,Surface,12,1000019002,19230,
0.139655,,Surface,12,1000018913,19231,
0.5253,,Surface,12,1000019004,19232,
0.25435,,Surface,12,1000018774,19233,
0.456704,,Surface,12,1000019049,19234,
0.569613,,Surface,12,1000019007,19235,
0.256732,,Surface,12,1000019191,19236,
0.923406,,Surface,12,1000018776,19237,
0.396996,,Surface,12,1000018964,19238,
0.508044,,Surface,12,1000018779,19239,
0.504342,,Surface,13,1000019240,19240,
0.699071,,Surface,13,1000018812,19241,
0.634706,,Surface,13,1000018947,19242,
0.344451,,Surface,13,1000019064,19243,
0.523774,,Surface,13,1000018755,19244,
0.712857,,Surface,13,1000019109,19245,
0.467518,,Surface,13,1000019108,19246,
0.532456,,Surface,13,1000018759,19247,
0.727111,,Surface,13,1000018816,19248,
0.393307,,Surface,13,1000018760,19249,
0.738382,,Surface,13,1000019114,19250,
0.597119,,Surface,13,1000018970,19251,
0.76961,,Surface,13,1000018930,19252,
0.617617,,Surface,13,1000018761,19253,
0.281884,,Surface,13,1000018762,19254,
0.256741,,Surface,13,1000018933,19255,
0.75882,,Surface,13,1000019216,19256,
0.678556,,Surface,13,1000018764,19257,
0.674731,,Surface,13,1000018978,19258,
0.517846,,Surface,13,1000018766,19259,
0.338942,,Surface,13,1000018799,19260,
0.25673,,Surface,13,1000018904,19261,
0.607156,,Surface,13,1000018770,19262,
0.717835,,Surface,13,1000019152,19263,
0.550868,,Surface,13,1000019150,19264,
0.309015,,Surface,13,1000018996,19265,
0.245866,,Surface,13,1000019180,19266,
0.517557,,Surface,13,1000019133,19267,
0.617033,,Surface,13,1000019087,19268,
0.617017,,Surface,13,1000018773,19269,
0.923407,,Surface,13,1000019003,19270,
0.571598,,Surface,13,1000019271,19271,
0.256747,,Surface,13,1000019004,19272,
0.396998,,Surface,13,1000018774,19273,
0.710817,,Surface,13,1000019049,19274,
0.422174,,Surface,13,1000019007,19275,
0.47387,,Surface,13,1000019191,19276,
0.622822,,Surface,13,1000018776,19277,
0.396996,,Surface,13,1000018779,19278,
0.843643,,Surface,14,1000018812,19279,
0.139657,,Surface,14,1000018947,19280,
0.292365,,Surface,14,1000018755,19281,
0.479729,,Surface,14,1000019064,19282,
0.782128,,Surface,14,1000019109,19283,
0.814607,,Surface,14,1000019284,19284,
0.463868,,Surface,14,1000019108,19285,
0.505306,,Surface,14,1000018759,19286,
0.921565,,Surface,14,1000018816,19287,
0.520125,,Surface,14,1000018760,19288,
0.573246,,Surface,14,1000019114,19289,
0.614741,,Surface,14,1000018930,19290,
0.574799,,Surface,14,1000018970,19291,
0.730313,,Surface,14,1000018761,19292,
0.254329,,Surface,14,1000018762,19293,
0.822377,,Surface,14,1000019216,19294,
0.637564,,Surface,14,1000018764,19295,
0.527604,,Surface,14,1000018978,19296,
0.360342,,Surface,14,1000019297,19297,
0.551083,,Surface,14,1000018766,19298,
0.296241,,Surface,14,1000018799,19299,
0.25673,,Surface,14,1000018904,19300,
0.905855,,Surface,14,1000019240,19301,
0.663333,,Surface,14,1000019152,19302,
0.619959,,Surface,14,1000018770,19303,
0.734031,,Surface,14,1000019150,19304,
0.433194,,Surface,14,1000019180,19305,
0.603916,,Surface,14,1000019133,19306,
0.617018,,Surface,14,1000019087,19307,
0.217032,,Surface,14,1000018773,19308,
0.666404,,Surface,14,1000019271,19309,
0.396996,,Surface,14,1000019310,19310,
0.617028,,Surface,14,1000018774,19311,
0.624723,,Surface,14,1000019049,19312,
0.658549,,Surface,14,1000019007,19313,
0.444338,,Surface,14,1000019191,19314,
0.128837,,Surface,14,1000018776,19315,
0.256748,,Surface,14,1000018779,19316,
0.534196,,Surface,15,1000019064,19317,
0.398822,,Surface,15,1000018947,19318,
0.202823,,Surface,15,1000018755,19319,
0.697487,,Surface,15,1000019284,19320,
0.451211,,Surface,15,1000018759,19321,
0.621481,,Surface,15,1000019109,19322,
0.206607,,Surface,15,1000019108,19323,
0.717304,,Surface,15,1000019324,19324,
0.813327,,Surface,15,1000019114,19325,
0.727101,,Surface,15,1000018970,19326,
0.517195,,Surface,15,1000018761,19327,
0.697257,,Surface,15,1000018762,19328,
0.845881,,Surface,15,1000019216,19329,
0.635674,,Surface,15,1000018764,19330,
0.315197,,Surface,15,1000018978,19331,
0.264041,,Surface,15,1000019297,19332,
0.766438,,Surface,15,1000018766,19333,
0.404573,,Surface,15,1000018799,19334,
0.543328,,Surface,15,1000018904,19335,
0.256735,,Surface,15,1000019240,19336,
0.555577,,Surface,15,1000019152,19337,
0.853345,,Surface,15,1000018770,19338,
0.774651,,Surface,15,1000019150,19339,
0.256752,,Surface,15,1000019340,19340,
0.245865,,Surface,15,1000019180,19341,
0.338061,,Surface,15,1000019133,19342,
0.923376,,Surface,15,1000019087,19343,
0.723439,,Surface,15,1000018773,19344,
0.233408,,Surface,15,1000019271,19345,
0.617028,,Surface,15,1000019310,19346,
0.254342,,Surface,15,1000018774,19347,
0.592148,,Surface,15,1000019049,19348,
0.630327,,Surface,15,1000019007,19349,
0.648608,,Surface,15,1000019350,19350,
0.363842,,Surface,15,1000019191,19351,
0.548692,,Surface,15,1000018776,19352,
0.518629,,Surface,15,1000019353,19353,
0.617028,,Surface,15,1000019354,19354,
0.492659,,Surface,15,1000018779,19355,
0.365609,,Surface,16,1000019284,19356,
0.661639,,Surface,16,1000018759,19357,
0.984664,,Surface,16,1000019109,19358,
0.338379,,Surface,16,1000019108,19359,
0.751382,,Surface,16,1000019324,19360,
0.810069,,Surface,16,1000019361,19361,
0.725944,,Surface,16,1000019114,19362,
0.245879,,Surface,16,1000018970,19363,
0.510168,,Surface,16,1000018761,19364,
0.626989,,Surface,16,1000018762,19365,
0.679348,,Surface,16,1000018764,19366,
0.749251,,Surface,16,1000019216,19367,
0.602077,,Surface,16,1000018978,19368,
0.423504,,Surface,16,1000019297,19369,
0.572384,,Surface,16,1000018766,19370,
0.425293,,Surface,16,1000018799,19371,
0.245879,,Surface,16,1000018947,19372,
0.337113,,Surface,16,1000019064,19373,
0.256757,,Surface,16,1000019240,19374,
0.759258,,Surface,16,1000019152,19375,
0.651675,,Surface,16,1000018770,19376,
0.564938,,Surface,16,1000019150,19377,
0.617033,,Surface,16,1000019340,19378,
0.617018,,Surface,16,1000019180,19379,
0.245876,,Surface,16,1000019133,19380,
0.305934,,Surface,16,1000019087,19381,
0.744092,,Surface,16,1000018773,19382,
0.412911,,Surface,16,1000019271,19383,
0.245873,,Surface,16,1000019310,19384,
0.617028,,Surface,16,1000018774,19385,
0.690427,,Surface,16,1000019049,19386,
0.815492,,Surface,16,1000019350,19387,
0.615305,,Surface,16,1000018776,19388,
0.335554,,Surface,16,1000019191,19389,
0.256734,,Surface,16,1000019353,19390,
0.256732,,Surface,16,1000019354,19391,
0.339061,,Surface,16,1000018779,19392,
0.164763,,Surface,17,1000019064,19393,
0.396997,,Surface,17,1000018947,19394,
0.217038,,Surface,17,1000019395,19395,
0.610023,,Surface,17,1000019396,19396,
0.797748,,Surface,17,1000019284,19397,
0.613198,,Surface,17,1000019324,19398,
0.458817,,Surface,17,1000019108,19399,
0.784477,,Surface,17,1000019361,19400,
0.586004,,Surface,17,1000018759,19401,
0.767669,,Surface,17,1000019114,19402,
0.617017,,Surface,17,1000018970,19403,
0.489635,,Surface,17,1000018761,19404,
