
Track Position
 ==================== 
Track Position X Mean,Track Position Y Mean,Track Position Z Mean,Unit,Category,Collection,ID,
158.366,401.043,63.5603,um,Track,Track Position,1000020533,
197.081,406.438,4.10934,um,Track,Track Position,1000020536,
161.106,102.799,64.2086,um,Track,Track Position,1000020556,
287.143,192.271,38,um,Track,Track Position,1000020594,
349.794,291.675,4.5,um,Track,Track Position,1000020611,
197.804,202.494,84.6884,um,Track,Track Position,1000020618,
106.639,242.043,66.1598,um,Track,Track Position,1000020622,
102.1,230.353,65.5,um,Track,Track Position,1000020625,
193.011,416.003,3.27387,um,Track,Track Position,1000020644,
135.693,277.07,81.4298,um,Track,Track Position,1000020652,
77.2737,204.124,80.0174,um,Track,Track Position,1000020662,
203.145,402.664,7.53705,um,Track,Track Position,1000020673,
264.403,358.81,1.5,um,Track,Track Position,1000020676,
171.555,210.938,57.3936,um,Track,Track Position,1000020690,
137.039,230.282,63.7088,um,Track,Track Position,1000020691,
99.1156,243.397,85.425,um,Track,Track Position,1000020693,
264.029,275.362,42.175,um,Track,Track Position,1000020709,
259.731,281.552,43.1786,um,Track,Track Position,1000020710,
202.103,244.878,84.5802,um,Track,Track Position,1000020724,
103.769,228.092,66.7933,um,Track,Track Position,1000020737,
108.048,366.115,82.7679,um,Track,Track Position,1000020760,
148.415,377.457,40.4167,um,Track,Track Position,1000020787,
155.324,370.157,55.4397,um,Track,Track Position,1000020788,
156.338,275.636,48.2937,um,Track,Track Position,1000020805,
121.479,389.438,57.2784,um,Track,Track Position,1000020823,
134.973,277.955,79.6636,um,Track,Track Position,1000020845,
122.998,252.357,42.5137,um,Track,Track Position,1000020850,
299.075,244.753,5.73117,um,Track,Track Position,1000020869,
144.753,200.745,83.1822,um,Track,Track Position,1000020890,
332.182,300.987,2.44253,um,Track,Track Position,1000020917,
242.655,412.602,1.5,um,Track,Track Position,1000020919,
78.5842,346.254,45.5603,um,Track,Track Position,1000020924,
168.57,211.458,56.2867,um,Track,Track Position,1000020929,
128.822,360.899,63.1523,um,Track,Track Position,1000020942,
231.623,218.399,65.6951,um,Track,Track Position,1000020962,
136.777,267.35,85.5,um,Track,Track Position,1000020967,
100.951,237.361,62.833,um,Track,Track Position,1000020974,
