
Intensity StdDev Ch=6 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,TrackID,ID,
0,,Surface,6,Image 1,8,1000018904,19038,
33.695,,Surface,6,Image 1,8,1000018769,19039,
11.9977,,Surface,6,Image 1,8,1000018770,19040,
51.0569,,Surface,6,Image 1,8,1000018996,19041,
8.99382,,Surface,6,Image 1,8,1000018802,19042,
0,,Surface,6,Image 1,8,1000018773,19043,
32.5245,,Surface,6,Image 1,8,1000018912,19044,
40.6271,,Surface,6,Image 1,8,1000019003,19045,
0,,Surface,6,Image 1,8,1000018913,19046,
0,,Surface,6,Image 1,8,1000019002,19047,
32.6374,,Surface,6,Image 1,8,1000019004,19048,
36.3725,,Surface,6,Image 1,8,1000019049,19049,
23.3827,,Surface,6,Image 1,8,1000018774,19050,
20,,Surface,6,Image 1,8,1000018775,19051,
36.6934,,Surface,6,Image 1,8,1000019007,19052,
37.6781,,Surface,6,Image 1,8,1000018776,19053,
44.5047,,Surface,6,Image 1,8,1000018777,19054,
49.6704,,Surface,6,Image 1,8,1000018919,19055,
15.3659,,Surface,6,Image 1,8,1000018778,19056,
57.8629,,Surface,6,Image 1,8,1000018964,19057,
34.8184,,Surface,6,Image 1,8,1000018779,19058,
27.4135,,Surface,6,Image 1,9,1000018770,19059,
30.2415,,Surface,6,Image 1,9,1000018769,19060,
53.2265,,Surface,6,Image 1,9,1000018947,19061,
0,,Surface,6,Image 1,9,1000018812,19062,
33.2628,,Surface,6,Image 1,9,1000018755,19063,
61.311,,Surface,6,Image 1,9,1000019064,19064,
0,,Surface,6,Image 1,9,1000018756,19065,
45.0363,,Surface,6,Image 1,9,1000018759,19066,
39.5941,,Surface,6,Image 1,9,1000018760,19067,
0,,Surface,6,Image 1,9,1000018788,19068,
0,,Surface,6,Image 1,9,1000018816,19069,
0,,Surface,6,Image 1,9,1000018858,19070,
39.8932,,Surface,6,Image 1,9,1000018930,19071,
24.6032,,Surface,6,Image 1,9,1000018970,19072,
40.5802,,Surface,6,Image 1,9,1000018761,19073,
13.2,,Surface,6,Image 1,9,1000018762,19074,
0,,Surface,6,Image 1,9,1000018933,19075,
21.6498,,Surface,6,Image 1,9,1000018764,19076,
23.2673,,Surface,6,Image 1,9,1000018763,19077,
0,,Surface,6,Image 1,9,1000018794,19078,
32.0939,,Surface,6,Image 1,9,1000018978,19079,
10.5925,,Surface,6,Image 1,9,1000018766,19080,
3.4641,,Surface,6,Image 1,9,1000018867,19081,
42.9091,,Surface,6,Image 1,9,1000018797,19082,
29.1052,,Surface,6,Image 1,9,1000018768,19083,
50.8784,,Surface,6,Image 1,9,1000018799,19084,
0,,Surface,6,Image 1,9,1000018904,19085,
32.7595,,Surface,6,Image 1,9,1000018996,19086,
44.509,,Surface,6,Image 1,9,1000019087,19087,
0,,Surface,6,Image 1,9,1000018773,19088,
41.6015,,Surface,6,Image 1,9,1000018912,19089,
9.50438,,Surface,6,Image 1,9,1000018913,19090,
45.8607,,Surface,6,Image 1,9,1000019003,19091,
